question_id,depth,question,question_original,obstacle,useless_info_family_used,expression,expression_json,template_expression,answer,template_depth_requested,template_actual_depth,bound_expression_depth,tree_seed,binding_seed,master_seed,derived_prob,template_internal_nodes,template_leaf_slots,bound_leaf_count,leaf_1_key,leaf_1_concept,leaf_1_label,leaf_1_entity,leaf_1_period,leaf_1_unit,leaf_1_value,leaf_2_key,leaf_2_concept,leaf_2_label,leaf_2_entity,leaf_2_period,leaf_2_unit,leaf_2_value,leaf_3_key,leaf_3_concept,leaf_3_label,leaf_3_entity,leaf_3_period,leaf_3_unit,leaf_3_value,leaf_4_key,leaf_4_concept,leaf_4_label,leaf_4_entity,leaf_4_period,leaf_4_unit,leaf_4_value,leaf_5_key,leaf_5_concept,leaf_5_label,leaf_5_entity,leaf_5_period,leaf_5_unit,leaf_5_value,leaf_6_key,leaf_6_concept,leaf_6_label,leaf_6_entity,leaf_6_period,leaf_6_unit,leaf_6_value
14,2,"The numbers in the financial_data are all given in thousands. Please answer in numbers, not thousands. May you calculate the operating income for NovaStar Technologies in 2021?",May you calculate the operating income for NovaStar Technologies in 2021?,unit_scale_change,,operating_income,"{""derived"": ""operating_income"", ""expanded"": {""op"": ""diff"", ""left"": {""derived"": ""gross_profit"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""19_revenue"", ""depth"": 0}, ""right"": {""leaf"": ""19_cost_of_goods_sold"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}, ""right"": {""leaf"": ""19_operating_expenses"", ""depth"": 0}, ""depth"": 2}, ""depth"": 2}","{""kind"": ""derived_concept"", ""name"": ""operating_income"", ""depth"": 0}",29056.999999999996,4,0,2,309750759,522138844,147638620,0.198,0,1,3,19_revenue,revenue,revenue,NovaStar Technologies,2021,M_USD,125.354,19_cost_of_goods_sold,cost_of_goods_sold,cost of goods sold,NovaStar Technologies,2021,M_USD,83.34,19_operating_expenses,operating_expenses,operating expenses,NovaStar Technologies,2021,M_USD,12.957,,,,,,,,,,,,,,,,,,,,,
14,1,"The numbers in the financial_data are all given in thousands. Please answer in numbers, not thousands. What is the value of the longterm liabilities for Atlas Global Industries in 2024 ?",What is the value of the longterm liabilities for Atlas Global Industries in 2024 ?,unit_scale_change,,longterm_liabilities,"{""derived"": ""longterm_liabilities"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""28_total_liabilities"", ""depth"": 0}, ""right"": {""leaf"": ""28_current_liabilities"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}","{""kind"": ""derived_concept"", ""name"": ""longterm_liabilities"", ""depth"": 0}",31124.999999999996,2,0,1,353579871,737346098,147638620,0.525,0,1,2,28_total_liabilities,total_liabilities,total liabilities,Atlas Global Industries,2024,M_USD,53.407,28_current_liabilities,current_liabilities,current liabilities,Atlas Global Industries,2024,M_USD,22.282,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1,"The numbers in the financial_data are all given in thousands. Please answer in numbers, not thousands. state the longterm liabilities for Pinnacle Health Group in 2023.",state the longterm liabilities for Pinnacle Health Group in 2023.,unit_scale_change,,longterm_liabilities,"{""derived"": ""longterm_liabilities"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""33_total_liabilities"", ""depth"": 0}, ""right"": {""leaf"": ""33_current_liabilities"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}","{""kind"": ""derived_concept"", ""name"": ""longterm_liabilities"", ""depth"": 0}",5170.999999999999,2,0,1,261730974,501064094,147638620,0.396,0,1,2,33_total_liabilities,total_liabilities,total liabilities,Pinnacle Health Group,2023,M_USD,9.629,33_current_liabilities,current_liabilities,current liabilities,Pinnacle Health Group,2023,M_USD,4.458,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1,"The numbers in the financial_data are all given in thousands. Please answer in numbers, not thousands. What would be the gross profit for Cobalt Semiconductor in 2024?",What would be the gross profit for Cobalt Semiconductor in 2024?,unit_scale_change,,gross_profit,"{""derived"": ""gross_profit"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""70_revenue"", ""depth"": 0}, ""right"": {""leaf"": ""70_cost_of_goods_sold"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}","{""kind"": ""derived_concept"", ""name"": ""gross_profit"", ""depth"": 0}",21883.000000000004,3,0,1,367584748,394377575,147638620,0.148,0,1,2,70_revenue,revenue,revenue,Cobalt Semiconductor,2024,M_USD,52.725,70_cost_of_goods_sold,cost_of_goods_sold,cost of goods sold,Cobalt Semiconductor,2024,M_USD,30.842,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,4,"The numbers in the financial_data are all given in thousands. Please answer in numbers, not thousands. What is the longterm assets for Apex Dynamics Corp in 2023 ?",What is the longterm assets for Apex Dynamics Corp in 2023 ?,unit_scale_change,,longterm_assets,"{""derived"": ""longterm_assets"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""3_total_assets"", ""depth"": 0}, ""right"": {""derived"": ""current_assets"", ""expanded"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""leaf"": ""3_cash"", ""depth"": 0}, ""right"": {""leaf"": ""3_accounts_receivable"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""3_inventories"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""3_short_term_investments"", ""depth"": 0}, ""depth"": 3}, ""depth"": 3}, ""depth"": 4}, ""depth"": 4}","{""kind"": ""derived_concept"", ""name"": ""longterm_assets"", ""depth"": 0}",111691.0,3,0,4,526551023,592806304,147638620,0.461,0,1,5,3_total_assets,total_assets,total assets,Apex Dynamics Corp,2023,M_USD,148.589,3_cash,cash,cash,Apex Dynamics Corp,2023,M_USD,13.282,3_accounts_receivable,accounts_receivable,accounts receivable,Apex Dynamics Corp,2023,M_USD,11.694,3_inventories,inventories,inventories,Apex Dynamics Corp,2023,M_USD,5.868,3_short_term_investments,short_term_investments,short term investments,Apex Dynamics Corp,2023,M_USD,6.054,,,,,,,
19,2,"The numbers in the financial_data are all given in thousands. Please answer in numbers, not thousands. Compute the difference between gross profit and inventories for Quantum Bridge Holdings in 2023.",Compute the difference between gross profit and inventories for Quantum Bridge Holdings in 2023.,unit_scale_change,,"diff(gross_profit, 15_inventories)","{""op"": ""diff"", ""left"": {""derived"": ""gross_profit"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""15_revenue"", ""depth"": 0}, ""right"": {""leaf"": ""15_cost_of_goods_sold"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}, ""right"": {""leaf"": ""15_inventories"", ""depth"": 0}, ""depth"": 2}","{""op"": ""diff"", ""left"": {""kind"": ""derived_concept"", ""name"": ""gross_profit"", ""depth"": 0}, ""right"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}, ""depth"": 1, ""kind"": ""node""}",55080.0,4,1,2,54727347,342137076,147638620,0.247,1,2,3,15_revenue,revenue,revenue,Quantum Bridge Holdings,2023,M_USD,86.108,15_cost_of_goods_sold,cost_of_goods_sold,cost of goods sold,Quantum Bridge Holdings,2023,M_USD,28.498,15_inventories,inventories,inventories,Quantum Bridge Holdings,2023,M_USD,2.53,,,,,,,,,,,,,,,,,,,,,
19,1,"The numbers in the financial_data are all given in thousands. Please answer in numbers, not thousands. Could you give the gross profit for Meridian Systems Inc in 2023 ?",Could you give the gross profit for Meridian Systems Inc in 2023 ?,unit_scale_change,,gross_profit,"{""derived"": ""gross_profit"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""9_revenue"", ""depth"": 0}, ""right"": {""leaf"": ""9_cost_of_goods_sold"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}","{""kind"": ""derived_concept"", ""name"": ""gross_profit"", ""depth"": 0}",72411.0,4,0,1,393909090,81402814,147638620,0.297,0,1,2,9_revenue,revenue,revenue,Meridian Systems Inc,2023,M_USD,166.363,9_cost_of_goods_sold,cost_of_goods_sold,cost of goods sold,Meridian Systems Inc,2023,M_USD,93.952,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1,"The numbers in the financial_data are all given in thousands. Please answer in numbers, not thousands. May you give the gross profit for Orion Financial Group in 2022 ?",May you give the gross profit for Orion Financial Group in 2022 ?,unit_scale_change,,gross_profit,"{""derived"": ""gross_profit"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""56_revenue"", ""depth"": 0}, ""right"": {""leaf"": ""56_cost_of_goods_sold"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}","{""kind"": ""derived_concept"", ""name"": ""gross_profit"", ""depth"": 0}",51603.0,2,0,1,554883698,493637600,147638620,0.551,0,1,2,56_revenue,revenue,revenue,Orion Financial Group,2022,M_USD,115.348,56_cost_of_goods_sold,cost_of_goods_sold,cost of goods sold,Orion Financial Group,2022,M_USD,63.745,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1,"The numbers in the financial_data are all given in thousands. Please answer in numbers, not thousands. determine the gross profit for Quantum Bridge Holdings in 2023",determine the gross profit for Quantum Bridge Holdings in 2023,unit_scale_change,,gross_profit,"{""derived"": ""gross_profit"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""15_revenue"", ""depth"": 0}, ""right"": {""leaf"": ""15_cost_of_goods_sold"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}","{""kind"": ""derived_concept"", ""name"": ""gross_profit"", ""depth"": 0}",57610.0,2,0,1,982426733,174054442,147638620,0.407,0,1,2,15_revenue,revenue,revenue,Quantum Bridge Holdings,2023,M_USD,86.108,15_cost_of_goods_sold,cost_of_goods_sold,cost of goods sold,Quantum Bridge Holdings,2023,M_USD,28.498,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2,"The numbers in the financial_data are all given in thousands. Please answer in numbers, not thousands. provide the operating income for Pacific Crest Energy in 2023.",provide the operating income for Pacific Crest Energy in 2023.,unit_scale_change,,operating_income,"{""derived"": ""operating_income"", ""expanded"": {""op"": ""diff"", ""left"": {""derived"": ""gross_profit"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""51_revenue"", ""depth"": 0}, ""right"": {""leaf"": ""51_cost_of_goods_sold"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}, ""right"": {""leaf"": ""51_operating_expenses"", ""depth"": 0}, ""depth"": 2}, ""depth"": 2}","{""kind"": ""derived_concept"", ""name"": ""operating_income"", ""depth"": 0}",31562.000000000004,3,0,2,231498819,707809635,147638620,0.284,0,1,3,51_revenue,revenue,revenue,Pacific Crest Energy,2023,M_USD,185.506,51_cost_of_goods_sold,cost_of_goods_sold,cost of goods sold,Pacific Crest Energy,2023,M_USD,111.318,51_operating_expenses,operating_expenses,operating expenses,Pacific Crest Energy,2023,M_USD,42.626,,,,,,,,,,,,,,,,,,,,,
20,3,"The numbers in the financial_data are all given in thousands. Please answer in numbers, not thousands. Which value corresponds to the current assets for Helix BioSciences in 2020",Which value corresponds to the current assets for Helix BioSciences in 2020,unit_scale_change,,current_assets,"{""derived"": ""current_assets"", ""expanded"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""leaf"": ""72_cash"", ""depth"": 0}, ""right"": {""leaf"": ""72_accounts_receivable"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""72_inventories"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""72_short_term_investments"", ""depth"": 0}, ""depth"": 3}, ""depth"": 3}","{""kind"": ""derived_concept"", ""name"": ""current_assets"", ""depth"": 0}",93271.99999999999,2,0,3,871138758,807329985,147638620,0.125,0,1,4,72_cash,cash,cash,Helix BioSciences,2020,M_USD,27.177,72_accounts_receivable,accounts_receivable,accounts receivable,Helix BioSciences,2020,M_USD,20.427,72_inventories,inventories,inventories,Helix BioSciences,2020,M_USD,17.743,72_short_term_investments,short_term_investments,short term investments,Helix BioSciences,2020,M_USD,27.925,,,,,,,,,,,,,,
23,1,"The numbers in the financial_data are all given in thousands. Please answer in numbers, not thousands. Which value corresponds to the longterm liabilities for Helix BioSciences in 2021?",Which value corresponds to the longterm liabilities for Helix BioSciences in 2021?,unit_scale_change,,longterm_liabilities,"{""derived"": ""longterm_liabilities"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""73_total_liabilities"", ""depth"": 0}, ""right"": {""leaf"": ""73_current_liabilities"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}","{""kind"": ""derived_concept"", ""name"": ""longterm_liabilities"", ""depth"": 0}",68263.0,3,0,1,476409733,987097245,147638620,0.592,0,1,2,73_total_liabilities,total_liabilities,total liabilities,Helix BioSciences,2021,M_USD,96.102,73_current_liabilities,current_liabilities,current liabilities,Helix BioSciences,2021,M_USD,27.839,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2,"The numbers in the financial_data are all given in thousands. Please answer in numbers, not thousands. which result follows from the result of longterm liabilities scaled by ratio of dividends paid to cash for Ironclad Manufacturing in 2024 ?",which result follows from the result of longterm liabilities scaled by ratio of dividends paid to cash for Ironclad Manufacturing in 2024 ?,unit_scale_change,,"mul(longterm_liabilities, ratio(40_dividends_paid, 40_cash))","{""op"": ""mul"", ""left"": {""derived"": ""longterm_liabilities"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""40_total_liabilities"", ""depth"": 0}, ""right"": {""leaf"": ""40_current_liabilities"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}, ""right"": {""op"": ""ratio"", ""left"": {""leaf"": ""40_dividends_paid"", ""depth"": 0}, ""right"": {""leaf"": ""40_cash"", ""depth"": 0}, ""depth"": 1}, ""depth"": 2}","{""op"": ""mul"", ""left"": {""kind"": ""derived_concept"", ""name"": ""longterm_liabilities"", ""depth"": 0}, ""right"": {""op"": ""ratio"", ""left"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}, ""right"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}, ""depth"": 1, ""kind"": ""node""}, ""depth"": 2, ""kind"": ""node""}",60357.0179759924,3,2,2,619292093,321892831,147638620,0.428,2,3,4,40_total_liabilities,total_liabilities,total liabilities,Ironclad Manufacturing,2024,M_USD,325.872,40_current_liabilities,current_liabilities,current liabilities,Ironclad Manufacturing,2024,M_USD,103.109,40_dividends_paid,dividends_paid,dividends paid,Ironclad Manufacturing,2024,M_USD,9.119,40_cash,cash,cash,Ironclad Manufacturing,2024,M_USD,33.656,,,,,,,,,,,,,,
29,1,"The numbers in the financial_data are all given in thousands. Please answer in numbers, not thousands. Provide the gross profit for Pacific Crest Energy in 2020 .",Provide the gross profit for Pacific Crest Energy in 2020 .,unit_scale_change,,gross_profit,"{""derived"": ""gross_profit"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""48_revenue"", ""depth"": 0}, ""right"": {""leaf"": ""48_cost_of_goods_sold"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}","{""kind"": ""derived_concept"", ""name"": ""gross_profit"", ""depth"": 0}",51333.000000000015,2,0,1,26919747,988210065,147638620,0.445,0,1,2,48_revenue,revenue,revenue,Pacific Crest Energy,2020,M_USD,160.549,48_cost_of_goods_sold,cost_of_goods_sold,cost of goods sold,Pacific Crest Energy,2020,M_USD,109.216,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1,"The numbers in the financial_data are all given in thousands. Please answer in numbers, not thousands. may you give the gross profit for NovaStar Technologies in 2022",may you give the gross profit for NovaStar Technologies in 2022,unit_scale_change,,gross_profit,"{""derived"": ""gross_profit"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""20_revenue"", ""depth"": 0}, ""right"": {""leaf"": ""20_cost_of_goods_sold"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}","{""kind"": ""derived_concept"", ""name"": ""gross_profit"", ""depth"": 0}",85736.0,3,0,1,616188060,857238853,147638620,0.135,0,1,2,20_revenue,revenue,revenue,NovaStar Technologies,2022,M_USD,149.263,20_cost_of_goods_sold,cost_of_goods_sold,cost of goods sold,NovaStar Technologies,2022,M_USD,63.527,,,,,,,,,,,,,,,,,,,,,,,,,,,,
