id,company,ticker,industry,difficulty,category,concept,question,answer,answer_formatted,answer_type,formal_program,computation_trace,variables_used,periods_used
QA-00011,Obsidian Data Corp,ODC,Large-cap Technology,2,change,,What was the change in cash and cash equivalents from 2021 to 2022?,71042.0,"$71,042 million",monetary,"diff(get_value(cash_and_equivalents, 2022), get_value(cash_and_equivalents, 2021))",cash_and_equivalents(2022) - cash_and_equivalents(2021) = 93105.0 - 22063.0 = 71042.0,cash_and_equivalents,2021|2022
QA-00012,Obsidian Data Corp,ODC,Large-cap Technology,2,change,,What was the change in net income from 2021 to 2022?,1099.0,"$1,099 million",monetary,"diff(get_value(net_income, 2022), get_value(net_income, 2021))",net_income(2022) - net_income(2021) = 31157.0 - 30058.0 = 1099.0,net_income,2021|2022
QA-00013,Obsidian Data Corp,ODC,Large-cap Technology,2,change,,By how much did long-term debt increase or decrease between 2021 and 2022?,44643.0,"$44,643 million",monetary,"diff(get_value(long_term_debt, 2022), get_value(long_term_debt, 2021))",long_term_debt(2022) - long_term_debt(2021) = 68036.0 - 23393.0 = 44643.0,long_term_debt,2021|2022
QA-00014,Obsidian Data Corp,ODC,Large-cap Technology,2,change,,What was the change in operating income from 2021 to 2022?,942.0,$942.00 million,monetary,"diff(get_value(operating_income, 2022), get_value(operating_income, 2021))",operating_income(2022) - operating_income(2021) = 40348.0 - 39406.0 = 942.0,operating_income,2021|2022
QA-00015,Obsidian Data Corp,ODC,Large-cap Technology,2,change,,What was the change in gross profit from 2021 to 2022?,11471.0,"$11,471 million",monetary,"diff(get_value(gross_profit, 2022), get_value(gross_profit, 2021))",gross_profit(2022) - gross_profit(2021) = 111303.0 - 99832.0 = 11471.0,gross_profit,2021|2022
QA-00016,Obsidian Data Corp,ODC,Large-cap Technology,2,change,,By how much did total liabilities increase or decrease between 2021 and 2022?,135840.0,"$135,840 million",monetary,"diff(get_value(total_liabilities, 2022), get_value(total_liabilities, 2021))",total_liabilities(2022) - total_liabilities(2021) = 204628.0 - 68788.0 = 135840.0,total_liabilities,2021|2022
QA-00017,Obsidian Data Corp,ODC,Large-cap Technology,2,ratio,,What percentage of total assets was long-term debt in 2021?,0.086,0.0860,ratio,"ratio(get_value(long_term_debt, 2021), get_value(total_assets, 2021))",long_term_debt(2021) / total_assets(2021) = 23393.0 / 271989.0 = 0.086,long_term_debt|total_assets,2021
QA-00018,Obsidian Data Corp,ODC,Large-cap Technology,2,ratio,,What was inventories as a proportion of cost of goods sold in 2020?,0.1444,0.1444,ratio,"ratio(get_value(inventories, 2020), get_value(cost_of_goods_sold, 2020))",inventories(2020) / cost_of_goods_sold(2020) = 6333.0 / 43844.0 = 0.1444,inventories|cost_of_goods_sold,2020
QA-00019,Obsidian Data Corp,ODC,Large-cap Technology,2,ratio,,What was the ratio of cash and cash equivalents to total assets in 2020?,0.2745,0.2745,ratio,"ratio(get_value(cash_and_equivalents, 2020), get_value(total_assets, 2020))",cash_and_equivalents(2020) / total_assets(2020) = 149852.0 / 545841.0 = 0.2745,cash_and_equivalents|total_assets,2020
QA-00020,Obsidian Data Corp,ODC,Large-cap Technology,2,ratio,,"What was selling, general and administrative expense as a proportion of total revenue in 2021?",0.0963,0.0963,ratio,"ratio(get_value(selling_general_admin, 2021), get_value(total_revenue, 2021))",selling_general_admin(2021) / total_revenue(2021) = 16280.0 / 168984.0 = 0.0963,selling_general_admin|total_revenue,2021
QA-00021,Obsidian Data Corp,ODC,Large-cap Technology,3,cash_flow,free_cash_flow,What was the free cash flow in 2020?,55809.0,55809.0000,ratio,"diff(get_value(cash_from_operations, 2020), get_value(capital_expenditures, 2020))",free_cash_flow(2020) = 55809.0,cash_from_operations|capital_expenditures,2020
QA-00022,Obsidian Data Corp,ODC,Large-cap Technology,3,efficiency,rd_to_revenue,What was Obsidian Data Corp's R&D intensity in 2021?,0.2094,0.2094,ratio,"ratio(get_value(research_and_development, 2021), get_value(total_revenue, 2021))",rd_to_revenue(2021) = 0.2094,research_and_development|total_revenue,2021
QA-00023,Obsidian Data Corp,ODC,Large-cap Technology,3,profitability,net_profit_margin,How much of each dollar of revenue was net income for Obsidian Data Corp in 2021?,0.1779,0.1779,ratio,"ratio(get_value(net_income, 2021), get_value(total_revenue, 2021))",net_profit_margin(2021) = 0.1779,net_income|total_revenue,2021
QA-00024,Obsidian Data Corp,ODC,Large-cap Technology,3,liquidity,quick_ratio,"Excluding inventory, what was Obsidian Data Corp's liquidity ratio in 2021?",1.6834,1.6834,ratio,"ratio(diff(get_value(total_current_assets, 2021), get_value(inventories, 2021)), get_value(total_current_liabilities, 2021))",quick_ratio(2021) = 1.6834,total_current_assets|inventories|total_current_liabilities,2021
QA-00025,Obsidian Data Corp,ODC,Large-cap Technology,3,liquidity,current_ratio,What was the current ratio in 2020?,2.657,2.6570,ratio,"ratio(get_value(total_current_assets, 2020), get_value(total_current_liabilities, 2020))",current_ratio(2020) = 2.657,total_current_assets|total_current_liabilities,2020
QA-00026,Obsidian Data Corp,ODC,Large-cap Technology,3,efficiency,capex_to_revenue,How capital-intensive was Obsidian Data Corp in 2021?,0.0823,0.0823,ratio,"ratio(get_value(capital_expenditures, 2021), get_value(total_revenue, 2021))",capex_to_revenue(2021) = 0.0823,capital_expenditures|total_revenue,2021
QA-00027,Obsidian Data Corp,ODC,Large-cap Technology,3,profitability,return_on_equity,What was the return on equity (ROE) in 2022?,0.1577,0.1577,ratio,"ratio(get_value(net_income, 2022), avg(get_value(total_stockholders_equity, 2022), get_value(total_stockholders_equity, 2021)))",return_on_equity(2022) = 0.1577,net_income|total_stockholders_equity,2022|2021
QA-00028,Obsidian Data Corp,ODC,Large-cap Technology,3,profitability,effective_tax_rate,What percentage of pre-tax income did Obsidian Data Corp pay in taxes in 2020?,0.185,0.1850,ratio,"ratio(get_value(income_tax_expense, 2020), get_value(income_before_tax, 2020))",effective_tax_rate(2020) = 0.185,income_tax_expense|income_before_tax,2020
QA-00029,Obsidian Data Corp,ODC,Large-cap Technology,3,profitability,gross_margin,What percentage of revenue was retained after cost of goods sold in 2020?,0.739,0.7390,ratio,"ratio(get_value(gross_profit, 2020), get_value(total_revenue, 2020))",gross_margin(2020) = 0.739,gross_profit|total_revenue,2020
QA-00030,Obsidian Data Corp,ODC,Large-cap Technology,3,profitability,operating_margin,What was the operating profit margin in 2021?,0.2332,0.2332,ratio,"ratio(get_value(operating_income, 2021), get_value(total_revenue, 2021))",operating_margin(2021) = 0.2332,operating_income|total_revenue,2021
QA-00031,Obsidian Data Corp,ODC,Large-cap Technology,4,liquidity,change_in_current_ratio,By how much did the current ratio change from fiscal year 2021 to 2022?,0.5283,0.5283,ratio_change,"diff(current_ratio(2022), current_ratio(2021))",current_ratio(2022) - current_ratio(2021) = 2.2961 - 1.7678 = 0.5283,total_current_assets|total_current_liabilities,2021|2022
QA-00032,Obsidian Data Corp,ODC,Large-cap Technology,4,profitability,change_in_operating_margin,By how much did the operating margin change from fiscal year 2021 to 2022?,-0.0227,-0.0227,ratio_change,"diff(operating_margin(2022), operating_margin(2021))",operating_margin(2022) - operating_margin(2021) = 0.2105 - 0.2332 = -0.0227,operating_income|total_revenue,2021|2022
QA-00033,Obsidian Data Corp,ODC,Large-cap Technology,4,leverage,change_in_debt_to_equity,What was the change in Obsidian Data Corp's debt to equity between 2021 and 2022?,0.7282,0.7282,ratio_change,"diff(debt_to_equity(2022), debt_to_equity(2021))",debt_to_equity(2022) - debt_to_equity(2021) = 1.0667 - 0.3385 = 0.7282,total_liabilities|total_stockholders_equity,2021|2022
QA-00034,Obsidian Data Corp,ODC,Large-cap Technology,4,profitability,change_in_gross_margin,What was the change in Obsidian Data Corp's gross margin between 2021 and 2022?,-0.01,-0.0100,ratio_change,"diff(gross_margin(2022), gross_margin(2021))",gross_margin(2022) - gross_margin(2021) = 0.5808 - 0.5908 = -0.01,gross_profit|total_revenue,2021|2022
QA-00035,Obsidian Data Corp,ODC,Large-cap Technology,4,growth,asset_growth,What was the year-over-year growth in Obsidian Data Corp's asset base?,45.76,45.76%,percentage,"pct_change(total_assets, 2021, 2022)",(total_assets(2022) - total_assets(2021)) / |total_assets(2021)| * 100 = (396453.0 - 271989.0) / 271989.0 * 100 = 45.76%,total_assets,2021|2022
QA-00036,Obsidian Data Corp,ODC,Large-cap Technology,4,growth,equity_growth,How did shareholders' equity change from 2021 to 2022?,-5.6,-5.6%,percentage,"pct_change(total_stockholders_equity, 2021, 2022)",(total_stockholders_equity(2022) - total_stockholders_equity(2021)) / |total_stockholders_equity(2021)| * 100 = (191825.0 - 203201.0) / 203201.0 * 100 = -5.6%,total_stockholders_equity,2021|2022
QA-00037,Obsidian Data Corp,ODC,Large-cap Technology,4,growth,operating_income_growth,What was the change in operating income from 2021 to 2022?,2.39,2.39%,percentage,"pct_change(operating_income, 2021, 2022)",(operating_income(2022) - operating_income(2021)) / |operating_income(2021)| * 100 = (40348.0 - 39406.0) / 39406.0 * 100 = 2.39%,operating_income,2021|2022
QA-00038,Obsidian Data Corp,ODC,Large-cap Technology,5,leverage,did_debt_to_equity_improve,Was there an improvement in the debt to equity between 2021 and 2022?,False,No,boolean,"compare_gt(debt_to_equity(2022), debt_to_equity(2021))","debt_to_equity(2021)=0.3385, debt_to_equity(2022)=1.0667, improved=False, change=0.7282",total_liabilities|total_stockholders_equity,2021|2022
QA-00039,Obsidian Data Corp,ODC,Large-cap Technology,5,profitability,did_gross_margin_improve,"Did the gross margin get better from 2021 to 2022, and by how much?",False,No,boolean,"compare_gt(gross_margin(2022), gross_margin(2021))","gross_margin(2021)=0.5908, gross_margin(2022)=0.5808, improved=False, change=-0.01",gross_profit|total_revenue,2021|2022
QA-00040,Obsidian Data Corp,ODC,Large-cap Technology,5,cash_flow,change_in_fcf_margin,How did Obsidian Data Corp's free cash flow margin change from 2021 to 2022?,-0.0017,-0.0017,ratio_change,"diff(ratio(diff(cash_from_operations, capital_expenditures), total_revenue, 2022), ratio(diff(cash_from_operations, capital_expenditures), total_revenue, 2021))",FCF_margin(2022) - FCF_margin(2021) = 0.1423 - 0.144 = -0.0017,cash_from_operations|capital_expenditures|total_revenue,2021|2022
QA-00041,Quantum Bridge Holdings,QBH,Financial Services,1,lookup,,"According to the 2022 financial statements, what was the capital expenditures?",2410.0,"$2,410 million",monetary,"get_value(capital_expenditures, 2022)",capital_expenditures(2022) = 2410.0,capital_expenditures,2022
QA-00042,Quantum Bridge Holdings,QBH,Financial Services,1,lookup,,"According to the 2022 financial statements, what was the treasury stock?",-3973.0,"$-3,973 million",monetary,"get_value(treasury_stock, 2022)",treasury_stock(2022) = -3973.0,treasury_stock,2022
QA-00043,Quantum Bridge Holdings,QBH,Financial Services,1,lookup,,What was the share repurchases in 2022?,6662.0,"$6,662 million",monetary,"get_value(share_repurchases, 2022)",share_repurchases(2022) = 6662.0,share_repurchases,2022
QA-00044,Quantum Bridge Holdings,QBH,Financial Services,1,lookup,,How much did Quantum Bridge Holdings report for total operating expenses in fiscal year 2022?,36754.0,"$36,754 million",monetary,"get_value(total_operating_expenses, 2022)",total_operating_expenses(2022) = 36754.0,total_operating_expenses,2022
QA-00045,Quantum Bridge Holdings,QBH,Financial Services,1,lookup,,"According to the 2021 financial statements, what was the total current assets?",29639.0,"$29,639 million",monetary,"get_value(total_current_assets, 2021)",total_current_assets(2021) = 29639.0,total_current_assets,2021
QA-00046,Quantum Bridge Holdings,QBH,Financial Services,1,lookup,,"According to the 2022 financial statements, what was the income before taxes?",39365.0,"$39,365 million",monetary,"get_value(income_before_tax, 2022)",income_before_tax(2022) = 39365.0,income_before_tax,2022
QA-00047,Quantum Bridge Holdings,QBH,Financial Services,1,lookup,,What was the additional paid-in capital in 2020?,2393.0,"$2,393 million",monetary,"get_value(additional_paid_in_capital, 2020)",additional_paid_in_capital(2020) = 2393.0,additional_paid_in_capital,2020
QA-00048,Quantum Bridge Holdings,QBH,Financial Services,1,lookup,,"According to the 2021 financial statements, what was the gross profit?",59562.0,"$59,562 million",monetary,"get_value(gross_profit, 2021)",gross_profit(2021) = 59562.0,gross_profit,2021
QA-00049,Quantum Bridge Holdings,QBH,Financial Services,1,lookup,,"According to the 2020 financial statements, what was the long-term debt?",17151.0,"$17,151 million",monetary,"get_value(long_term_debt, 2020)",long_term_debt(2020) = 17151.0,long_term_debt,2020
QA-00050,Quantum Bridge Holdings,QBH,Financial Services,1,lookup,,What was the income taxes payable in 2020?,1377.0,"$1,377 million",monetary,"get_value(income_taxes_payable, 2020)",income_taxes_payable(2020) = 1377.0,income_taxes_payable,2020
QA-00051,Quantum Bridge Holdings,QBH,Financial Services,2,change,,What was the year-over-year change in Quantum Bridge Holdings's gross profit from 2021 to 2022?,17050.0,"$17,050 million",monetary,"diff(get_value(gross_profit, 2022), get_value(gross_profit, 2021))",gross_profit(2022) - gross_profit(2021) = 76612.0 - 59562.0 = 17050.0,gross_profit,2021|2022
QA-00052,Quantum Bridge Holdings,QBH,Financial Services,2,change,,What was the year-over-year change in Quantum Bridge Holdings's cash and cash equivalents from 2021 to 2022?,11776.0,"$11,776 million",monetary,"diff(get_value(cash_and_equivalents, 2022), get_value(cash_and_equivalents, 2021))",cash_and_equivalents(2022) - cash_and_equivalents(2021) = 25694.0 - 13918.0 = 11776.0,cash_and_equivalents,2021|2022
QA-00053,Quantum Bridge Holdings,QBH,Financial Services,2,change,,How did operating income change from fiscal year 2021 to 2022?,13072.0,"$13,072 million",monetary,"diff(get_value(operating_income, 2022), get_value(operating_income, 2021))",operating_income(2022) - operating_income(2021) = 39858.0 - 26786.0 = 13072.0,operating_income,2021|2022
QA-00054,Quantum Bridge Holdings,QBH,Financial Services,2,change,,How did total liabilities change from fiscal year 2021 to 2022?,51685.0,"$51,685 million",monetary,"diff(get_value(total_liabilities, 2022), get_value(total_liabilities, 2021))",total_liabilities(2022) - total_liabilities(2021) = 160487.0 - 108802.0 = 51685.0,total_liabilities,2021|2022
QA-00055,Quantum Bridge Holdings,QBH,Financial Services,2,change,,By how much did total stockholders' equity increase or decrease between 2021 and 2022?,3900.0,"$3,900 million",monetary,"diff(get_value(total_stockholders_equity, 2022), get_value(total_stockholders_equity, 2021))",total_stockholders_equity(2022) - total_stockholders_equity(2021) = 16855.0 - 12955.0 = 3900.0,total_stockholders_equity,2021|2022
QA-00056,Quantum Bridge Holdings,QBH,Financial Services,2,change,,How did long-term debt change from fiscal year 2021 to 2022?,16194.0,"$16,194 million",monetary,"diff(get_value(long_term_debt, 2022), get_value(long_term_debt, 2021))",long_term_debt(2022) - long_term_debt(2021) = 72066.0 - 55872.0 = 16194.0,long_term_debt,2021|2022
QA-00057,Quantum Bridge Holdings,QBH,Financial Services,2,ratio,,"What was the ratio of selling, general and administrative expense to total revenue in 2021?",0.2834,0.2834,ratio,"ratio(get_value(selling_general_admin, 2021), get_value(total_revenue, 2021))",selling_general_admin(2021) / total_revenue(2021) = 27422.0 / 96767.0 = 0.2834,selling_general_admin|total_revenue,2021
QA-00058,Quantum Bridge Holdings,QBH,Financial Services,2,ratio,,"For every dollar of cost of goods sold, how much inventories did Quantum Bridge Holdings have in 2021?",0.0859,0.0859,ratio,"ratio(get_value(inventories, 2021), get_value(cost_of_goods_sold, 2021))",inventories(2021) / cost_of_goods_sold(2021) = 3197.0 / 37205.0 = 0.0859,inventories|cost_of_goods_sold,2021
QA-00059,Quantum Bridge Holdings,QBH,Financial Services,2,ratio,,What percentage of total assets was cash and cash equivalents in 2020?,0.1096,0.1096,ratio,"ratio(get_value(cash_and_equivalents, 2020), get_value(total_assets, 2020))",cash_and_equivalents(2020) / total_assets(2020) = 7279.0 / 66402.0 = 0.1096,cash_and_equivalents|total_assets,2020
QA-00060,Quantum Bridge Holdings,QBH,Financial Services,2,ratio,,What percentage of total assets was long-term debt in 2022?,0.4064,0.4064,ratio,"ratio(get_value(long_term_debt, 2022), get_value(total_assets, 2022))",long_term_debt(2022) / total_assets(2022) = 72066.0 / 177342.0 = 0.4064,long_term_debt|total_assets,2022
QA-00061,Quantum Bridge Holdings,QBH,Financial Services,3,leverage,debt_to_assets,What was the debt-to-assets ratio in 2021?,0.8936,0.8936,ratio,"ratio(get_value(total_liabilities, 2021), get_value(total_assets, 2021))",debt_to_assets(2021) = 0.8936,total_liabilities|total_assets,2021
QA-00062,Quantum Bridge Holdings,QBH,Financial Services,3,cash_flow,free_cash_flow,How much cash was left after capital expenditures in 2020?,24528.0,24528.0000,ratio,"diff(get_value(cash_from_operations, 2020), get_value(capital_expenditures, 2020))",free_cash_flow(2020) = 24528.0,cash_from_operations|capital_expenditures,2020
QA-00063,Quantum Bridge Holdings,QBH,Financial Services,3,efficiency,rd_to_revenue,What was Quantum Bridge Holdings's R&D intensity in 2021?,0.0341,0.0341,ratio,"ratio(get_value(research_and_development, 2021), get_value(total_revenue, 2021))",rd_to_revenue(2021) = 0.0341,research_and_development|total_revenue,2021
QA-00064,Quantum Bridge Holdings,QBH,Financial Services,3,profitability,net_profit_margin,How much of each dollar of revenue was net income for Quantum Bridge Holdings in 2021?,0.2005,0.2005,ratio,"ratio(get_value(net_income, 2021), get_value(total_revenue, 2021))",net_profit_margin(2021) = 0.2005,net_income|total_revenue,2021
QA-00065,Quantum Bridge Holdings,QBH,Financial Services,3,profitability,operating_margin,What was the operating profit margin in 2021?,0.2768,0.2768,ratio,"ratio(get_value(operating_income, 2021), get_value(total_revenue, 2021))",operating_margin(2021) = 0.2768,operating_income|total_revenue,2021
QA-00066,Quantum Bridge Holdings,QBH,Financial Services,3,leverage,debt_to_equity,How leveraged was Quantum Bridge Holdings in 2022?,9.5216,9.5216,ratio,"ratio(get_value(total_liabilities, 2022), get_value(total_stockholders_equity, 2022))",debt_to_equity(2022) = 9.5216,total_liabilities|total_stockholders_equity,2022
QA-00067,Quantum Bridge Holdings,QBH,Financial Services,3,efficiency,capex_to_revenue,What was capital expenditure as a percentage of revenue in 2020?,0.0111,0.0111,ratio,"ratio(get_value(capital_expenditures, 2020), get_value(total_revenue, 2020))",capex_to_revenue(2020) = 0.0111,capital_expenditures|total_revenue,2020
QA-00068,Quantum Bridge Holdings,QBH,Financial Services,3,profitability,return_on_equity,What was the return on equity (ROE) in 2022?,2.0696,2.0696,ratio,"ratio(get_value(net_income, 2022), avg(get_value(total_stockholders_equity, 2022), get_value(total_stockholders_equity, 2021)))",return_on_equity(2022) = 2.0696,net_income|total_stockholders_equity,2022|2021
QA-00069,Quantum Bridge Holdings,QBH,Financial Services,3,liquidity,current_ratio,What was Quantum Bridge Holdings's current ratio for fiscal year 2020?,0.8725,0.8725,ratio,"ratio(get_value(total_current_assets, 2020), get_value(total_current_liabilities, 2020))",current_ratio(2020) = 0.8725,total_current_assets|total_current_liabilities,2020
QA-00070,Quantum Bridge Holdings,QBH,Financial Services,3,leverage,interest_coverage,What was the interest coverage ratio in 2020?,36.2753,36.2753,ratio,"ratio(get_value(operating_income, 2020), get_value(interest_expense, 2020))",interest_coverage(2020) = 36.2753,operating_income|interest_expense,2020
QA-00071,Quantum Bridge Holdings,QBH,Financial Services,4,leverage,change_in_debt_to_equity,How did the debt to equity change from 2021 to 2022?,1.1232,1.1232,ratio_change,"diff(debt_to_equity(2022), debt_to_equity(2021))",debt_to_equity(2022) - debt_to_equity(2021) = 9.5216 - 8.3985 = 1.1232,total_liabilities|total_stockholders_equity,2021|2022
QA-00072,Quantum Bridge Holdings,QBH,Financial Services,4,profitability,change_in_operating_margin,By how much did the operating margin change from fiscal year 2021 to 2022?,0.1422,0.1422,ratio_change,"diff(operating_margin(2022), operating_margin(2021))",operating_margin(2022) - operating_margin(2021) = 0.419 - 0.2768 = 0.1422,operating_income|total_revenue,2021|2022
QA-00073,Quantum Bridge Holdings,QBH,Financial Services,4,profitability,change_in_gross_margin,What was the change in Quantum Bridge Holdings's gross margin between 2021 and 2022?,0.1898,0.1898,ratio_change,"diff(gross_margin(2022), gross_margin(2021))",gross_margin(2022) - gross_margin(2021) = 0.8053 - 0.6155 = 0.1898,gross_profit|total_revenue,2021|2022
QA-00074,Quantum Bridge Holdings,QBH,Financial Services,4,liquidity,change_in_current_ratio,How did the current ratio change from 2021 to 2022?,0.392,0.3920,ratio_change,"diff(current_ratio(2022), current_ratio(2021))",current_ratio(2022) - current_ratio(2021) = 1.3159 - 0.924 = 0.392,total_current_assets|total_current_liabilities,2021|2022
QA-00075,Quantum Bridge Holdings,QBH,Financial Services,4,growth,net_income_growth,By what percentage did Quantum Bridge Holdings's earnings change from 2021 to 2022?,59.0,59.0%,percentage,"pct_change(net_income, 2021, 2022)",(net_income(2022) - net_income(2021)) / |net_income(2021)| * 100 = (30847.0 - 19401.0) / 19401.0 * 100 = 59.0%,net_income,2021|2022
QA-00076,Quantum Bridge Holdings,QBH,Financial Services,4,growth,revenue_growth,What was the revenue growth rate from 2021 to 2022?,-1.69,-1.69%,percentage,"pct_change(total_revenue, 2021, 2022)",(total_revenue(2022) - total_revenue(2021)) / |total_revenue(2021)| * 100 = (95133.0 - 96767.0) / 96767.0 * 100 = -1.69%,total_revenue,2021|2022
QA-00077,Quantum Bridge Holdings,QBH,Financial Services,4,growth,operating_income_growth,What was the change in operating income from 2021 to 2022?,48.8,48.8%,percentage,"pct_change(operating_income, 2021, 2022)",(operating_income(2022) - operating_income(2021)) / |operating_income(2021)| * 100 = (39858.0 - 26786.0) / 26786.0 * 100 = 48.8%,operating_income,2021|2022
QA-00078,Quantum Bridge Holdings,QBH,Financial Services,5,leverage,did_debt_to_equity_improve,Was there an improvement in the debt to equity between 2021 and 2022?,False,No,boolean,"compare_gt(debt_to_equity(2022), debt_to_equity(2021))","debt_to_equity(2021)=8.3985, debt_to_equity(2022)=9.5216, improved=False, change=1.1232",total_liabilities|total_stockholders_equity,2021|2022
QA-00079,Quantum Bridge Holdings,QBH,Financial Services,5,profitability,did_operating_margin_improve,Was there an improvement in the operating margin between 2021 and 2022?,True,Yes,boolean,"compare_gt(operating_margin(2022), operating_margin(2021))","operating_margin(2021)=0.2768, operating_margin(2022)=0.419, improved=True, change=0.1422",operating_income|total_revenue,2021|2022
QA-00080,Quantum Bridge Holdings,QBH,Financial Services,5,cash_flow,change_in_fcf_margin,How did Quantum Bridge Holdings's free cash flow margin change from 2021 to 2022?,0.0882,0.0882,ratio_change,"diff(ratio(diff(cash_from_operations, capital_expenditures), total_revenue, 2022), ratio(diff(cash_from_operations, capital_expenditures), total_revenue, 2021))",FCF_margin(2022) - FCF_margin(2021) = 0.3251 - 0.2369 = 0.0882,cash_from_operations|capital_expenditures|total_revenue,2021|2022
QA-00081,Helix BioSciences,HB,Consumer Goods / Retail,1,lookup,,What was the retained earnings in 2020?,151716.0,"$151,716 million",monetary,"get_value(retained_earnings, 2020)",retained_earnings(2020) = 151716.0,retained_earnings,2020
QA-00082,Helix BioSciences,HB,Consumer Goods / Retail,1,lookup,,How much did Helix BioSciences report for treasury stock in fiscal year 2020?,-29504.0,"$-29,504 million",monetary,"get_value(treasury_stock, 2020)",treasury_stock(2020) = -29504.0,treasury_stock,2020
QA-00083,Helix BioSciences,HB,Consumer Goods / Retail,1,lookup,,What was the diluted earnings per share in 2020?,4.7,$4.70 million,monetary,"get_value(eps_diluted, 2020)",eps_diluted(2020) = 4.7,eps_diluted,2020
QA-00084,Helix BioSciences,HB,Consumer Goods / Retail,1,lookup,,What was Helix BioSciences's net cash from investing activities as of 2021?,-16871.0,"$-16,871 million",monetary,"get_value(cash_from_investing, 2021)",cash_from_investing(2021) = -16871.0,cash_from_investing,2021
QA-00085,Helix BioSciences,HB,Consumer Goods / Retail,1,lookup,,What was the net change in cash in 2021?,20722.0,"$20,722 million",monetary,"get_value(net_change_in_cash, 2021)",net_change_in_cash(2021) = 20722.0,net_change_in_cash,2021
QA-00086,Helix BioSciences,HB,Consumer Goods / Retail,1,lookup,,How much did Helix BioSciences report for pension obligations in fiscal year 2020?,7228.0,"$7,228 million",monetary,"get_value(pension_obligations, 2020)",pension_obligations(2020) = 7228.0,pension_obligations,2020
QA-00087,Helix BioSciences,HB,Consumer Goods / Retail,1,lookup,,"According to the 2020 financial statements, what was the diluted shares outstanding?",10187.0,"$10,187 million",monetary,"get_value(shares_diluted, 2020)",shares_diluted(2020) = 10187.0,shares_diluted,2020
QA-00088,Helix BioSciences,HB,Consumer Goods / Retail,1,lookup,,"According to the 2022 financial statements, what was the additional paid-in capital?",51075.0,"$51,075 million",monetary,"get_value(additional_paid_in_capital, 2022)",additional_paid_in_capital(2022) = 51075.0,additional_paid_in_capital,2022
QA-00089,Helix BioSciences,HB,Consumer Goods / Retail,1,lookup,,"What was Helix BioSciences's property, plant and equipment as of 2022?",44837.0,"$44,837 million",monetary,"get_value(property_plant_equipment_net, 2022)",property_plant_equipment_net(2022) = 44837.0,property_plant_equipment_net,2022
QA-00090,Helix BioSciences,HB,Consumer Goods / Retail,1,lookup,,How much did Helix BioSciences report for current deferred revenue in fiscal year 2022?,8737.0,"$8,737 million",monetary,"get_value(deferred_revenue_current, 2022)",deferred_revenue_current(2022) = 8737.0,deferred_revenue_current,2022
