question_id,depth,question,expression,expression_json,template_expression,answer,template_depth_requested,template_actual_depth,bound_expression_depth,tree_seed,binding_seed,master_seed,derived_prob,template_internal_nodes,template_leaf_slots,bound_leaf_count,leaf_1_key,leaf_1_concept,leaf_1_label,leaf_1_entity,leaf_1_period,leaf_1_unit,leaf_1_value,leaf_2_key,leaf_2_concept,leaf_2_label,leaf_2_entity,leaf_2_period,leaf_2_unit,leaf_2_value,leaf_3_key,leaf_3_concept,leaf_3_label,leaf_3_entity,leaf_3_period,leaf_3_unit,leaf_3_value,leaf_4_key,leaf_4_concept,leaf_4_label,leaf_4_entity,leaf_4_period,leaf_4_unit,leaf_4_value,leaf_5_key,leaf_5_concept,leaf_5_label,leaf_5_entity,leaf_5_period,leaf_5_unit,leaf_5_value,leaf_6_key,leaf_6_concept,leaf_6_label,leaf_6_entity,leaf_6_period,leaf_6_unit,leaf_6_value,leaf_7_key,leaf_7_concept,leaf_7_label,leaf_7_entity,leaf_7_period,leaf_7_unit,leaf_7_value,leaf_8_key,leaf_8_concept,leaf_8_label,leaf_8_entity,leaf_8_period,leaf_8_unit,leaf_8_value,leaf_9_key,leaf_9_concept,leaf_9_label,leaf_9_entity,leaf_9_period,leaf_9_unit,leaf_9_value,leaf_10_key,leaf_10_concept,leaf_10_label,leaf_10_entity,leaf_10_period,leaf_10_unit,leaf_10_value,leaf_11_key,leaf_11_concept,leaf_11_label,leaf_11_entity,leaf_11_period,leaf_11_unit,leaf_11_value,leaf_12_key,leaf_12_concept,leaf_12_label,leaf_12_entity,leaf_12_period,leaf_12_unit,leaf_12_value,leaf_13_key,leaf_13_concept,leaf_13_label,leaf_13_entity,leaf_13_period,leaf_13_unit,leaf_13_value,leaf_14_key,leaf_14_concept,leaf_14_label,leaf_14_entity,leaf_14_period,leaf_14_unit,leaf_14_value,leaf_15_key,leaf_15_concept,leaf_15_label,leaf_15_entity,leaf_15_period,leaf_15_unit,leaf_15_value,leaf_16_key,leaf_16_concept,leaf_16_label,leaf_16_entity,leaf_16_period,leaf_16_unit,leaf_16_value,leaf_17_key,leaf_17_concept,leaf_17_label,leaf_17_entity,leaf_17_period,leaf_17_unit,leaf_17_value,leaf_18_key,leaf_18_concept,leaf_18_label,leaf_18_entity,leaf_18_period,leaf_18_unit,leaf_18_value,leaf_19_key,leaf_19_concept,leaf_19_label,leaf_19_entity,leaf_19_period,leaf_19_unit,leaf_19_value
11,3,state the current assets for Pinnacle Health Group in 2023.,current_assets,"{""derived"": ""current_assets"", ""expanded"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""leaf"": ""33_cash"", ""depth"": 0}, ""right"": {""leaf"": ""33_accounts_receivable"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""33_inventories"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""33_short_term_investments"", ""depth"": 0}, ""depth"": 3}, ""depth"": 3}","{""kind"": ""derived_concept"", ""name"": ""current_assets"", ""depth"": 0}",5481.0,1,0,3,907456211,79372856,470230362,0.409,0,1,4,33_cash,cash,cash,Pinnacle Health Group,2023,M_USD,2062.0,33_accounts_receivable,accounts_receivable,accounts receivable,Pinnacle Health Group,2023,M_USD,1604.0,33_inventories,inventories,inventories,Pinnacle Health Group,2023,M_USD,1096.0,33_short_term_investments,short_term_investments,short term investments,Pinnacle Health Group,2023,M_USD,719.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,3,What would be the the minimum of cash for Cobalt Semiconductor using values from 2020 through 2023 ?,"min(min(min(66_cash, 67_cash), 68_cash), 69_cash)","{""op"": ""min"", ""left"": {""op"": ""min"", ""left"": {""op"": ""min"", ""left"": {""leaf"": ""66_cash"", ""depth"": 0}, ""right"": {""leaf"": ""67_cash"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""68_cash"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""69_cash"", ""depth"": 0}, ""depth"": 3}","{""kind"": ""time_agg"", ""op"": ""min"", ""depth"": 0}",5108.0,4,0,3,591749721,429228099,470230362,0.473,0,1,4,66_cash,cash,cash,Cobalt Semiconductor,2020,M_USD,12598.0,67_cash,cash,cash,Cobalt Semiconductor,2021,M_USD,5108.0,68_cash,cash,cash,Cobalt Semiconductor,2022,M_USD,6222.0,69_cash,cash,cash,Cobalt Semiconductor,2023,M_USD,7204.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,3,Give the average operating expenses for Orion Financial Group across years 2020 through 2022.,"ratio(sum(sum(54_operating_expenses, 55_operating_expenses), 56_operating_expenses), 3.0)","{""op"": ""ratio"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""leaf"": ""54_operating_expenses"", ""depth"": 0}, ""right"": {""leaf"": ""55_operating_expenses"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""56_operating_expenses"", ""depth"": 0}, ""depth"": 2}, ""right"": {""literal"": 3.0, ""depth"": 0}, ""depth"": 3}","{""kind"": ""time_agg"", ""op"": ""avg"", ""depth"": 0}",24143.0,2,0,3,259405095,278642353,470230362,0.105,0,1,3,54_operating_expenses,operating_expenses,operating expenses,Orion Financial Group,2020,M_USD,21496.0,55_operating_expenses,operating_expenses,operating expenses,Orion Financial Group,2021,M_USD,24051.0,56_operating_expenses,operating_expenses,operating expenses,Orion Financial Group,2022,M_USD,26882.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,6,What would be the sum of result of revenue for ClearPath Logistics in 2025 scaled by growth between operating expenses for ClearPath Logistics in 2023 and current assets and difference between total equity and operating income for ClearPath Logistics in 2025?,"sum(mul(83_revenue, growth(81_operating_expenses, current_assets)), diff(83_total_equity, operating_income))","{""op"": ""sum"", ""left"": {""op"": ""mul"", ""left"": {""leaf"": ""83_revenue"", ""depth"": 0}, ""right"": {""op"": ""growth"", ""left"": {""leaf"": ""81_operating_expenses"", ""depth"": 0}, ""right"": {""derived"": ""current_assets"", ""expanded"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""leaf"": ""83_cash"", ""depth"": 0}, ""right"": {""leaf"": ""83_accounts_receivable"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""83_inventories"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""83_short_term_investments"", ""depth"": 0}, ""depth"": 3}, ""depth"": 3}, ""depth"": 4}, ""depth"": 5}, ""right"": {""op"": ""diff"", ""left"": {""leaf"": ""83_total_equity"", ""depth"": 0}, ""right"": {""derived"": ""operating_income"", ""expanded"": {""op"": ""diff"", ""left"": {""derived"": ""gross_profit"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""83_revenue"", ""depth"": 0}, ""right"": {""leaf"": ""83_cost_of_goods_sold"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}, ""right"": {""leaf"": ""83_operating_expenses"", ""depth"": 0}, ""depth"": 2}, ""depth"": 2}, ""depth"": 3}, ""depth"": 6}","{""op"": ""sum"", ""left"": {""op"": ""mul"", ""left"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}, ""right"": {""op"": ""growth"", ""left"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}, ""right"": {""kind"": ""derived_concept"", ""name"": ""current_assets"", ""depth"": 0}, ""depth"": 1, ""kind"": ""node""}, ""depth"": 2, ""kind"": ""node""}, ""right"": {""op"": ""diff"", ""left"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}, ""right"": {""kind"": ""derived_concept"", ""name"": ""operating_income"", ""depth"": 0}, ""depth"": 1, ""kind"": ""node""}, ""depth"": 3, ""kind"": ""node""}",-493675.7114986698,4,3,6,158418845,562689373,470230362,0.163,4,5,10,83_revenue,revenue,revenue,ClearPath Logistics,2025,M_USD,687936.0,81_operating_expenses,operating_expenses,operating expenses,ClearPath Logistics,2023,M_USD,33798.0,83_cash,cash,cash,ClearPath Logistics,2025,M_USD,49347.0,83_accounts_receivable,accounts_receivable,accounts receivable,ClearPath Logistics,2025,M_USD,81117.0,83_inventories,inventories,inventories,ClearPath Logistics,2025,M_USD,35796.0,83_short_term_investments,short_term_investments,short term investments,ClearPath Logistics,2025,M_USD,77316.0,83_total_equity,total_equity,total equity,ClearPath Logistics,2025,M_USD,205976.0,83_revenue,revenue,revenue,ClearPath Logistics,2025,M_USD,687936.0,83_cost_of_goods_sold,cost_of_goods_sold,cost of goods sold,ClearPath Logistics,2025,M_USD,445215.0,83_operating_expenses,operating_expenses,operating expenses,ClearPath Logistics,2025,M_USD,135549.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1,state the the maximum of total assets for Pacific Crest Energy using values from 2024 through 2025.,"max(52_total_assets, 53_total_assets)","{""op"": ""max"", ""left"": {""leaf"": ""52_total_assets"", ""depth"": 0}, ""right"": {""leaf"": ""53_total_assets"", ""depth"": 0}, ""depth"": 1}","{""kind"": ""time_agg"", ""op"": ""max"", ""depth"": 0}",178551.0,3,0,1,874397823,171594186,470230362,0.588,0,1,2,52_total_assets,total_assets,total assets,Pacific Crest Energy,2024,M_USD,146965.0,53_total_assets,total_assets,total assets,Pacific Crest Energy,2025,M_USD,178551.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,4,what do we obtain as the longterm assets for Cobalt Semiconductor in 2021,longterm_assets,"{""derived"": ""longterm_assets"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""67_total_assets"", ""depth"": 0}, ""right"": {""derived"": ""current_assets"", ""expanded"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""leaf"": ""67_cash"", ""depth"": 0}, ""right"": {""leaf"": ""67_accounts_receivable"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""67_inventories"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""67_short_term_investments"", ""depth"": 0}, ""depth"": 3}, ""depth"": 3}, ""depth"": 4}, ""depth"": 4}","{""kind"": ""derived_concept"", ""name"": ""longterm_assets"", ""depth"": 0}",38750.0,3,0,4,455959906,611956200,470230362,0.434,0,1,5,67_total_assets,total_assets,total assets,Cobalt Semiconductor,2021,M_USD,52204.0,67_cash,cash,cash,Cobalt Semiconductor,2021,M_USD,5108.0,67_accounts_receivable,accounts_receivable,accounts receivable,Cobalt Semiconductor,2021,M_USD,3277.0,67_inventories,inventories,inventories,Cobalt Semiconductor,2021,M_USD,4147.0,67_short_term_investments,short_term_investments,short term investments,Cobalt Semiconductor,2021,M_USD,922.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,6,evaluate the average short term investments for Titan Consumer Brands across years 2020 through 2025 .,"ratio(sum(sum(sum(sum(sum(60_short_term_investments, 61_short_term_investments), 62_short_term_investments), 63_short_term_investments), 64_short_term_investments), 65_short_term_investments), 6.0)","{""op"": ""ratio"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""leaf"": ""60_short_term_investments"", ""depth"": 0}, ""right"": {""leaf"": ""61_short_term_investments"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""62_short_term_investments"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""63_short_term_investments"", ""depth"": 0}, ""depth"": 3}, ""right"": {""leaf"": ""64_short_term_investments"", ""depth"": 0}, ""depth"": 4}, ""right"": {""leaf"": ""65_short_term_investments"", ""depth"": 0}, ""depth"": 5}, ""right"": {""literal"": 6.0, ""depth"": 0}, ""depth"": 6}","{""kind"": ""time_agg"", ""op"": ""avg"", ""depth"": 0}",53999.166666666664,1,0,6,816546609,27203321,470230362,0.469,0,1,6,60_short_term_investments,short_term_investments,short term investments,Titan Consumer Brands,2020,M_USD,72012.0,61_short_term_investments,short_term_investments,short term investments,Titan Consumer Brands,2021,M_USD,33790.0,62_short_term_investments,short_term_investments,short term investments,Titan Consumer Brands,2022,M_USD,58523.0,63_short_term_investments,short_term_investments,short term investments,Titan Consumer Brands,2023,M_USD,21435.0,64_short_term_investments,short_term_investments,short term investments,Titan Consumer Brands,2024,M_USD,67721.0,65_short_term_investments,short_term_investments,short term investments,Titan Consumer Brands,2025,M_USD,70514.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,6,evaluate the sum of the minimum of total equity for Titan Consumer Brands using values from 2020 through 2025 and inventories for Titan Consumer Brands in 2025.,"sum(min(min(min(min(min(60_total_equity, 61_total_equity), 62_total_equity), 63_total_equity), 64_total_equity), 65_total_equity), 65_inventories)","{""op"": ""sum"", ""left"": {""op"": ""min"", ""left"": {""op"": ""min"", ""left"": {""op"": ""min"", ""left"": {""op"": ""min"", ""left"": {""op"": ""min"", ""left"": {""leaf"": ""60_total_equity"", ""depth"": 0}, ""right"": {""leaf"": ""61_total_equity"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""62_total_equity"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""63_total_equity"", ""depth"": 0}, ""depth"": 3}, ""right"": {""leaf"": ""64_total_equity"", ""depth"": 0}, ""depth"": 4}, ""right"": {""leaf"": ""65_total_equity"", ""depth"": 0}, ""depth"": 5}, ""right"": {""leaf"": ""65_inventories"", ""depth"": 0}, ""depth"": 6}","{""op"": ""sum"", ""left"": {""kind"": ""time_agg"", ""op"": ""min"", ""depth"": 0}, ""right"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}, ""depth"": 1, ""kind"": ""node""}",156876.0,3,1,6,142269784,288011443,470230362,0.179,1,2,7,60_total_equity,total_equity,total equity,Titan Consumer Brands,2020,M_USD,667765.0,61_total_equity,total_equity,total equity,Titan Consumer Brands,2021,M_USD,340707.0,62_total_equity,total_equity,total equity,Titan Consumer Brands,2022,M_USD,118715.0,63_total_equity,total_equity,total equity,Titan Consumer Brands,2023,M_USD,472468.0,64_total_equity,total_equity,total equity,Titan Consumer Brands,2024,M_USD,429776.0,65_total_equity,total_equity,total equity,Titan Consumer Brands,2025,M_USD,159893.0,65_inventories,inventories,inventories,Titan Consumer Brands,2025,M_USD,38161.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1,state the longterm liabilities for Pinnacle Health Group in 2020.,longterm_liabilities,"{""derived"": ""longterm_liabilities"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""30_total_liabilities"", ""depth"": 0}, ""right"": {""leaf"": ""30_current_liabilities"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}","{""kind"": ""derived_concept"", ""name"": ""longterm_liabilities"", ""depth"": 0}",7268.0,1,0,1,476935572,202743559,470230362,0.441,0,1,2,30_total_liabilities,total_liabilities,total liabilities,Pinnacle Health Group,2020,M_USD,10116.0,30_current_liabilities,current_liabilities,current liabilities,Pinnacle Health Group,2020,M_USD,2848.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,4,May you give the longterm assets for Orion Financial Group in 2024 ?,longterm_assets,"{""derived"": ""longterm_assets"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""58_total_assets"", ""depth"": 0}, ""right"": {""derived"": ""current_assets"", ""expanded"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""leaf"": ""58_cash"", ""depth"": 0}, ""right"": {""leaf"": ""58_accounts_receivable"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""58_inventories"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""58_short_term_investments"", ""depth"": 0}, ""depth"": 3}, ""depth"": 3}, ""depth"": 4}, ""depth"": 4}","{""kind"": ""derived_concept"", ""name"": ""longterm_assets"", ""depth"": 0}",163671.0,3,0,4,884293155,387727135,470230362,0.434,0,1,5,58_total_assets,total_assets,total assets,Orion Financial Group,2024,M_USD,269218.0,58_cash,cash,cash,Orion Financial Group,2024,M_USD,58304.0,58_accounts_receivable,accounts_receivable,accounts receivable,Orion Financial Group,2024,M_USD,12144.0,58_inventories,inventories,inventories,Orion Financial Group,2024,M_USD,8221.0,58_short_term_investments,short_term_investments,short term investments,Orion Financial Group,2024,M_USD,26878.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,5,which quantity is given by the result of sum of current liabilities for Ironclad Manufacturing in 2024 and ratio of sum of sum of operating expenses for Ironclad Manufacturing in 2021 and operating expenses for Ironclad Manufacturing in 2022 and operating expenses for Ironclad Manufacturing in 2023 to 3.0 scaled by growth between current liabilities for Ironclad Manufacturing in 2024 and operating income for Ironclad Manufacturing in 2021,"mul(sum(40_current_liabilities, ratio(sum(sum(37_operating_expenses, 38_operating_expenses), 39_operating_expenses), 3.0)), growth(40_current_liabilities, operating_income))","{""op"": ""mul"", ""left"": {""op"": ""sum"", ""left"": {""leaf"": ""40_current_liabilities"", ""depth"": 0}, ""right"": {""op"": ""ratio"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""leaf"": ""37_operating_expenses"", ""depth"": 0}, ""right"": {""leaf"": ""38_operating_expenses"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""39_operating_expenses"", ""depth"": 0}, ""depth"": 2}, ""right"": {""literal"": 3.0, ""depth"": 0}, ""depth"": 3}, ""depth"": 4}, ""right"": {""op"": ""growth"", ""left"": {""leaf"": ""40_current_liabilities"", ""depth"": 0}, ""right"": {""derived"": ""operating_income"", ""expanded"": {""op"": ""diff"", ""left"": {""derived"": ""gross_profit"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""37_revenue"", ""depth"": 0}, ""right"": {""leaf"": ""37_cost_of_goods_sold"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}, ""right"": {""leaf"": ""37_operating_expenses"", ""depth"": 0}, ""depth"": 2}, ""depth"": 2}, ""depth"": 3}, ""depth"": 5}","{""op"": ""mul"", ""left"": {""op"": ""sum"", ""left"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}, ""right"": {""kind"": ""time_agg"", ""op"": ""avg"", ""depth"": 0}, ""depth"": 1, ""kind"": ""node""}, ""right"": {""op"": ""growth"", ""left"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}, ""right"": {""kind"": ""derived_concept"", ""name"": ""operating_income"", ""depth"": 0}, ""depth"": 1, ""kind"": ""node""}, ""depth"": 2, ""kind"": ""node""}",-73318.9406863786,4,2,5,552380999,645568069,470230362,0.464,3,4,8,40_current_liabilities,current_liabilities,current liabilities,Ironclad Manufacturing,2024,M_USD,103109.0,37_operating_expenses,operating_expenses,operating expenses,Ironclad Manufacturing,2021,M_USD,36920.0,38_operating_expenses,operating_expenses,operating expenses,Ironclad Manufacturing,2022,M_USD,29590.0,39_operating_expenses,operating_expenses,operating expenses,Ironclad Manufacturing,2023,M_USD,96193.0,40_current_liabilities,current_liabilities,current liabilities,Ironclad Manufacturing,2024,M_USD,103109.0,37_revenue,revenue,revenue,Ironclad Manufacturing,2021,M_USD,340508.0,37_cost_of_goods_sold,cost_of_goods_sold,cost of goods sold,Ironclad Manufacturing,2021,M_USD,110507.0,37_operating_expenses,operating_expenses,operating expenses,Ironclad Manufacturing,2021,M_USD,36920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,which result follows from the non operating expenses for Ironclad Manufacturing in 2023 ?,39_non_operating_expenses,"{""leaf"": ""39_non_operating_expenses"", ""depth"": 0}","{""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}",27761.0,1,0,0,213305125,695114390,470230362,0.433,0,1,1,39_non_operating_expenses,non_operating_expenses,non operating expenses,Ironclad Manufacturing,2023,M_USD,27761.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,4,provide the average inventories for Pacific Crest Energy across years 2022 through 2025 .,"ratio(sum(sum(sum(50_inventories, 51_inventories), 52_inventories), 53_inventories), 4.0)","{""op"": ""ratio"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""leaf"": ""50_inventories"", ""depth"": 0}, ""right"": {""leaf"": ""51_inventories"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""52_inventories"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""53_inventories"", ""depth"": 0}, ""depth"": 3}, ""right"": {""literal"": 4.0, ""depth"": 0}, ""depth"": 4}","{""kind"": ""time_agg"", ""op"": ""avg"", ""depth"": 0}",7351.75,4,0,4,845699011,468093904,470230362,0.454,0,1,4,50_inventories,inventories,inventories,Pacific Crest Energy,2022,M_USD,3373.0,51_inventories,inventories,inventories,Pacific Crest Energy,2023,M_USD,6556.0,52_inventories,inventories,inventories,Pacific Crest Energy,2024,M_USD,10653.0,53_inventories,inventories,inventories,Pacific Crest Energy,2025,M_USD,8825.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,what's the value of the current liabilities for Atlas Global Industries in 2023,27_current_liabilities,"{""leaf"": ""27_current_liabilities"", ""depth"": 0}","{""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}",8455.0,2,0,0,265374787,602350182,470230362,0.38,0,1,1,27_current_liabilities,current_liabilities,current liabilities,Atlas Global Industries,2023,M_USD,8455.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,7,compute the difference between result of ratio of sum of sum of sum of sum of total assets for Quantum Bridge Holdings in 2021 and total assets for Quantum Bridge Holdings in 2022 and total assets for Quantum Bridge Holdings in 2023 and total assets for Quantum Bridge Holdings in 2024 and total assets for Quantum Bridge Holdings in 2025 to 5.0 scaled by growth in revenue for Quantum Bridge Holdings from 2022 to 2023 and total assets for Quantum Bridge Holdings in 2025.,"diff(mul(ratio(sum(sum(sum(sum(13_total_assets, 14_total_assets), 15_total_assets), 16_total_assets), 17_total_assets), 5.0), growth(14_revenue, 15_revenue)), 17_total_assets)","{""op"": ""diff"", ""left"": {""op"": ""mul"", ""left"": {""op"": ""ratio"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""leaf"": ""13_total_assets"", ""depth"": 0}, ""right"": {""leaf"": ""14_total_assets"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""15_total_assets"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""16_total_assets"", ""depth"": 0}, ""depth"": 3}, ""right"": {""leaf"": ""17_total_assets"", ""depth"": 0}, ""depth"": 4}, ""right"": {""literal"": 5.0, ""depth"": 0}, ""depth"": 5}, ""right"": {""op"": ""growth"", ""left"": {""leaf"": ""14_revenue"", ""depth"": 0}, ""right"": {""leaf"": ""15_revenue"", ""depth"": 0}, ""depth"": 1}, ""depth"": 6}, ""right"": {""leaf"": ""17_total_assets"", ""depth"": 0}, ""depth"": 7}","{""op"": ""diff"", ""left"": {""op"": ""mul"", ""left"": {""kind"": ""time_agg"", ""op"": ""avg"", ""depth"": 0}, ""right"": {""op"": ""growth"", ""left"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}, ""right"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}, ""depth"": 1, ""kind"": ""node""}, ""depth"": 2, ""kind"": ""node""}, ""right"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}, ""depth"": 3, ""kind"": ""node""}",-67076.64100015098,3,3,7,965188888,789044681,470230362,0.394,3,4,8,13_total_assets,total_assets,total assets,Quantum Bridge Holdings,2021,M_USD,63474.0,14_total_assets,total_assets,total assets,Quantum Bridge Holdings,2022,M_USD,185116.0,15_total_assets,total_assets,total assets,Quantum Bridge Holdings,2023,M_USD,90462.0,16_total_assets,total_assets,total assets,Quantum Bridge Holdings,2024,M_USD,86327.0,17_total_assets,total_assets,total assets,Quantum Bridge Holdings,2025,M_USD,65368.0,14_revenue,revenue,revenue,Quantum Bridge Holdings,2022,M_USD,84608.0,15_revenue,revenue,revenue,Quantum Bridge Holdings,2023,M_USD,86107.0,17_total_assets,total_assets,total assets,Quantum Bridge Holdings,2025,M_USD,65368.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1,Provide the difference between dividends paid and capex for Pacific Crest Energy in 2025.,"diff(53_dividends_paid, 53_capex)","{""op"": ""diff"", ""left"": {""leaf"": ""53_dividends_paid"", ""depth"": 0}, ""right"": {""leaf"": ""53_capex"", ""depth"": 0}, ""depth"": 1}","{""op"": ""diff"", ""left"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}, ""right"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}, ""depth"": 1, ""kind"": ""node""}",-9823.0,1,1,1,565851224,33503170,470230362,0.54,1,2,2,53_dividends_paid,dividends_paid,dividends paid,Pacific Crest Energy,2025,M_USD,900.0,53_capex,capex,capex,Pacific Crest Energy,2025,M_USD,10723.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
