question_id,depth,question,expression,expression_json,template_expression,answer,template_depth_requested,template_actual_depth,bound_expression_depth,tree_seed,binding_seed,master_seed,derived_prob,template_internal_nodes,template_leaf_slots,bound_leaf_count,leaf_1_key,leaf_1_concept,leaf_1_label,leaf_1_entity,leaf_1_period,leaf_1_unit,leaf_1_value,leaf_2_key,leaf_2_concept,leaf_2_label,leaf_2_entity,leaf_2_period,leaf_2_unit,leaf_2_value,leaf_3_key,leaf_3_concept,leaf_3_label,leaf_3_entity,leaf_3_period,leaf_3_unit,leaf_3_value,leaf_4_key,leaf_4_concept,leaf_4_label,leaf_4_entity,leaf_4_period,leaf_4_unit,leaf_4_value,leaf_5_key,leaf_5_concept,leaf_5_label,leaf_5_entity,leaf_5_period,leaf_5_unit,leaf_5_value,leaf_6_key,leaf_6_concept,leaf_6_label,leaf_6_entity,leaf_6_period,leaf_6_unit,leaf_6_value,leaf_7_key,leaf_7_concept,leaf_7_label,leaf_7_entity,leaf_7_period,leaf_7_unit,leaf_7_value,leaf_8_key,leaf_8_concept,leaf_8_label,leaf_8_entity,leaf_8_period,leaf_8_unit,leaf_8_value,leaf_9_key,leaf_9_concept,leaf_9_label,leaf_9_entity,leaf_9_period,leaf_9_unit,leaf_9_value,leaf_10_key,leaf_10_concept,leaf_10_label,leaf_10_entity,leaf_10_period,leaf_10_unit,leaf_10_value,leaf_11_key,leaf_11_concept,leaf_11_label,leaf_11_entity,leaf_11_period,leaf_11_unit,leaf_11_value,leaf_12_key,leaf_12_concept,leaf_12_label,leaf_12_entity,leaf_12_period,leaf_12_unit,leaf_12_value,leaf_13_key,leaf_13_concept,leaf_13_label,leaf_13_entity,leaf_13_period,leaf_13_unit,leaf_13_value,leaf_14_key,leaf_14_concept,leaf_14_label,leaf_14_entity,leaf_14_period,leaf_14_unit,leaf_14_value,leaf_15_key,leaf_15_concept,leaf_15_label,leaf_15_entity,leaf_15_period,leaf_15_unit,leaf_15_value,leaf_16_key,leaf_16_concept,leaf_16_label,leaf_16_entity,leaf_16_period,leaf_16_unit,leaf_16_value,leaf_17_key,leaf_17_concept,leaf_17_label,leaf_17_entity,leaf_17_period,leaf_17_unit,leaf_17_value,leaf_18_key,leaf_18_concept,leaf_18_label,leaf_18_entity,leaf_18_period,leaf_18_unit,leaf_18_value,leaf_19_key,leaf_19_concept,leaf_19_label,leaf_19_entity,leaf_19_period,leaf_19_unit,leaf_19_value,leaf_20_key,leaf_20_concept,leaf_20_label,leaf_20_entity,leaf_20_period,leaf_20_unit,leaf_20_value,leaf_21_key,leaf_21_concept,leaf_21_label,leaf_21_entity,leaf_21_period,leaf_21_unit,leaf_21_value,leaf_22_key,leaf_22_concept,leaf_22_label,leaf_22_entity,leaf_22_period,leaf_22_unit,leaf_22_value,leaf_23_key,leaf_23_concept,leaf_23_label,leaf_23_entity,leaf_23_period,leaf_23_unit,leaf_23_value
11,1,you should calculate the gross profit for PCEN in 2020,gross_profit,"{""derived"": ""gross_profit"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""48_revenue"", ""depth"": 0}, ""right"": {""leaf"": ""48_cost_of_goods_sold"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}","{""kind"": ""derived_concept"", ""name"": ""gross_profit"", ""depth"": 0}",51333.0,1,0,1,648245888,284027113,42,0.465,0,1,2,48_revenue,revenue,revenue,PCEN,2020,M_USD,160549.0,48_cost_of_goods_sold,cost_of_goods_sold,cost of goods sold,PCEN,2020,M_USD,109216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,which value corresponds to the total liabilities for HLXB in 2024?,76_total_liabilities,"{""leaf"": ""76_total_liabilities"", ""depth"": 0}","{""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}",81788.0,4,0,0,575770529,134031070,42,0.139,0,1,1,76_total_liabilities,total_liabilities,total liabilities,HLXB,2024,M_USD,81788.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,you should calculate the short term investments for TICB in 2021.,61_short_term_investments,"{""leaf"": ""61_short_term_investments"", ""depth"": 0}","{""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}",33790.0,3,0,0,314797776,890566476,42,0.389,0,1,1,61_short_term_investments,short_term_investments,short term investments,TICB,2021,M_USD,33790.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,3,which quantity is given by the current assets for MSYS in 2023 ?,current_assets,"{""derived"": ""current_assets"", ""expanded"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""leaf"": ""9_cash"", ""depth"": 0}, ""right"": {""leaf"": ""9_accounts_receivable"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""9_inventories"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""9_short_term_investments"", ""depth"": 0}, ""depth"": 3}, ""depth"": 3}","{""kind"": ""derived_concept"", ""name"": ""current_assets"", ""depth"": 0}",66578.0,1,0,3,756528252,74684276,42,0.431,0,1,4,9_cash,cash,cash,MSYS,2023,M_USD,36062.0,9_accounts_receivable,accounts_receivable,accounts receivable,MSYS,2023,M_USD,20956.0,9_inventories,inventories,inventories,MSYS,2023,M_USD,2744.0,9_short_term_investments,short_term_investments,short term investments,MSYS,2023,M_USD,6816.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,what does the following give: inventories for CRPH in 2021?,85_inventories,"{""leaf"": ""85_inventories"", ""depth"": 0}","{""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}",18920.0,1,0,0,830075810,310727955,42,0.528,0,1,1,85_inventories,inventories,inventories,CRPH,2021,M_USD,18920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2,What does the following give: the minimum of cash for CRPH using values from 2021 through 2023?,"min(min(85_cash, 86_cash), 87_cash)","{""op"": ""min"", ""left"": {""op"": ""min"", ""left"": {""leaf"": ""85_cash"", ""depth"": 0}, ""right"": {""leaf"": ""86_cash"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""87_cash"", ""depth"": 0}, ""depth"": 2}","{""kind"": ""time_agg"", ""op"": ""min"", ""depth"": 0}",21092.0,4,0,2,930379756,108449460,42,0.239,0,1,3,85_cash,cash,cash,CRPH,2021,M_USD,21092.0,86_cash,cash,cash,CRPH,2022,M_USD,55614.0,87_cash,cash,cash,CRPH,2023,M_USD,158784.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,5,Which quantity is given by the sum of longterm assets and revenue for MSYS in 2025,"sum(longterm_assets, 11_revenue)","{""op"": ""sum"", ""left"": {""derived"": ""longterm_assets"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""11_total_assets"", ""depth"": 0}, ""right"": {""derived"": ""current_assets"", ""expanded"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""leaf"": ""11_cash"", ""depth"": 0}, ""right"": {""leaf"": ""11_accounts_receivable"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""11_inventories"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""11_short_term_investments"", ""depth"": 0}, ""depth"": 3}, ""depth"": 3}, ""depth"": 4}, ""depth"": 4}, ""right"": {""leaf"": ""11_revenue"", ""depth"": 0}, ""depth"": 5}","{""op"": ""sum"", ""left"": {""kind"": ""derived_concept"", ""name"": ""longterm_assets"", ""depth"": 0}, ""right"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}, ""depth"": 1, ""kind"": ""node""}",278540.0,3,1,5,381469012,224956459,42,0.451,1,2,6,11_total_assets,total_assets,total assets,MSYS,2025,M_USD,147592.0,11_cash,cash,cash,MSYS,2025,M_USD,6070.0,11_accounts_receivable,accounts_receivable,accounts receivable,MSYS,2025,M_USD,27542.0,11_inventories,inventories,inventories,MSYS,2025,M_USD,10774.0,11_short_term_investments,short_term_investments,short term investments,MSYS,2025,M_USD,21498.0,11_revenue,revenue,revenue,MSYS,2025,M_USD,196832.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,Calculate the non operating expenses for SLRI in 2022 .,44_non_operating_expenses,"{""leaf"": ""44_non_operating_expenses"", ""depth"": 0}","{""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}",63362.0,1,0,0,733953718,695822698,42,0.405,0,1,1,44_non_operating_expenses,non_operating_expenses,non operating expenses,SLRI,2022,M_USD,63362.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1,What do we obtain as the gross profit for CRPH in 2021,gross_profit,"{""derived"": ""gross_profit"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""85_revenue"", ""depth"": 0}, ""right"": {""leaf"": ""85_cost_of_goods_sold"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}","{""kind"": ""derived_concept"", ""name"": ""gross_profit"", ""depth"": 0}",301219.0,2,0,1,407437181,289854268,42,0.442,0,1,2,85_revenue,revenue,revenue,CRPH,2021,M_USD,550238.0,85_cost_of_goods_sold,cost_of_goods_sold,cost of goods sold,CRPH,2021,M_USD,249019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1,What do we obtain as the difference between dividends paid and revenue for CPTH in 2021,"diff(79_dividends_paid, 79_revenue)","{""op"": ""diff"", ""left"": {""leaf"": ""79_dividends_paid"", ""depth"": 0}, ""right"": {""leaf"": ""79_revenue"", ""depth"": 0}, ""depth"": 1}","{""op"": ""diff"", ""left"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}, ""right"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}, ""depth"": 1, ""kind"": ""node""}",-503676.0,1,1,1,905005353,824970419,42,0.215,1,2,2,79_dividends_paid,dividends_paid,dividends paid,CPTH,2021,M_USD,11008.0,79_revenue,revenue,revenue,CPTH,2021,M_USD,514684.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
