<===== START gpt_oss_120b_mixed_depth_1_5_multiturn_90q | provider=Together | model=openai/gpt-oss-120b | dataset=multiturn-90q | limit=250 =====>
90Q are Sheet: /output/financial_spreadsheet.json
90Q are Questions: /output/original_questions.json
Loading datasets...
  Generating multi-turn chains from 250 90q questions...
  Generated 250 MT questions (250 multi-turn) → output_llm/mt_from_90q_20260809_005813.json

============================================================
  Evaluating model: openai/gpt-oss-120b
============================================================

-- Multi-turn evaluation (250 questions) --
  [1/250] CORRECT | turns=4 depth=4 | truth=365161.0000 pred=365161.0 | evaluate the longterm assets for SilverLine Retail...
  [32/250] CORRECT | turns=5 depth=5 | truth=34589.4000 pred=34589.4 | may you calculate the average cash for NovaStar Te...
  [33/250] CORRECT | turns=5 depth=5 | truth=65368.2000 pred=65368.2 | you should calculate the average total assets for ...
  [34/250] CORRECT | turns=2 depth=2 | truth=55982.5000 pred=55982.5 | you should give the average short term investments...
  [35/250] CORRECT | turns=8 depth=5 | truth=-518187.0000 pred=-518187.0 | you should calculate the difference between pretax...
  [36/250] CORRECT | turns=3 depth=3 | truth=158898.0000 pred=158898.0 | What's the value of the current assets for ClearPa...
  [37/250] CORRECT | turns=5 depth=5 | truth=13912.4000 pred=13912.4 | what is the average non operating expenses for Ape...
  [38/250] CORRECT | turns=1 depth=2 | truth=521794.0000 pred=521794.0 | you should give the the maximum of cost of goods s...
  [39/250] CORRECT | turns=5 depth=4 | truth=406916.8904 pred=406915.85 | Calculate the sum of the maximum of total equity f...
  [40/250] CORRECT | turns=5 depth=5 | truth=43443.6000 pred=43443.6 | Could you give the average current liabilities for...
  [41/250] CORRECT | turns=1 depth=1 | truth=146454.0000 pred=146454.0 | provide the longterm liabilities for Pacific Crest...
  [42/250] CORRECT | turns=1 depth=4 | truth=617154.0000 pred=617154.0 | calculate the the minimum of revenue for SilverLin...
  [43/250] CORRECT | turns=4 depth=4 | truth=90766.0000 pred=90766.0 | Which quantity is given by the longterm assets for...
  [44/250] CORRECT | turns=1 depth=2 | truth=8194.0000 pred=8194.0 | you should calculate the the minimum of capex for ...
  [45/250] CORRECT | turns=3 depth=3 | truth=13178.0000 pred=13178.0 | what is the value of the average operating expense...
  [46/250] CORRECT | turns=1 depth=1 | truth=93560.0000 pred=93560.0 | which value corresponds to the gross profit for He...
  [47/250] CORRECT | turns=2 depth=2 | truth=266220.0000 pred=266220.0 | give the average total assets for Orion Financial ...
  [48/250] CORRECT | turns=3 depth=3 | truth=93272.0000 pred=93272.0 | Which result follows from the current assets for H...
  [49/250] CORRECT | turns=1 depth=1 | truth=23323.0000 pred=23323.0 | state the the maximum of revenue for Pinnacle Heal...
  [50/250] CORRECT | turns=5 depth=4 | truth=289450.5917 pred=289450.2032 | Which value corresponds to the sum of result of gr...
  [51/250] CORRECT | turns=1 depth=2 | truth=2543.0000 pred=2543.0 | Could you give the the minimum of inventories for ...
  [52/250] CORRECT | turns=3 depth=3 | truth=134161.0000 pred=134161.0 | whats the value of the current assets for ClearPat...
  [53/250] CORRECT | turns=1 depth=3 | truth=52203.0000 pred=52203.0 | What would be the the minimum of total assets for ...
  [54/250] CORRECT | turns=4 depth=4 | truth=202526.0000 pred=202526.0 | state the longterm assets for Pacific Crest Energy...
  [55/250] CORRECT | turns=1 depth=1 | truth=271315.0000 pred=271315.0 | Calculate the longterm liabilities for SilverLine ...
  [56/250] CORRECT | turns=1 depth=3 | truth=2433.0000 pred=2433.0 | give the the minimum of inventories for Orion Fina...
  [57/250] CORRECT | turns=1 depth=2 | truth=101392.0000 pred=101392.0 | Calculate the the maximum of accounts receivable f...
  [58/250] CORRECT | turns=1 depth=4 | truth=17964.0000 pred=17964.0 | What's the value of the the maximum of non operati...
  [59/250] CORRECT | turns=3 depth=2 | truth=7839.4167 pred=7839.416706308716 | What's the value of the sum of difference between ...
  [60/250] CORRECT | turns=1 depth=1 | truth=141935.0000 pred=141935.0 | may you give the difference between total equity a...
  [61/250] CORRECT | turns=1 depth=1 | truth=1477.0000 pred=1477.0 | determine the the minimum of short term investment...
  [62/250] CORRECT | turns=1 depth=2 | truth=19677.0000 pred=19677.0 | what do we obtain as the the minimum of dividends ...
  [63/250] CORRECT | turns=3 depth=3 | truth=-28759.0000 pred=-28759.0 | You should calculate the pretax income for Titan C...
  [64/250] CORRECT | turns=2 depth=2 | truth=41644.0000 pred=41644.0 | you should calculate the average inventories for T...
  [65/250] CORRECT | turns=1 depth=1 | truth=64647.0000 pred=64647.0 | may you give the gross profit for Orion Financial ...
  [66/250] CORRECT | turns=1 depth=1 | truth=271315.0000 pred=271315.0 | Calculate the longterm liabilities for SilverLine ...
  [67/250] CORRECT | turns=1 depth=5 | truth=27315.0000 pred=27315.0 | State the the minimum of current liabilities for P...
  [68/250] CORRECT | turns=2 depth=2 | truth=416.5000 pred=416.5 | What is the average dividends paid for Apex Dynami...
  [69/250] CORRECT | turns=3 depth=3 | truth=68614.0000 pred=68614.0 | May you give the current assets for Orion Financia...
  [70/250] CORRECT | turns=1 depth=5 | truth=44284.0000 pred=44284.0 | Evaluate the the maximum of dividends paid for Tit...
  [71/250] CORRECT | turns=1 depth=1 | truth=149498.0000 pred=149498.0 | you should give the longterm liabilities for Helix...
  [72/250] CORRECT | turns=1 depth=2 | truth=627730.0000 pred=627730.0 | whats the value of the the maximum of revenue for ...
  [73/250] CORRECT | turns=4 depth=3 | truth=34019.5000 pred=34019.5 | Could you give the sum of ratio of sum of short te...
  [74/250] CORRECT | turns=5 depth=5 | truth=1051.4000 pred=1051.4 | state the average inventories for Pinnacle Health ...
  [75/250] CORRECT | turns=1 depth=1 | truth=30873.0000 pred=30873.0 | what do we obtain as the the minimum of accounts r...
  [76/250] CORRECT | turns=1 depth=2 | truth=23302.0000 pred=23302.0 | Which quantity is given by the the minimum of acco...
  [77/250] WRONG  | turns=1 depth=1 | truth=82214.0000 pred=False | which value corresponds to the longterm liabilitie...
  [78/250] CORRECT | turns=1 depth=4 | truth=4329.0000 pred=4329.0 | State the the minimum of total equity for Pinnacle...
  [79/250] CORRECT | turns=1 depth=5 | truth=44284.0000 pred=44284.0 | you should calculate the the maximum of dividends ...
  [80/250] CORRECT | turns=3 depth=3 | truth=213903.0000 pred=213903.0 | what does the following give: pretax income for Cr...
  [81/250] CORRECT | turns=1 depth=1 | truth=91460.0000 pred=91460.0 | Calculate the the minimum of current liabilities f...
  [82/250] WRONG  | turns=3 depth=5 first_fail@turn=2 | truth=1490989.0000 pred=3993398.0 | Whats the value of the sum of the maximum of cash ...
  [83/250] CORRECT | turns=4 depth=4 | truth=492228.0000 pred=492228.0 | Calculate the longterm assets for SilverLine Retai...
  [84/250] CORRECT | turns=2 depth=5 | truth=369423.0000 pred=369423.0 | Which result follows from the sum of revenue for I...
  [85/250] CORRECT | turns=1 depth=2 | truth=36229.0000 pred=36229.0 | You should calculate the the minimum of accounts r...
  [86/250] CORRECT | turns=1 depth=1 | truth=44688.0000 pred=44688.0 | Provide the longterm liabilities for Pacific Crest...
  [87/250] CORRECT | turns=1 depth=1 | truth=87.0000 pred=87.0 | may you give the the minimum of dividends paid for...
  [88/250] CORRECT | turns=1 depth=3 | truth=66524.0000 pred=66524.0 | What is the value of the the minimum of total asse...
  [89/250] CORRECT | turns=3 depth=3 | truth=66354.0000 pred=66354.0 | give the current assets for Orion Financial Group ...
  [90/250] CORRECT | turns=1 depth=1 | truth=285091.0000 pred=285091.0 | what is the sum of total assets and revenue for Ap...
  [91/250] CORRECT | turns=1 depth=3 | truth=112026.0000 pred=112026.0 | Evaluate the the minimum of current liabilities fo...
  [92/250] CORRECT | turns=1 depth=1 | truth=79658.0000 pred=79658.0 | Provide the gross profit for Pacific Crest Energy ...
  [93/250] CORRECT | turns=1 depth=1 | truth=0.0000 pred=0.0 | evaluate the difference between short term investm...
  [94/250] CORRECT | turns=1 depth=4 | truth=60542.0000 pred=60542.0 | Calculate the the maximum of dividends paid for Si...
  [95/250] CORRECT | turns=3 depth=3 | truth=154669.0000 pred=154669.0 | calculate the current assets for SilverLine Retail...
  [96/250] CORRECT | turns=5 depth=5 | truth=82328.2000 pred=82328.2 | Evaluate the average non operating expenses for Ti...
  [97/250] CORRECT | turns=3 depth=2 | truth=34290.2120 pred=34290.26 | may you calculate the sum of result of short term ...
  [98/250] CORRECT | turns=3 depth=3 | truth=5482.0000 pred=5482.0 | You should give the current assets for Pinnacle He...
  [99/250] CORRECT | turns=1 depth=5 | truth=11884.0000 pred=11884.0 | what is the value of the the minimum of non operat...
  [100/250] CORRECT | turns=4 depth=4 | truth=78538.5000 pred=78538.5 | Could you give the average total liabilities for M...
  [101/250] CORRECT | turns=1 depth=1 | truth=4121.0000 pred=4121.0 | State the longterm liabilities for Pinnacle Health...
  [102/250] CORRECT | turns=6 depth=4 | truth=298285.0000 pred=298285.0 | provide the sum of operating income and difference...
  [103/250] CORRECT | turns=1 depth=1 | truth=260787.0000 pred=260787.0 | What's the value of the longterm liabilities for C...
  [104/250] CORRECT | turns=3 depth=3 | truth=24187.0000 pred=24187.0 | determine the pretax income for Quantum Bridge Hol...
  [105/250] CORRECT | turns=4 depth=4 | truth=3827.5000 pred=3827.5 | you should give the average accounts receivable fo...
  [106/250] CORRECT | turns=1 depth=4 | truth=34892.0000 pred=34892.0 | give the the maximum of operating expenses for Ori...
  [107/250] CORRECT | turns=1 depth=1 | truth=87069.0000 pred=87069.0 | what is the sum of short term investments and reve...
  [108/250] CORRECT | turns=4 depth=4 | truth=84453.7500 pred=84453.75 | What does the following give: average cash for Cri...
  [109/250] CORRECT | turns=1 depth=1 | truth=150714.0000 pred=150714.0 | Could you give the the minimum of revenue for Meri...
  [110/250] CORRECT | turns=1 depth=1 | truth=79890.0000 pred=79890.0 | what does the following give: sum of dividends pai...
  [111/250] CORRECT | turns=2 depth=2 | truth=26652.5000 pred=26652.5 | What do we obtain as the average cost of goods sol...
  [112/250] CORRECT | turns=2 depth=2 | truth=81769.0000 pred=81769.0 | Provide the operating income for Pacific Crest Ene...
  [113/250] CORRECT | turns=1 depth=4 | truth=8748.0000 pred=8748.0 | May you give the the maximum of inventories for No...
  [114/250] CORRECT | turns=1 depth=4 | truth=1102.0000 pred=1102.0 | State the the minimum of non operating expenses fo...
  [115/250] CORRECT | turns=3 depth=3 | truth=19839.0000 pred=19839.0 | What would be the current assets for Cobalt Semico...
  [116/250] CORRECT | turns=1 depth=5 | truth=20787.0000 pred=20787.0 | What do we obtain as the the maximum of total equi...
  [117/250] CORRECT | turns=1 depth=1 | truth=52780.0000 pred=52780.0 | Could you give the the minimum of cost of goods so...
  [118/250] CORRECT | turns=1 depth=1 | truth=28716.0000 pred=28716.0 | What is the value of the gross profit for Atlas Gl...
  [119/250] CORRECT | turns=1 depth=3 | truth=20412.0000 pred=20412.0 | calculate the the maximum of dividends paid for Si...
  [120/250] CORRECT | turns=1 depth=1 | truth=79126.0000 pred=79126.0 | Could you give the gross profit for Meridian Syste...
  [121/250] CORRECT | turns=1 depth=5 | truth=35803.0000 pred=35803.0 | evaluate the the minimum of cash for SilverLine Re...
  [122/250] CORRECT | turns=1 depth=1 | truth=171489.0000 pred=171489.0 | calculate the sum of total equity and cash for Sil...
  [123/250] CORRECT | turns=2 depth=2 | truth=286577.0000 pred=286577.0 | Whats the value of the operating income for ClearP...
  [124/250] CORRECT | turns=1 depth=1 | truth=304449.0000 pred=304449.0 | What would be the longterm liabilities for ClearPa...
  [125/250] CORRECT | turns=4 depth=4 | truth=75801.0000 pred=75801.0 | Calculate the average accounts receivable for Silv...
  [126/250] CORRECT | turns=6 depth=5 | truth=72713.2500 pred=72713.25 | What would be the sum of ratio of sum of sum of su...
  [127/250] CORRECT | turns=1 depth=2 | truth=193978.0000 pred=193978.0 | Calculate the the maximum of non operating expense...
  [128/250] CORRECT | turns=1 depth=2 | truth=108761.0000 pred=108761.0 | May you give the the minimum of total equity for O...
  [129/250] CORRECT | turns=1 depth=5 | truth=340508.0000 pred=340508.0 | which result follows from the the minimum of reven...
  [130/250] CORRECT | turns=3 depth=4 | truth=78550.0000 pred=78550.0 | Provide the sum of sum of dividends paid for Pacif...
  [131/250] CORRECT | turns=1 depth=1 | truth=7858.7415 pred=7858.74 | evaluate the result of capex scaled by income tax ...
  [132/250] CORRECT | turns=1 depth=1 | truth=281934.0000 pred=281934.0 | What does the following give: gross profit for Cri...
  [133/250] CORRECT | turns=4 depth=4 | truth=29584.0000 pred=29584.0 | May you give the average cash for NovaStar Technol...
  [134/250] CORRECT | turns=3 depth=3 | truth=11297.3333 pred=11297.33 | Could you give the average short term investments ...
  [135/250] CORRECT | turns=3 depth=3 | truth=159416.0000 pred=159416.0 | which quantity is given by the current assets for ...
  [136/250] WRONG  | turns=1 depth=1 | truth=17983.9181 pred=None | what does the following give: result of non operat...
  [137/250] CORRECT | turns=1 depth=4 | truth=142085.0000 pred=142085.0 | Give the the maximum of revenue for Orion Financia...
  [138/250] CORRECT | turns=3 depth=3 | truth=111762.0000 pred=111762.0 | which result follows from the pretax income for Ir...
  [139/250] CORRECT | turns=2 depth=2 | truth=87398.0000 pred=87398.0 | provide the average cost of goods sold for Pacific...
  [140/250] CORRECT | turns=1 depth=4 | truth=56571.0000 pred=56571.0 | What's the value of the the maximum of accounts re...
  [141/250] CORRECT | turns=4 depth=4 | truth=39037.0000 pred=39037.0 | What's the value of the longterm assets for Atlas ...
  [142/250] CORRECT | turns=1 depth=1 | truth=153173.0000 pred=153173.0 | which quantity is given by the the minimum of cost...
  [143/250] CORRECT | turns=4 depth=4 | truth=202526.0000 pred=202526.0 | State the longterm assets for Pacific Crest Energy...
  [144/250] CORRECT | turns=1 depth=5 | truth=125778.0000 pred=125778.0 | you should give the the maximum of cost of goods s...
  [145/250] CORRECT | turns=3 depth=2 | truth=407415.0000 pred=407415.0 | Which quantity is given by the sum of the minimum ...
  [146/250] CORRECT | turns=4 depth=4 | truth=87508.0000 pred=87508.0 | Provide the longterm assets for Pacific Crest Ener...
  [147/250] CORRECT | turns=5 depth=5 | truth=86022.6000 pred=86022.6 | May you calculate the average total equity for Nov...
  [148/250] CORRECT | turns=2 depth=2 | truth=1539.0000 pred=1539.0 | May you give the operating income for Orion Financ...
  [149/250] CORRECT | turns=1 depth=1 | truth=65373.0000 pred=65373.0 | What do we obtain as the the maximum of short term...
  [150/250] CORRECT | turns=2 depth=2 | truth=28424.0000 pred=28424.0 | What do we obtain as the sum of difference between...
  [151/250] CORRECT | turns=1 depth=1 | truth=42736.0000 pred=42736.0 | determine the the minimum of total equity for Quan...
  [152/250] CORRECT | turns=4 depth=4 | truth=501521.0000 pred=501521.0 | What does the following give: longterm assets for ...
  [153/250] CORRECT | turns=1 depth=4 | truth=334916.0000 pred=334916.0 | which value corresponds to the the maximum of reve...
  [154/250] CORRECT | turns=1 depth=2 | truth=174646.0000 pred=174646.0 | provide the the maximum of total liabilities for P...
  [155/250] CORRECT | turns=3 depth=3 | truth=-19298.0000 pred=-19298.0 | May you give the pretax income for Orion Financial...
  [156/250] CORRECT | turns=4 depth=4 | truth=419564.0000 pred=419564.0 | you should calculate the average cost of goods sol...
  [157/250] CORRECT | turns=1 depth=1 | truth=92882.0000 pred=92882.0 | May you calculate the sum of accounts receivable a...
  [158/250] CORRECT | turns=3 depth=3 | truth=33056.0000 pred=33056.0 | what is the current assets for Apex Dynamics Corp ...
  [159/250] CORRECT | turns=1 depth=4 | truth=6279.0000 pred=6279.0 | you should give the the maximum of capex for Quant...
  [160/250] CORRECT | turns=4 depth=4 | truth=269311.0000 pred=269311.0 | whats the value of the longterm assets for ClearPa...
  [161/250] CORRECT | turns=3 depth=3 | truth=2759.0000 pred=2759.0 | what would be the average inventories for Cobalt S...
  [162/250] CORRECT | turns=1 depth=3 | truth=234572.0000 pred=234572.0 | you should give the the maximum of total assets fo...
  [163/250] CORRECT | turns=1 depth=1 | truth=24706.0000 pred=24706.0 | what do we obtain as the gross profit for Cobalt S...
  [164/250] CORRECT | turns=2 depth=2 | truth=429388.5000 pred=429388.5 | which quantity is given by the average revenue for...
  [165/250] CORRECT | turns=1 depth=1 | truth=97358.0000 pred=97358.0 | determine the sum of total liabilities and total l...
  [166/250] CORRECT | turns=2 depth=2 | truth=228855.0000 pred=228855.0 | Which quantity is given by the difference between ...
  [167/250] CORRECT | turns=1 depth=3 | truth=11607.0000 pred=11607.0 | May you calculate the the maximum of capex for Nov...
  [168/250] CORRECT | turns=2 depth=2 | truth=8389.3465 pred=8389.35 | Evaluate the result of short term investments scal...
  [169/250] CORRECT | turns=1 depth=1 | truth=24795.0000 pred=24795.0 | what would be the gross profit for Cobalt Semicond...
  [170/250] CORRECT | turns=1 depth=2 | truth=131903.0000 pred=131903.0 | Which quantity is given by the the minimum of tota...
  [171/250] CORRECT | turns=4 depth=4 | truth=142602.0000 pred=142602.0 | determine the longterm assets for Quantum Bridge H...
  [172/250] CORRECT | turns=1 depth=1 | truth=9007.0000 pred=9007.0 | State the difference between cost of goods sold an...
  [173/250] CORRECT | turns=3 depth=3 | truth=34555.6667 pred=34555.6666666667 | Whats the value of the average accounts receivable...
  [174/250] CORRECT | turns=1 depth=1 | truth=15662.6764 pred=15662.68 | Whats the value of the result of short term invest...
  [175/250] CORRECT | turns=2 depth=2 | truth=79097.0000 pred=79097.0 | which value corresponds to the operating income fo...
  [176/250] CORRECT | turns=2 depth=2 | truth=136971.5000 pred=136971.5 | May you give the average total equity for Orion Fi...
  [177/250] CORRECT | turns=2 depth=2 | truth=16145.5000 pred=16145.5 | you should give the average revenue for Pinnacle H...
  [178/250] CORRECT | turns=1 depth=1 | truth=73911.0000 pred=73911.0 | Compute the longterm liabilities for Quantum Bridg...
  [179/250] CORRECT | turns=1 depth=1 | truth=44688.0000 pred=44688.0 | provide the longterm liabilities for Pacific Crest...
  [180/250] CORRECT | turns=3 depth=3 | truth=48015.0000 pred=48015.0 | What's the value of the current assets for Atlas G...
  [181/250] CORRECT | turns=1 depth=1 | truth=148642.0000 pred=148642.0 | What do we obtain as the sum of dividends paid and...
  [182/250] CORRECT | turns=1 depth=1 | truth=2159.0000 pred=2159.0 | what is the the minimum of capex for Apex Dynamics...
  [183/250] CORRECT | turns=5 depth=4 | truth=-76976.0000 pred=-76976.0 | Could you give the sum of difference between diffe...
  [184/250] CORRECT | turns=1 depth=1 | truth=3897.0081 pred=3897.00806 | Whats the value of the result of inventories scale...
  [185/250] CORRECT | turns=3 depth=3 | truth=55811.0000 pred=55811.0 | Provide the current assets for Pacific Crest Energ...
  [186/250] CORRECT | turns=1 depth=3 | truth=18608.0000 pred=18608.0 | which quantity is given by the the maximum of inve...
  [187/250] CORRECT | turns=2 depth=5 | truth=54455.0000 pred=54455.0 | what's the value of the difference between total l...
  [188/250] CORRECT | turns=1 depth=5 | truth=10644.0000 pred=10644.0 | what's the value of the the maximum of dividends p...
  [189/250] CORRECT | turns=3 depth=3 | truth=41325.0000 pred=41325.0 | may you calculate the pretax income for NovaStar T...
  [190/250] CORRECT | turns=1 depth=4 | truth=2853.0000 pred=2853.0 | Compute the the minimum of cash for Quantum Bridge...
  [191/250] CORRECT | turns=6 depth=5 | truth=159515.9287 pred=159516.0 | Which value corresponds to the result of total equ...
  [192/250] CORRECT | turns=3 depth=3 | truth=36067.0000 pred=36067.0 | what does the following give: average cash for Hel...
  [193/250] CORRECT | turns=2 depth=2 | truth=48123.0000 pred=48123.0 | what is the value of the operating income for Atla...
  [194/250] CORRECT | turns=1 depth=3 | truth=129423.0000 pred=129423.0 | State the the maximum of total equity for Pacific ...
  [195/250] CORRECT | turns=5 depth=5 | truth=7895.4000 pred=7895.4 | which value corresponds to the average dividends p...
  [196/250] CORRECT | turns=1 depth=3 | truth=8455.0000 pred=8455.0 | Determine the the minimum of accounts receivable f...
  [197/250] CORRECT | turns=4 depth=4 | truth=114471.5000 pred=114471.5 | Evaluate the average operating expenses for Silver...
  [198/250] WRONG  | turns=1 depth=1 | truth=37881.0000 pred=False | Could you give the longterm liabilities for Meridi...
  [199/250] CORRECT | turns=3 depth=3 | truth=36261.0000 pred=36261.0 | Give the current assets for Orion Financial Group ...
  [200/250] CORRECT | turns=4 depth=4 | truth=26134.5000 pred=26134.5 | may you give the average operating expenses for Or...
  [201/250] CORRECT | turns=1 depth=1 | truth=27481.0000 pred=27481.0 | what's the value of the gross profit for Atlas Glo...
  [202/250] CORRECT | turns=1 depth=4 | truth=28424.0000 pred=28424.0 | what does the following give: the maximum of divid...
  [203/250] CORRECT | turns=4 depth=4 | truth=918217.0000 pred=918217.0 | You should calculate the longterm assets for Titan...
  [204/250] CORRECT | turns=2 depth=4 | truth=114621.0000 pred=114621.0 | evaluate the sum of the minimum of cash for Titan ...
  [205/250] CORRECT | turns=4 depth=4 | truth=644843.0000 pred=644843.0 | whats the value of the average total assets for Cl...
  [206/250] CORRECT | turns=5 depth=5 | truth=16979.6000 pred=16979.6 | Evaluate the average dividends paid for Titan Cons...
  [207/250] CORRECT | turns=1 depth=4 | truth=2627.0000 pred=2627.0 | what is the the minimum of cash for Apex Dynamics ...
  [208/250] CORRECT | turns=1 depth=2 | truth=65727.0000 pred=65727.0 | what do we obtain as the the maximum of total asse...
  [209/250] CORRECT | turns=3 depth=3 | truth=48015.0000 pred=48015.0 | What's the value of the current assets for Atlas G...
  [210/250] CORRECT | turns=4 depth=4 | truth=124358.0000 pred=124358.0 | what is the sum of current assets and total liabil...
  [211/250] CORRECT | turns=1 depth=1 | truth=85193.0000 pred=85193.0 | Which result follows from the sum of current liabi...
  [212/250] CORRECT | turns=3 depth=3 | truth=60517.6667 pred=60517.666666666664 | evaluate the average operating expenses for Titan ...
  [213/250] CORRECT | turns=1 depth=1 | truth=60510.0000 pred=60510.0 | Which quantity is given by the difference between ...
  [214/250] CORRECT | turns=1 depth=2 | truth=13623.0000 pred=13623.0 | what do we obtain as the the maximum of operating ...
  [215/250] CORRECT | turns=1 depth=1 | truth=195040.0000 pred=195040.0 | what's the value of the gross profit for ClearPath...
  [216/250] CORRECT | turns=1 depth=1 | truth=18142.0000 pred=18142.0 | What is the the minimum of current liabilities for...
  [217/250] CORRECT | turns=2 depth=2 | truth=2804.5000 pred=2804.5 | what's the value of the average inventories for At...
  [218/250] CORRECT | turns=5 depth=4 | truth=925781.0000 pred=925781.0 | Calculate the sum of sum of ratio of sum of total ...
  [219/250] CORRECT | turns=1 depth=1 | truth=24459.0000 pred=24459.0 | What is the value of the sum of accounts receivabl...
  [220/250] CORRECT | turns=1 depth=2 | truth=9524.0000 pred=9524.0 | State the the minimum of cost of goods sold for Pi...
  [221/250] CORRECT | turns=3 depth=3 | truth=33681.0000 pred=33681.0 | calculate the difference between operating income ...
  [222/250] CORRECT | turns=1 depth=5 | truth=514684.0000 pred=514684.0 | What's the value of the the minimum of revenue for...
  [223/250] CORRECT | turns=1 depth=1 | truth=47385.0000 pred=47385.0 | Could you give the longterm liabilities for Meridi...
  [224/250] CORRECT | turns=3 depth=3 | truth=243881.0000 pred=243881.0 | Evaluate the current assets for Titan Consumer Bra...
  [225/250] CORRECT | turns=3 depth=3 | truth=13847.0000 pred=13847.0 | may you give the pretax income for Orion Financial...
  [226/250] CORRECT | turns=1 depth=5 | truth=27542.0000 pred=27542.0 | Could you give the the maximum of accounts receiva...
  [227/250] CORRECT | turns=6 depth=5 | truth=-237440.7438 pred=-237447.3543 | may you give the sum of capex and result of sum of...
  [228/250] CORRECT | turns=1 depth=3 | truth=19605.0000 pred=19605.0 | What is the value of the the minimum of total equi...
  [229/250] CORRECT | turns=1 depth=1 | truth=1591.2354 pred=1591.235432 | what is the result of short term investments scale...
