question_id,depth,question,question_original,obstacle,useless_info_family_used,expression,expression_json,template_expression,answer,template_depth_requested,template_actual_depth,bound_expression_depth,tree_seed,binding_seed,master_seed,derived_prob,template_internal_nodes,template_leaf_slots,bound_leaf_count,leaf_1_key,leaf_1_concept,leaf_1_label,leaf_1_entity,leaf_1_period,leaf_1_unit,leaf_1_value,leaf_2_key,leaf_2_concept,leaf_2_label,leaf_2_entity,leaf_2_period,leaf_2_unit,leaf_2_value,leaf_3_key,leaf_3_concept,leaf_3_label,leaf_3_entity,leaf_3_period,leaf_3_unit,leaf_3_value,leaf_4_key,leaf_4_concept,leaf_4_label,leaf_4_entity,leaf_4_period,leaf_4_unit,leaf_4_value,leaf_5_key,leaf_5_concept,leaf_5_label,leaf_5_entity,leaf_5_period,leaf_5_unit,leaf_5_value,leaf_6_key,leaf_6_concept,leaf_6_label,leaf_6_entity,leaf_6_period,leaf_6_unit,leaf_6_value,leaf_7_key,leaf_7_concept,leaf_7_label,leaf_7_entity,leaf_7_period,leaf_7_unit,leaf_7_value,leaf_8_key,leaf_8_concept,leaf_8_label,leaf_8_entity,leaf_8_period,leaf_8_unit,leaf_8_value,leaf_9_key,leaf_9_concept,leaf_9_label,leaf_9_entity,leaf_9_period,leaf_9_unit,leaf_9_value,leaf_10_key,leaf_10_concept,leaf_10_label,leaf_10_entity,leaf_10_period,leaf_10_unit,leaf_10_value,leaf_11_key,leaf_11_concept,leaf_11_label,leaf_11_entity,leaf_11_period,leaf_11_unit,leaf_11_value,leaf_12_key,leaf_12_concept,leaf_12_label,leaf_12_entity,leaf_12_period,leaf_12_unit,leaf_12_value,leaf_13_key,leaf_13_concept,leaf_13_label,leaf_13_entity,leaf_13_period,leaf_13_unit,leaf_13_value
12,0,may you calculate the operating expenses for NovaStar Technologies in 2023 ?,,,,21_operating_expenses,"{""leaf"": ""21_operating_expenses"", ""depth"": 0}","{""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}",26235.0,5,0,0,849293310,229010238,861115112,0.208,0,1,1,21_operating_expenses,operating_expenses,operating expenses,NovaStar Technologies,2023,M_USD,26235.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,3,What is the pretax income for Apex Dynamics Corp in 2025?,,,,pretax_income,"{""derived"": ""pretax_income"", ""expanded"": {""op"": ""diff"", ""left"": {""derived"": ""operating_income"", ""expanded"": {""op"": ""diff"", ""left"": {""derived"": ""gross_profit"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""5_revenue"", ""depth"": 0}, ""right"": {""leaf"": ""5_cost_of_goods_sold"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}, ""right"": {""leaf"": ""5_operating_expenses"", ""depth"": 0}, ""depth"": 2}, ""depth"": 2}, ""right"": {""leaf"": ""5_non_operating_expenses"", ""depth"": 0}, ""depth"": 3}, ""depth"": 3}","{""kind"": ""derived_concept"", ""name"": ""pretax_income"", ""depth"": 0}",4330.0,4,0,3,113375795,561021985,861115112,0.37,0,1,4,5_revenue,revenue,revenue,Apex Dynamics Corp,2025,M_USD,79388.0,5_cost_of_goods_sold,cost_of_goods_sold,cost of goods sold,Apex Dynamics Corp,2025,M_USD,41447.0,5_operating_expenses,operating_expenses,operating expenses,Apex Dynamics Corp,2025,M_USD,15969.0,5_non_operating_expenses,non_operating_expenses,non operating expenses,Apex Dynamics Corp,2025,M_USD,17642.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,Which result follows from the current liabilities for Helix BioSciences in 2022,,,,74_current_liabilities,"{""leaf"": ""74_current_liabilities"", ""depth"": 0}","{""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}",97887.0,5,0,0,884070466,121234249,861115112,0.405,0,1,1,74_current_liabilities,current_liabilities,current liabilities,Helix BioSciences,2022,M_USD,97887.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1,give the sum of capex and operating expenses for Pacific Crest Energy in 2025.,,,,"sum(53_capex, 53_operating_expenses)","{""op"": ""sum"", ""left"": {""leaf"": ""53_capex"", ""depth"": 0}, ""right"": {""leaf"": ""53_operating_expenses"", ""depth"": 0}, ""depth"": 1}","{""op"": ""sum"", ""left"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}, ""right"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}, ""depth"": 1, ""kind"": ""node""}",29913.0,1,1,1,186609126,231466988,861115112,0.419,1,2,2,53_capex,capex,capex,Pacific Crest Energy,2025,M_USD,10723.0,53_operating_expenses,operating_expenses,operating expenses,Pacific Crest Energy,2025,M_USD,19190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,3,calculate the current assets for SilverLine Retail Inc in 2021 .,,,,current_assets,"{""derived"": ""current_assets"", ""expanded"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""leaf"": ""43_cash"", ""depth"": 0}, ""right"": {""leaf"": ""43_accounts_receivable"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""43_inventories"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""43_short_term_investments"", ""depth"": 0}, ""depth"": 3}, ""depth"": 3}","{""kind"": ""derived_concept"", ""name"": ""current_assets"", ""depth"": 0}",237449.0,2,0,3,91688369,231868787,861115112,0.455,0,1,4,43_cash,cash,cash,SilverLine Retail Inc,2021,M_USD,73785.0,43_accounts_receivable,accounts_receivable,accounts receivable,SilverLine Retail Inc,2021,M_USD,84561.0,43_inventories,inventories,inventories,SilverLine Retail Inc,2021,M_USD,19238.0,43_short_term_investments,short_term_investments,short term investments,SilverLine Retail Inc,2021,M_USD,59865.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,Compute the revenue for Quantum Bridge Holdings in 2023 .,,,,15_revenue,"{""leaf"": ""15_revenue"", ""depth"": 0}","{""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}",86108.0,0,0,0,59215330,163607885,861115112,0.22,0,1,1,15_revenue,revenue,revenue,Quantum Bridge Holdings,2023,M_USD,86108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,4,what is the the minimum of dividends paid for Apex Dynamics Corp using values from 2020 through 2024 ?,,,,"min(min(min(min(0_dividends_paid, 1_dividends_paid), 2_dividends_paid), 3_dividends_paid), 4_dividends_paid)","{""op"": ""min"", ""left"": {""op"": ""min"", ""left"": {""op"": ""min"", ""left"": {""op"": ""min"", ""left"": {""leaf"": ""0_dividends_paid"", ""depth"": 0}, ""right"": {""leaf"": ""1_dividends_paid"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""2_dividends_paid"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""3_dividends_paid"", ""depth"": 0}, ""depth"": 3}, ""right"": {""leaf"": ""4_dividends_paid"", ""depth"": 0}, ""depth"": 4}","{""kind"": ""time_agg"", ""op"": ""min"", ""depth"": 0}",0.0,4,0,4,536769646,674041971,861115112,0.413,0,1,5,0_dividends_paid,dividends_paid,dividends paid,Apex Dynamics Corp,2020,M_USD,6442.0,1_dividends_paid,dividends_paid,dividends paid,Apex Dynamics Corp,2021,M_USD,164.0,2_dividends_paid,dividends_paid,dividends paid,Apex Dynamics Corp,2022,M_USD,836.0,3_dividends_paid,dividends_paid,dividends paid,Apex Dynamics Corp,2023,M_USD,3250.0,4_dividends_paid,dividends_paid,dividends paid,Apex Dynamics Corp,2024,M_USD,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1,You should calculate the gross profit for Titan Consumer Brands in 2022,,,,gross_profit,"{""derived"": ""gross_profit"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""62_revenue"", ""depth"": 0}, ""right"": {""leaf"": ""62_cost_of_goods_sold"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}","{""kind"": ""derived_concept"", ""name"": ""gross_profit"", ""depth"": 0}",223483.0,3,0,1,377843303,251074237,861115112,0.306,0,1,2,62_revenue,revenue,revenue,Titan Consumer Brands,2022,M_USD,472978.0,62_cost_of_goods_sold,cost_of_goods_sold,cost of goods sold,Titan Consumer Brands,2022,M_USD,249495.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,what's the value of the revenue for Atlas Global Industries in 2021 ?,,,,25_revenue,"{""leaf"": ""25_revenue"", ""depth"": 0}","{""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}",83268.0,0,0,0,815533860,974131718,861115112,0.206,0,1,1,25_revenue,revenue,revenue,Atlas Global Industries,2021,M_USD,83268.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1,State the the maximum of non operating expenses for Pinnacle Health Group using values from 2020 through 2021,,,,"max(30_non_operating_expenses, 31_non_operating_expenses)","{""op"": ""max"", ""left"": {""leaf"": ""30_non_operating_expenses"", ""depth"": 0}, ""right"": {""leaf"": ""31_non_operating_expenses"", ""depth"": 0}, ""depth"": 1}","{""kind"": ""time_agg"", ""op"": ""max"", ""depth"": 0}",2814.0,4,0,1,151428628,479002604,861115112,0.347,0,1,2,30_non_operating_expenses,non_operating_expenses,non operating expenses,Pinnacle Health Group,2020,M_USD,2814.0,31_non_operating_expenses,non_operating_expenses,non operating expenses,Pinnacle Health Group,2021,M_USD,1102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,3,provide the result of total assets scaled by ratio of longterm liabilities to gross profit for Pacific Crest Energy in 2020.,,,,"mul(48_total_assets, ratio(longterm_liabilities, gross_profit))","{""op"": ""mul"", ""left"": {""leaf"": ""48_total_assets"", ""depth"": 0}, ""right"": {""op"": ""ratio"", ""left"": {""derived"": ""longterm_liabilities"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""48_total_liabilities"", ""depth"": 0}, ""right"": {""leaf"": ""48_current_liabilities"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}, ""right"": {""derived"": ""gross_profit"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""48_revenue"", ""depth"": 0}, ""right"": {""leaf"": ""48_cost_of_goods_sold"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}, ""depth"": 2}, ""depth"": 3}","{""op"": ""mul"", ""left"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}, ""right"": {""op"": ""ratio"", ""left"": {""kind"": ""derived_concept"", ""name"": ""longterm_liabilities"", ""depth"": 0}, ""right"": {""kind"": ""derived_concept"", ""name"": ""gross_profit"", ""depth"": 0}, ""depth"": 1, ""kind"": ""node""}, ""depth"": 2, ""kind"": ""node""}",968420.0494418796,4,2,3,890101775,57136450,861115112,0.398,2,3,5,48_total_assets,total_assets,total assets,Pacific Crest Energy,2020,M_USD,339437.0,48_total_liabilities,total_liabilities,total liabilities,Pacific Crest Energy,2020,M_USD,246479.0,48_current_liabilities,current_liabilities,current liabilities,Pacific Crest Energy,2020,M_USD,100025.0,48_revenue,revenue,revenue,Pacific Crest Energy,2020,M_USD,160549.0,48_cost_of_goods_sold,cost_of_goods_sold,cost of goods sold,Pacific Crest Energy,2020,M_USD,109216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0,Calculate the accounts receivable for SilverLine Retail Inc in 2023,,,,45_accounts_receivable,"{""leaf"": ""45_accounts_receivable"", ""depth"": 0}","{""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}",101392.0,5,0,0,883294189,876356727,861115112,0.383,0,1,1,45_accounts_receivable,accounts_receivable,accounts receivable,SilverLine Retail Inc,2023,M_USD,101392.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,3,Give the current assets for Orion Financial Group in 2025 .,,,,current_assets,"{""derived"": ""current_assets"", ""expanded"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""leaf"": ""59_cash"", ""depth"": 0}, ""right"": {""leaf"": ""59_accounts_receivable"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""59_inventories"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""59_short_term_investments"", ""depth"": 0}, ""depth"": 3}, ""depth"": 3}","{""kind"": ""derived_concept"", ""name"": ""current_assets"", ""depth"": 0}",66354.0,2,0,3,355333786,183882773,861115112,0.403,0,1,4,59_cash,cash,cash,Orion Financial Group,2025,M_USD,43847.0,59_accounts_receivable,accounts_receivable,accounts receivable,Orion Financial Group,2025,M_USD,5376.0,59_inventories,inventories,inventories,Orion Financial Group,2025,M_USD,11315.0,59_short_term_investments,short_term_investments,short term investments,Orion Financial Group,2025,M_USD,5816.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0,Could you give the total assets for Meridian Systems Inc in 2020?,,,,6_total_assets,"{""leaf"": ""6_total_assets"", ""depth"": 0}","{""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}",111555.0,4,0,0,978740006,189536694,861115112,0.222,0,1,1,6_total_assets,total_assets,total assets,Meridian Systems Inc,2020,M_USD,111555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0,may you give the total equity for NovaStar Technologies in 2020?,,,,18_total_equity,"{""leaf"": ""18_total_equity"", ""depth"": 0}","{""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}",60129.0,1,0,0,15477088,644505826,861115112,0.359,0,1,1,18_total_equity,total_equity,total equity,NovaStar Technologies,2020,M_USD,60129.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,3,what does the following give: current assets for Crimson Pharmaceuticals in 2021,,,,current_assets,"{""derived"": ""current_assets"", ""expanded"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""leaf"": ""85_cash"", ""depth"": 0}, ""right"": {""leaf"": ""85_accounts_receivable"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""85_inventories"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""85_short_term_investments"", ""depth"": 0}, ""depth"": 3}, ""depth"": 3}","{""kind"": ""derived_concept"", ""name"": ""current_assets"", ""depth"": 0}",150752.0,4,0,3,284749015,968441499,861115112,0.424,0,1,4,85_cash,cash,cash,Crimson Pharmaceuticals,2021,M_USD,21092.0,85_accounts_receivable,accounts_receivable,accounts receivable,Crimson Pharmaceuticals,2021,M_USD,45367.0,85_inventories,inventories,inventories,Crimson Pharmaceuticals,2021,M_USD,18920.0,85_short_term_investments,short_term_investments,short term investments,Crimson Pharmaceuticals,2021,M_USD,65373.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,5,Which result follows from the average cash for Ironclad Manufacturing across years 2020 through 2024,,,,"ratio(sum(sum(sum(sum(36_cash, 37_cash), 38_cash), 39_cash), 40_cash), 5.0)","{""op"": ""ratio"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""leaf"": ""36_cash"", ""depth"": 0}, ""right"": {""leaf"": ""37_cash"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""38_cash"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""39_cash"", ""depth"": 0}, ""depth"": 3}, ""right"": {""leaf"": ""40_cash"", ""depth"": 0}, ""depth"": 4}, ""right"": {""literal"": 5.0, ""depth"": 0}, ""depth"": 5}","{""kind"": ""time_agg"", ""op"": ""avg"", ""depth"": 0}",50009.4,5,0,5,927634266,334170193,861115112,0.103,0,1,5,36_cash,cash,cash,Ironclad Manufacturing,2020,M_USD,49146.0,37_cash,cash,cash,Ironclad Manufacturing,2021,M_USD,9253.0,38_cash,cash,cash,Ironclad Manufacturing,2022,M_USD,139886.0,39_cash,cash,cash,Ironclad Manufacturing,2023,M_USD,18106.0,40_cash,cash,cash,Ironclad Manufacturing,2024,M_USD,33656.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0,what is the value of the total liabilities for Atlas Global Industries in 2020?,,,,24_total_liabilities,"{""leaf"": ""24_total_liabilities"", ""depth"": 0}","{""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}",34649.0,4,0,0,754881755,706956506,861115112,0.465,0,1,1,24_total_liabilities,total_liabilities,total liabilities,Atlas Global Industries,2020,M_USD,34649.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
