compiler_pipeline_refactored/output/data/baseline/synthetic_company_data.csvcompany_name,ticker,sector,country,exchange,credit_rating,year,revenue,cost_of_goods_sold,operating_expenses,non_operating_expenses,income_tax,total_assets,total_liabilities,total_equity,cash,accounts_receivable,inventories,short_term_investments,current_liabilities,capex,dividends_paid,shares_outstanding,stock_price,employees
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2024,97119,35929,10329,8947,0.16857605755865174,86328,62367,23961,12I8g,6324,4960,I477,25481,2285,11560,5070,117.69,490oO0
Quantum Bridge Holdings,QBHD,Healthcare,USA,NYSE,CCC,2025,93743,46761,17917,15203,o,65369,44720,20649,4l0S,4oB7,3180,5710,15985,4bl0,204,14003,77B,24748
NovaStar Technologies,NVST,Technology,Germany,XETRA,BB,2020,107884,37356,22227,24471,0.18127547796642335,103259,43130,601Zg,24222,13643,5488,12753,Z028b,8Sl5,193,5050,745.69,402106
NovaStar Technologies,NVST,Technology,Germany,XETRA,BB,2021,1Z53S4,83340,12gS7,260oB,O,g30B9,673bI,25728,7348,15250,bb54,4908,30234,Z744,244,2978,272.69,432855
NovaStar Technologies,NVST,Technology,Germany,XETRA,BB,2022,14g2b3,63527,26613,1g3g5,0.296229937439652,1582oB,116964,4IZ44,8761,20455,2745,22901,37004,8174,1212,I0g55,261.24,305073
NovaStar Technologies,NVST,Technology,Germany,XETRA,BB,2023,158696,75117,26235,16019,0.24175705676683412,525432,387IZ6,138306,78005,17765,8748,54586,132031,11607,B77,S0Z0,261.42,424768
NovaStar Technologies,NVST,Technology,Germany,XETRA,BB,2024,177982,77448,19909,Z343b,0.18048007741154493,271817,106446,165371,33Zg7,23856,8368,37O74,42991,11361,S64Z,106,Z4O,217795
NovaStar Technologies,NVST,Technology,Germany,XETRA,BB,2025,192647,1I45S1,Z7S48,26669,0.14274028019782006,221989,1bZ525,59464,45536,10975,3554,18239,6b34B,16466,Z74S,112gZ,543.14,116197
Atlas Global Industries,ATGL,Industrials,UK,LSE,B,2020,7Z7I4,54ol0,IZ525,I481Z,0.19108323367601782,S3334,34649,I8b85,10029,S7o1,3886,1635,14b1g,64bo,0,13293,b2b,l1332b
Atlas Global Industries,ATGL,Industrials,UK,LSE,B,2021,B32b8,5I0S7,1lg00,13446,0.28349400289108806,1B68S4,742gZ,112562,Z47O6,7753,4731,10169,32600,7Og4,871,13391,34g,4S38g3
Atlas Global Industries,ATGL,Industrials,UK,LSE,B,2022,87003,32332,I934I,12182,o,66524,34053,3Z47I,13377,7696,1652,4762,14588,4O7B,1628,13406,7B,796bl
Atlas Global Industries,ATGL,Industrials,UK,LSE,B,2023,Bg374,32g5B,8293,11884,o,104031,33171,70B6O,Z2l83,7056,3957,14819,8455,Sg04,10644,7207,7SS,152BI3
Atlas Global Industries,ATGL,Industrials,UK,LSE,B,2024,91983,64502,I9g74,14501,o,73012,53407,19605,10033,6190,5362,4705,2ZZ82,7169,0,12624,73b,490457
Atlas Global Industries,ATGL,Industrials,UK,LSE,B,2025,98381,69665,16565,17964,0.11678949243240005,l2O811,B7b26,33185,8454,6495,43SB,8899,Z930o,4158,0,14273,34S,418281
Pinnacle Health Group,PNHG,Healthcare,USA,NYSE,BBB,2020,15631,11723,l87b,2814,0.25624660992217896,I444S,10116,4329,34Sl,937,2bb,453,2848,1018,0,3348,Sb4,384615
Pinnacle Health Group,PNHG,Healthcare,USA,NYSE,BBB,2021,15115,8bb5,3017,1102,0.263860234862217,10369,3855,6514,37o,1076,g3b,1495,I34b,394,4gI,1O39o,SO7,S544I
Pinnacle Health Group,PNHG,Healthcare,USA,NYSE,BBB,2022,17176,11725,2921,1275,0.29676887030293425,I386l,7666,6195,1722,1324,1006,8ol,3S4S,489,Z9O,14416,Sl3,415210
Pinnacle Health Group,PNHG,Healthcare,USA,NYSE,BBB,2023,19203,gS24,377B,4668,0.15401647927748016,I5I22,9629,5493,2062,1605,1096,719,4458,517,347,l323b,2Ob,235031
Pinnacle Health Group,PNHG,Healthcare,USA,NYSE,BBB,2024,20948,9857,1168,4bl3,O,37775,26839,10936,3962,2682,1096,1839,6778,5bZ,1739,10829,398.53,380Z9Z
Pinnacle Health Group,PNHG,Healthcare,USA,NYSE,BBB,2025,23323,13776,3456,4865,o,41213,28203,13010,4OI3,2289,1123,3475,10051,1084,323,I0S73,ZZ7,129445
Ironclad Manufacturing,IRCL,Industrials,Japan,TSE,CCC,2020,365060,231556,87678,68643,0.13830819460210894,307723,157361,150362,4g14b,42355,22596,45319,72096,17841,0,4bo4,570.79,b76S9
Ironclad Manufacturing,IRCL,Industrials,Japan,TSE,CCC,2021,3405OB,1l0S07,36920,81319,0.2275739310211855,282967,Io3532,179435,9253,23302,9087,16327,50873,30ZB4,8718,1B0O,bb,Z484I5
Ironclad Manufacturing,IRCL,Industrials,Japan,TSE,CCC,2022,3b82B1,224247,29590,78160,o,915627,450869,464758,139886,30058,ZI863,88430,200151,34132,3921,4531,47b,217271
Ironclad Manufacturing,IRCL,Industrials,Japan,TSE,CCC,2023,3g745S,130009,96193,27761,0.25254742087094173,378306,190519,187787,1B10b,25432,119Zg,12073,67087,22891,29575,S8b,241.16,144946
Ironclad Manufacturing,IRCL,Industrials,Japan,TSE,CCC,2024,461322,153173,44603,47475,O,457775,325872,131903,33656,23748,7S4o,14126,103109,11427,9119,11910,482.11,412999
Ironclad Manufacturing,IRCL,Industrials,Japan,TSE,CCC,2025,S434O7,270410,78109,60219,0.18050170383256112,867O9g,552699,314400,1o952l,S4Z34,36674,97839,221593,20820,1142,10147,690.51,295626
SilverLine Retail Inc,SLRI,Consumer,USA,NASDAQ,CCC,2020,553885,Z3334l,3Z1S1,1l147l,0.1941001646503267,S11g98,376312,135686,35803,S4S76,23923,40367,102662,2SB47,1gB45,10085,688.32,1b8Z53
SilverLine Retail Inc,SLRI,Consumer,USA,NASDAQ,CCC,2021,617154,265190,147524,l3I277,0.21001932179435656,72gb77,3g01b5,339512,73785,84561,19238,59865,193924,3g13Z,15ZO4,b2S7,162.25,1B4O81
SilverLine Retail Inc,SLRI,Consumer,USA,NASDAQ,CCC,2022,698498,406130,141095,b33b2,O,494264,29S1g8,199066,gO754,364ZZ,59502,47o7S,gI460,44751,4401,8329,88.17,496167
SilverLine Retail Inc,SLRI,Consumer,USA,NASDAQ,CCC,2023,821168,416867,60350,177724,0.19967510094143903,707950,443192,2647SB,63824,101392,b145g,31Z3b,171877,76gB4,20412,7673,705.27,43Z6g3
SilverLine Retail Inc,SLRI,Consumer,USA,NASDAQ,CCC,2024,818992,536BS2,1oB917,193978,0.2015475351619313,b375l7,3ZB592,308g2S,60999,80829,80451,50077,94355,38992,O,B3Z4,441.59,Z3039b
SilverLine Retail Inc,SLRI,Consumer,USA,NASDAQ,CCC,2025,827261,318407,156766,135968,0.14671248921157862,67ZZ13,19B1o5,474108,130298,91431,39955,43056,82396,81457,60542,74BO,44.06,253634
Pacific Crest Energy,PCEN,Energy,Canada,TSX,A,2020,160549,10g21b,11229,37262,O,339437,Z4647g,92958,82616,7623,13280,15989,100025,4Z43,405,4996,S44,269143
Pacific Crest Energy,PCEN,Energy,Canada,TSX,A,2021,1g05g7,110939,43358,Z8l30,0.208203202539532,183099,88419,94680,33062,13101,5500,4148,43731,14545,1968,15gB,l4S,153236
Pacific Crest Energy,PCEN,Energy,Canada,TSX,A,2022,176894,7BB89,10830,2l5Z7,0.18613735757108002,298285,174646,123b3g,53bg0,10261,3373,28435,60364,10581,14599,B7B9,lg7,320763
Pacific Crest Energy,PCEN,Energy,Canada,TSX,A,2023,185506,I1l318,42626,26537,O,194061,64638,129423,46177,25742,6556,28078,27315,8194,774,14991,bB4,57793
Pacific Crest Energy,PCEN,Energy,Canada,TSX,A,2024,190474,87910,20795,36163,0.10438791957191301,146966,84920,62046,4671,24096,10653,21502,40562,16500,12175,13554,bZ3,118909
Pacific Crest Energy,PCEN,Energy,Canada,TSX,A,2025,218005,86886,19190,21828,o,178551,121657,56Bg4,10729,10838,8825,2771,S43g9,10723,901,Z0S8,729.06,166726
Orion Financial Group,ORFG,Financials,UK,LSE,BBB,2020,87989,47755,21496,13741,o,67863,33826,34037,14348,77Sg,5962,7772,11321,8538,165,Zl97,773.7,430770
Orion Financial Group,ORFG,Financials,UK,LSE,BBB,2021,98792,73202,Z405l,20837,0.17315500988111326,79108,I996S,59143,11712,8445,7867,8237,7909,9407,0,l7I4,1gB,l73B7
Orion Financial Group,ORFG,Financials,UK,LSE,BBB,2022,115348,63745,26882,10874,O,89512,65676,Z383b,8636,9324,2433,12753,21416,3204,2421,13320,121.5,229554
Orion Financial Group,ORFG,Financials,UK,LSE,BBB,2023,127775,81062,30563,17100,O,263222,154461,108761,13631,11364,S9Z2,37697,39879,7088,0,14263,686.53,54181
Orion Financial Group,ORFG,Financials,UK,LSE,BBB,2024,142085,77438,34892,17297,0.1796279285488746,269218,104036,l6S182,58304,12144,BZ21,26878,41540,11785,87,37Zg,113.85,2844bb
Orion Financial Group,ORFG,Financials,UK,LSE,BBB,2025,133448,B5g83,12201,12436,O,I922I3,79040,l13I73,43B47,5376,11315,5816,2Z3Z9,4532,1b6Z,g95O,35.24,IZ356
Titan Consumer Brands,TICB,Consumer,France,Euronext,AAA,2020,428824,131692,44200,32313,0.18419211138201583,98Zb87,3I49Z2,667765,126394,3Zb78,12797,72012,9bI73,335ZS,44284,13640,S3Z,1S43O7
Titan Consumer Brands,TICB,Consumer,France,Euronext,AAA,2021,47I7b4,148I4Z,117808,103533,0.18525472385599834,1098264,757557,34O7O7,140121,61295,9166,33790,213289,31528,20810,1o7I1,3I4,3o070g
Titan Consumer Brands,TICB,Consumer,France,Euronext,AAA,2022,472978,249495,64344,98672,0.12288281448601593,435661,316946,II8715,bS913,59855,18939,58524,112026,Z4S47,I7S54,1Og71,2bo,159699
Titan Consumer Brands,TICB,Consumer,France,Euronext,AAA,2023,468895,34IB79,87854,b792I,0.11824495767320974,1165138,6gZ670,472468,225815,36229,12620,21435,338824,34S1l,o,6221,700.78,47oB59
Titan Consumer Brands,TICB,Consumer,France,Euronext,AAA,2024,486911,346744,Zg355,52356,O,1147507,7I773l,4Zg776,73487,42955,45127,67721,279245,20589,2Z5o,347O,351.85,2B267B
Titan Consumer Brands,TICB,Consumer,France,Euronext,AAA,2025,552586,320376,102226,89159,0.22179898311061305,507240,347347,1S9B93,IB448,37204,38161,7OS14,ll7318,17384,2305,9894,bg,371780
Cobalt Semiconductor,CBSM,Technology,Taiwan,TWSE,CCC,2020,53876,25ZB3,7582,4390,0.1623274739408433,78lb5,S78l9,20346,IZ598,6914,1017,g03B,15174,Zg87,4S4,6418,491.55,210021
Cobalt Semiconductor,CBSM,Technology,Taiwan,TWSE,CCC,2021,52817,28022,b2B7,38lZ,0.23564357858670687,5Z2o3,33o3o,1gl73,5108,3277,4147,922,9946,4Z9g,4248,11486,242.22,643gZ
Cobalt Semiconductor,CBSM,Technology,Taiwan,TWSE,CCC,2022,55948,27627,4243,B7S7,0.14602214321533194,57651,39076,18575,6ZZ2,4459,3218,4097,14260,2520,408,6496,332.47,32l87O
Cobalt Semiconductor,CBSM,Technology,Taiwan,TWSE,CCC,2023,S6O07,27010,I3b23,4726,O,bS727,44940,Z07B7,7ZO4,4686,g1Z,4666,IS734,5021,238,11212,I8B,3g06b3
Cobalt Semiconductor,CBSM,Technology,Taiwan,TWSE,CCC,2024,52725,3O84Z,B23I,4681,0.2552456458648671,73095,54291,l8B04,12572,2888,1029,3350,I592B,4ZS7,409,lZ23,7bI,3lS835
Cobalt Semiconductor,CBSM,Technology,Taiwan,TWSE,CCC,2025,55356,3O6S0,9IB3,l030g,O,51658,38625,13033,5223,7589,1873,3697,14184,4634,gS3,8912,Z9l,41724
Helix BioSciences,HLXB,Healthcare,USA,NASDAQ,BBB,2020,214045,144323,13987,47700,0.27105867429121805,206207,128949,772SB,Z7I77,20427,17743,27925,4b73S,IS443,1897,4891,3BB,79676
Helix BioSciences,HLXB,Healthcare,USA,NASDAQ,BBB,2021,200629,69533,46110,23812,O,221577,96102,125475,18724,16808,5363,18432,27839,8553,6908,6191,2BO,300954
Helix BioSciences,HLXB,Healthcare,USA,NASDAQ,BBB,2022,228915,135355,I44b3,15773,0.2356758689680162,357135,247385,109750,62300,29904,18073,20239,g78B7,l09B5,2738,l451g,Sb3,1g9O19
Helix BioSciences,HLXB,Healthcare,USA,NASDAQ,BBB,2023,248741,I7g616,27838,31176,o,1949bS,13Z2b1,62704,41405,ZB326,19597,16318,54426,12175,1270,5So3,156.51,111025
Helix BioSciences,HLXB,Healthcare,USA,NASDAQ,BBB,2024,294845,152972,28101,22854,O,224505,81788,142717,44Bl0,36417,ZO633,3431,27333,89BB,24652,5713,l4Z,416516
Helix BioSciences,HLXB,Healthcare,USA,NASDAQ,BBB,2025,334916,222408,27834,4bo63,0.1821717222993067,301282,146089,155193,38481,22939,26091,21948,56026,28364,39og,7O8B,b7o,l87o81
ClearPath Logistics,CPTH,Industrials,USA,NYSE,A,2020,516553,220463,65279,80320,0.2932536306411895,4o347Z,286976,116496,243Bg,33576,22786,S34l0,111529,4S2B7,4365,12782,238.77,382743
ClearPath Logistics,CPTH,Industrials,USA,NYSE,A,2021,514684,364081,40902,70766,0.2892826526023521,908620,547777,36oB43,g7I39,21960,9802,72945,169233,2S73I,11008,5Zo,74S,420392
ClearPath Logistics,CPTH,Industrials,USA,NYSE,A,2022,S67I76,372136,43967,bo901,o,499588,201280,298308,92533,48131,7697,l0S37,63Ig8,36245,22107,10936,4Zg,60037
ClearPath Logistics,CPTH,Industrials,USA,NYSE,A,2023,S6755b,247181,337gB,76033,0.2587798217278876,6b8B65,2S064b,418219,153259,56571,5472,S494g,77822,30840,8963,9Zb1,Zo3,21I20I
ClearPath Logistics,CPTH,Industrials,USA,NYSE,A,2024,627730,212503,153750,39BB3,0.2052118890644341,690729,516676,174053,lO4931,49619,17238,68378,255889,13370,17869,11849,Z8S,3b78o6
ClearPath Logistics,CPTH,Industrials,USA,NYSE,A,2025,687937,445216,l3554g,80147,O,720190,S142I4,Z0597b,4g347,81118,35796,77316,2O976S,17Z3I,7817,11665,374.28,150254
Crimson Pharmaceuticals,CRPH,Healthcare,Switzerland,SIX,CCC,2020,463236,Z047S9,51889,60056,0.26308121613119645,S33b33,152160,3Bl473,91955,31783,27044,8908,bZ984,38BB7,11801,6bI1,329.02,Z2Z670
Crimson Pharmaceuticals,CRPH,Healthcare,Switzerland,SIX,CCC,2021,550238,249019,48071,103672,O,437826,221096,216730,21092,4S3b7,18920,65373,65249,15521,I45l7,4gB6,Z47,2Z572B
Crimson Pharmaceuticals,CRPH,Healthcare,Switzerland,SIX,CCC,2022,6I67B7,231289,85599,8S99b,0.24536287914222057,442481,2g299g,l494B2,55614,b4l13,28424,7978,122414,37653,262ZB,II273,140.59,20415
Crimson Pharmaceuticals,CRPH,Healthcare,Switzerland,SIX,CCC,2023,714010,432076,98272,S372b,0.14719907608407046,b64b93,372B8O,291813,158784,30873,17260,48515,127801,18672,19677,2152,303.06,160621
Crimson Pharmaceuticals,CRPH,Healthcare,Switzerland,SIX,CCC,2024,712606,521794,39324,b214b,o,510371,l94g29,315442,102325,78674,24991,48824,82551,25bb4,28424,2122,73.13,9O4b5
Crimson Pharmaceuticals,CRPH,Healthcare,Switzerland,SIX,CCC,2025,7g793S,S9746B,169244,1g43o7,0.29731493192849723,724468,499181,225ZB7,109394,55086,35247,23220,Z1334S,27072,0,54Bb,191.03,49Zb41
