<===== START qwen_3_7_plus_mixed_depth_1_5_multiturn_90q | provider=Fireworks | model=accounts/fireworks/models/qwen3p7-plus | dataset=multiturn-90q | limit=250 =====>
90Q are Sheet: /output/financial_spreadsheet.json
90Q are Questions: /output/original_questions.json
Loading datasets...
  Generating multi-turn chains from 250 90q questions...
  Generated 250 MT questions (249 multi-turn) → output_llm/mt_from_90q_20260809_211639.json

============================================================
  Evaluating model: accounts/fireworks/models/qwen3p7-plus
============================================================

-- Multi-turn evaluation (250 questions) --
  [1/249] CORRECT | turns=1 depth=1 | truth=5171.0000 pred=5171.0 | Determine the longterm liabilities for Pinnacle He...
  [18/249] CORRECT | turns=1 depth=1 | truth=415227.0000 pred=415227.0 | whats the value of the gross profit for ClearPath ...
  [19/249] CORRECT | turns=1 depth=1 | truth=15371.7880 pred=15371.79 | Evaluate the result of capex scaled by income tax ...
  [20/249] CORRECT | turns=1 depth=1 | truth=517.0000 pred=517.0 | State the the maximum of capex for Pinnacle Health...
  [21/249] CORRECT | turns=1 depth=1 | truth=112378.0000 pred=112378.0 | What does the following give: longterm liabilities...
  [22/249] CORRECT | turns=1 depth=1 | truth=141095.0000 pred=141095.0 | Calculate the the maximum of operating expenses fo...
  [23/249] CORRECT | turns=3 depth=3 | truth=68614.0000 pred=68614.0 | Give the current assets for Orion Financial Group ...
  [24/249] CORRECT | turns=3 depth=3 | truth=243577.0000 pred=243577.0 | you should give the current assets for ClearPath L...
  [25/249] CORRECT | turns=1 depth=1 | truth=28424.0000 pred=28424.0 | What does the following give: the maximum of inven...
  [26/249] CORRECT | turns=5 depth=5 | truth=60756.8000 pred=60756.8 | compute the average total liabilities for Quantum ...
  [27/249] CORRECT | turns=5 depth=5 | truth=60066.8000 pred=60066.8 | what do we obtain as the average total assets for ...
  [28/249] CORRECT | turns=4 depth=4 | truth=185867.7500 pred=185867.75 | Provide the average revenue for Pacific Crest Ener...
  [29/249] CORRECT | turns=3 depth=3 | truth=46382.0000 pred=46382.0 | which quantity is given by the current assets for ...
  [30/249] CORRECT | turns=1 depth=1 | truth=480.7186 pred=480.7186402139077 | determine the result of operating expenses scaled ...
  [31/249] CORRECT | turns=1 depth=5 | truth=87989.0000 pred=87989.0 | give the the minimum of revenue for Orion Financia...
  [32/249] CORRECT | turns=1 depth=1 | truth=204920.0000 pred=204920.0 | evaluate the longterm liabilities for Titan Consum...
  [33/249] CORRECT | turns=1 depth=2 | truth=1324.0000 pred=1324.0 | state the the maximum of accounts receivable for P...
  [34/249] CORRECT | turns=1 depth=1 | truth=302992.0000 pred=302992.0 | evaluate the difference between cost of goods sold...
  [35/249] CORRECT | turns=5 depth=4 | truth=190972.0000 pred=190972.0 | Which quantity is given by the sum of longterm lia...
  [36/249] CORRECT | turns=1 depth=1 | truth=73487.0000 pred=73487.0 | You should calculate the the maximum of cash for T...
  [37/249] CORRECT | turns=2 depth=4 | truth=92357.0000 pred=92357.0 | you should give the sum of inventories for Atlas G...
  [38/249] CORRECT | turns=2 depth=2 | truth=151488.0000 pred=151488.0 | what does the following give: operating income for...
  [39/249] CORRECT | turns=1 depth=1 | truth=0.0000 pred=0.0 | what is the the minimum of dividends paid for Apex...
  [40/249] CORRECT | turns=1 depth=1 | truth=93560.0000 pred=93560.0 | which value corresponds to the gross profit for He...
  [41/249] CORRECT | turns=5 depth=3 | truth=3202858.4455 pred=3202858.59 | give the sum of result of short term investments s...
  [42/249] CORRECT | turns=2 depth=2 | truth=84674.0000 pred=84674.0 | What does the following give: operating income for...
  [43/249] CORRECT | turns=2 depth=2 | truth=1539.0000 pred=1539.0 | give the operating income for Orion Financial Grou...
  [44/249] CORRECT | turns=3 depth=3 | truth=90918.0000 pred=90918.0 | Which value corresponds to the pretax income for H...
  [45/249] CORRECT | turns=1 depth=1 | truth=149482.0000 pred=149482.0 | What does the following give: the minimum of total...
  [46/249] CORRECT | turns=4 depth=4 | truth=27010.7500 pred=27010.75 | Give the average operating expenses for Pacific Cr...
  [47/249] CORRECT | turns=1 depth=4 | truth=45287.0000 pred=45287.0 | what would be the the maximum of capex for ClearPa...
  [48/249] CORRECT | turns=3 depth=3 | truth=60922.0000 pred=60922.0 | State the current assets for Pacific Crest Energy ...
  [49/249] CORRECT | turns=2 depth=2 | truth=3643.0000 pred=3643.0 | What would be the average capex for Cobalt Semicon...
  [50/249] CORRECT | turns=1 depth=4 | truth=63362.0000 pred=63362.0 | Calculate the the minimum of non operating expense...
  [51/249] CORRECT | turns=1 depth=1 | truth=10830.0000 pred=10830.0 | Provide the the minimum of operating expenses for ...
  [52/249] CORRECT | turns=1 depth=4 | truth=28364.0000 pred=28364.0 | Which value corresponds to the the maximum of cape...
  [53/249] CORRECT | turns=1 depth=4 | truth=117808.0000 pred=117808.0 | you should calculate the the maximum of operating ...
  [54/249] CORRECT | turns=1 depth=5 | truth=103532.0000 pred=103532.0 | Which quantity is given by the the minimum of tota...
  [55/249] CORRECT | turns=4 depth=4 | truth=492228.0000 pred=492228.0 | Calculate the longterm assets for SilverLine Retai...
  [56/249] CORRECT | turns=3 depth=3 | truth=13777.3333 pred=13777.33 | Which result follows from the average inventories ...
  [57/249] CORRECT | turns=2 depth=2 | truth=39455.0000 pred=39455.0 | Could you give the sum of accounts receivable and ...
  [58/249] CORRECT | turns=1 depth=1 | truth=79704.0000 pred=79704.0 | Which quantity is given by the gross profit for Me...
  [59/249] CORRECT | turns=2 depth=2 | truth=1851.5578 pred=1846.68 | Provide the result of total assets scaled by ratio...
  [60/249] CORRECT | turns=1 depth=4 | truth=30842.0000 pred=30842.0 | You should give the the maximum of cost of goods s...
  [61/249] CORRECT | turns=3 depth=3 | truth=304740.0000 pred=304740.0 | calculate the current assets for SilverLine Retail...
  [62/249] CORRECT | turns=1 depth=5 | truth=7540.0000 pred=7540.0 | which result follows from the the minimum of inven...
  [63/249] CORRECT | turns=4 depth=4 | truth=64613.0000 pred=64613.0 | could you give the longterm assets for Meridian Sy...
  [64/249] CORRECT | turns=4 depth=4 | truth=62169.0000 pred=62169.0 | what would be the average total assets for Cobalt ...
  [65/249] CORRECT | turns=1 depth=1 | truth=1508.2500 pred=1508.249986977257 | compute the result of non operating expenses scale...
  [66/249] CORRECT | turns=1 depth=1 | truth=38363.0000 pred=38363.0 | What do we obtain as the longterm liabilities for ...
  [67/249] CORRECT | turns=1 depth=1 | truth=3229.8257 pred=3229.825663939184 | what is the result of non operating expenses scale...
  [68/249] CORRECT | turns=3 depth=3 | truth=5761.0000 pred=5761.0 | Compute the pretax income for Quantum Bridge Holdi...
  [69/249] CORRECT | turns=1 depth=4 | truth=1142.0000 pred=1142.0 | which result follows from the the minimum of divid...
  [70/249] CORRECT | turns=3 depth=3 | truth=210544.0000 pred=210544.0 | whats the value of the pretax income for ClearPath...
  [71/249] CORRECT | turns=5 depth=5 | truth=28263.0000 pred=28263.0 | which value corresponds to the average non operati...
  [72/249] CORRECT | turns=1 depth=1 | truth=202737.0000 pred=202737.0 | which result follows from the sum of accounts rece...
  [73/249] CORRECT | turns=1 depth=5 | truth=28424.0000 pred=28424.0 | what do we obtain as the the maximum of dividends ...
  [74/249] CORRECT | turns=1 depth=1 | truth=308925.0000 pred=308925.0 | evaluate the the minimum of total equity for Silve...
  [75/249] CORRECT | turns=1 depth=1 | truth=42014.0000 pred=42014.0 | may you give the gross profit for NovaStar Technol...
  [76/249] CORRECT | turns=1 depth=5 | truth=2745.0000 pred=2745.0 | May you give the the minimum of inventories for No...
  [77/249] CORRECT | turns=1 depth=1 | truth=554632.0000 pred=554632.0 | evaluate the sum of revenue and short term investm...
  [78/249] CORRECT | turns=3 depth=3 | truth=17082.0000 pred=17082.0 | Compute the current assets for Quantum Bridge Hold...
  [79/249] CORRECT | turns=1 depth=1 | truth=372136.0000 pred=372136.0 | whats the value of the the maximum of cost of good...
  [80/249] CORRECT | turns=1 depth=2 | truth=135968.0000 pred=135968.0 | Calculate the the minimum of non operating expense...
  [81/249] CORRECT | turns=3 depth=3 | truth=243881.0000 pred=243881.0 | You should calculate the current assets for Titan ...
  [82/249] CORRECT | turns=1 depth=3 | truth=1722.0000 pred=1722.0 | determine the the minimum of cash for Pinnacle Hea...
  [83/249] CORRECT | turns=1 depth=1 | truth=83579.0000 pred=83579.0 | may you calculate the gross profit for NovaStar Te...
  [84/249] CORRECT | turns=3 depth=3 | truth=1335.0000 pred=1335.0 | state the average accounts receivable for Pinnacle...
  [85/249] CORRECT | turns=1 depth=3 | truth=18073.0000 pred=18073.0 | which value corresponds to the the minimum of inve...
  [86/249] CORRECT | turns=1 depth=1 | truth=62496.0000 pred=62496.0 | Give the longterm liabilities for Orion Financial ...
  [87/249] CORRECT | turns=5 depth=5 | truth=30326.6000 pred=30326.6 | you should give the average cash for NovaStar Tech...
  [88/249] CORRECT | turns=2 depth=2 | truth=53477.0000 pred=53477.0 | Could you give the operating income for Meridian S...
  [89/249] CORRECT | turns=3 depth=3 | truth=33146.0000 pred=33146.0 | may you give the current assets for Orion Financia...
  [90/249] CORRECT | turns=1 depth=1 | truth=41692.0000 pred=41692.0 | What's the value of the longterm liabilities for A...
  [91/249] CORRECT | turns=3 depth=3 | truth=8350.6667 pred=8350.67 | what is the average non operating expenses for Ape...
  [92/249] CORRECT | turns=1 depth=3 | truth=19974.0000 pred=19974.0 | you should give the the maximum of operating expen...
  [93/249] CORRECT | turns=4 depth=4 | truth=57186.5000 pred=57186.5 | What does the following give: average accounts rec...
  [94/249] CORRECT | turns=1 depth=2 | truth=185506.0000 pred=185506.0 | Give the the minimum of revenue for Pacific Crest ...
  [95/249] CORRECT | turns=1 depth=4 | truth=67131.0000 pred=67131.0 | what is the value of the the minimum of total liab...
  [96/249] CORRECT | turns=3 depth=2 | truth=73326.5600 pred=73326.56 | May you calculate the difference between sum of to...
  [97/249] CORRECT | turns=2 depth=2 | truth=5146.0000 pred=5146.0 | may you give the average capex for Orion Financial...
  [98/249] CORRECT | turns=1 depth=1 | truth=31125.0000 pred=31125.0 | what's the value of the longterm liabilities for A...
  [99/249] CORRECT | turns=3 depth=3 | truth=280237.0000 pred=280237.0 | which result follows from the current assets for I...
  [100/249] CORRECT | turns=3 depth=3 | truth=61174.0000 pred=61174.0 | Which result follows from the pretax income for He...
  [101/249] CORRECT | turns=2 depth=2 | truth=41830.0000 pred=41830.0 | Compute the sum of sum of cash and short term inve...
  [102/249] CORRECT | turns=1 depth=1 | truth=35311.0000 pred=35311.0 | compute the the maximum of cost of goods sold for ...
  [103/249] CORRECT | turns=5 depth=4 | truth=15447.0000 pred=15447.0 | Compute the sum of ratio of sum of sum of accounts...
  [104/249] CORRECT | turns=1 depth=1 | truth=29287.0000 pred=29287.0 | Determine the sum of capex and total liabilities f...
  [105/249] CORRECT | turns=5 depth=5 | truth=58986.8000 pred=58986.8 | Which result follows from the average non operatin...
  [106/249] CORRECT | turns=2 depth=2 | truth=248741.0000 pred=248741.0 | which value corresponds to the sum of gross profit...
  [107/249] CORRECT | turns=1 depth=1 | truth=5406.9228 pred=5406.922810398926 | compute the result of cost of goods sold scaled by...
  [108/249] CORRECT | turns=1 depth=4 | truth=11245.0000 pred=11245.0 | compute the the maximum of accounts receivable for...
  [109/249] CORRECT | turns=4 depth=4 | truth=28196.0000 pred=28196.0 | state the longterm assets for Pinnacle Health Grou...
  [110/249] CORRECT | turns=3 depth=2 | truth=2456.0602 pred=2456.065368888889 | What is the value of the result of result of reven...
  [111/249] CORRECT | turns=1 depth=1 | truth=42645.0000 pred=42645.0 | what do we obtain as the longterm liabilities for ...
  [112/249] CORRECT | turns=1 depth=1 | truth=121204.0000 pred=121204.0 | May you calculate the difference between total ass...
  [113/249] CORRECT | turns=2 depth=3 | truth=161380.0000 pred=161380.0 | Which result follows from the sum of cost of goods...
  [114/249] CORRECT | turns=1 depth=4 | truth=132031.0000 pred=132031.0 | may you calculate the the maximum of current liabi...
  [115/249] CORRECT | turns=5 depth=5 | truth=1070855.0000 pred=1070855.0 | whats the value of the sum of cost of goods sold a...
  [116/249] CORRECT | turns=1 depth=2 | truth=19190.0000 pred=19190.0 | provide the the minimum of operating expenses for ...
  [117/249] CORRECT | turns=1 depth=5 | truth=52780.0000 pred=52780.0 | could you give the the minimum of cost of goods so...
  [118/249] CORRECT | turns=1 depth=1 | truth=138082.0000 pred=138082.0 | whats the value of the longterm liabilities for Cl...
  [119/249] CORRECT | turns=1 depth=5 | truth=552699.0000 pred=552699.0 | Which quantity is given by the the maximum of tota...
  [120/249] CORRECT | turns=1 depth=1 | truth=3884.5449 pred=3884.5449032705997 | give the result of non operating expenses scaled b...
  [121/249] CORRECT | turns=1 depth=1 | truth=508854.0000 pred=508854.0 | Calculate the gross profit for SilverLine Retail I...
  [122/249] CORRECT | turns=1 depth=1 | truth=133816.0000 pred=133816.0 | Which result follows from the sum of total liabili...
  [123/249] CORRECT | turns=1 depth=1 | truth=11091.0000 pred=11091.0 | state the gross profit for Pinnacle Health Group i...
  [124/249] CORRECT | turns=1 depth=2 | truth=464758.0000 pred=464758.0 | which result follows from the the maximum of total...
  [125/249] CORRECT | turns=3 depth=2 | truth=-149.3449 pred=-149.3448929320148 | determine the difference between result of cash sc...
  [126/249] CORRECT | turns=4 depth=3 | truth=10931.5000 pred=10931.5 | State the sum of ratio of sum of total liabilities...
  [127/249] CORRECT | turns=2 depth=2 | truth=13316.2223 pred=13358.63 | What would be the result of total assets scaled by...
  [128/249] CORRECT | turns=5 depth=5 | truth=82796.6000 pred=82796.6 | may you calculate the average cost of goods sold f...
  [129/249] WRONG  | turns=6 depth=4 first_fail@turn=2 | truth=421390.7422 pred=1104287.35 | could you give the sum of difference between resul...
  [130/249] CORRECT | turns=1 depth=4 | truth=101392.0000 pred=101392.0 | Calculate the the maximum of accounts receivable f...
  [131/249] CORRECT | turns=1 depth=3 | truth=165371.0000 pred=165371.0 | may you calculate the the maximum of total equity ...
  [132/249] CORRECT | turns=3 depth=3 | truth=33968.0000 pred=33968.0 | could you give the pretax income for Meridian Syst...
  [133/249] CORRECT | turns=4 depth=4 | truth=41743.0000 pred=41743.0 | determine the longterm assets for Quantum Bridge H...
  [134/249] CORRECT | turns=1 depth=1 | truth=510371.0000 pred=510371.0 | What do we obtain as the the minimum of total asse...
  [135/249] CORRECT | turns=3 depth=3 | truth=10900.0000 pred=10900.0 | state the current assets for Pinnacle Health Group...
  [136/249] CORRECT | turns=1 depth=1 | truth=169233.0000 pred=169233.0 | what's the value of the the maximum of current lia...
  [137/249] WRONG  | turns=5 depth=4 first_fail@turn=1 | truth=68098.6139 pred=-2918.39 | What is the difference between sum of result of no...
  [138/249] CORRECT | turns=1 depth=5 | truth=38887.0000 pred=38887.0 | what do we obtain as the the maximum of capex for ...
  [139/249] CORRECT | turns=1 depth=4 | truth=5002.0000 pred=5002.0 | compute the the maximum of inventories for Quantum...
  [140/249] WRONG  | turns=2 depth=2 first_fail@turn=1 | truth=-6855.0000 pred=-31905.0 | What's the value of the sum of difference between ...
  [141/249] CORRECT | turns=1 depth=1 | truth=79960.0000 pred=79960.0 | may you calculate the longterm liabilities for Nov...
  [142/249] CORRECT | turns=1 depth=3 | truth=4686.0000 pred=4686.0 | What do we obtain as the the maximum of accounts r...
  [143/249] CORRECT | turns=4 depth=4 | truth=320528.0000 pred=320528.0 | which result follows from the sum of current liabi...
  [144/249] CORRECT | turns=1 depth=1 | truth=295689.0000 pred=295689.0 | You should give the sum of total equity and cost o...
  [145/249] CORRECT | turns=1 depth=5 | truth=27542.0000 pred=27542.0 | Could you give the the maximum of accounts receiva...
  [146/249] CORRECT | turns=2 depth=2 | truth=2032.0000 pred=2032.0 | You should give the operating income for Pinnacle ...
  [147/249] CORRECT | turns=1 depth=5 | truth=922.0000 pred=922.0 | you should give the the minimum of short term inve...
  [148/249] CORRECT | turns=5 depth=5 | truth=12178.4000 pred=12178.4 | Which quantity is given by the average short term ...
  [149/249] WRONG  | turns=6 depth=5 first_fail@turn=3 | truth=71702.3917 pred=4685092193.0 | Evaluate the result of the maximum of dividends pa...
  [150/249] CORRECT | turns=3 depth=3 | truth=1271.3333 pred=1271.3333 | What do we obtain as the average inventories for C...
  [151/249] CORRECT | turns=4 depth=4 | truth=111965.5000 pred=111965.5 | whats the value of the average cash for ClearPath ...
  [152/249] CORRECT | turns=4 depth=4 | truth=255557.0000 pred=255557.0 | What do we obtain as the longterm assets for Crims...
  [153/249] CORRECT | turns=1 depth=1 | truth=102662.0000 pred=102662.0 | Calculate the the minimum of current liabilities f...
  [154/249] CORRECT | turns=1 depth=1 | truth=8136.1400 pred=8136.14 | What's the value of the result of cost of goods so...
  [155/249] CORRECT | turns=3 depth=3 | truth=48015.0000 pred=48015.0 | you should give the current assets for Atlas Globa...
  [156/249] CORRECT | turns=5 depth=5 | truth=26376.4000 pred=26376.4 | which value corresponds to the average accounts re...
  [157/249] CORRECT | turns=4 depth=4 | truth=90766.0000 pred=90766.0 | Could you give the longterm assets for Meridian Sy...
  [158/249] CORRECT | turns=1 depth=1 | truth=-29741.0000 pred=-29741.0 | which result follows from the difference between a...
  [159/249] CORRECT | turns=1 depth=1 | truth=3457.0398 pred=3457.04 | You should give the result of total liabilities sc...
  [160/249] CORRECT | turns=1 depth=2 | truth=74292.0000 pred=74292.0 | What's the value of the the maximum of total liabi...
  [161/249] CORRECT | turns=3 depth=3 | truth=33146.0000 pred=33146.0 | give the current assets for Orion Financial Group ...
  [162/249] CORRECT | turns=1 depth=3 | truth=66524.0000 pred=66524.0 | what's the value of the the minimum of total asset...
  [163/249] CORRECT | turns=3 depth=3 | truth=216120.0000 pred=216120.0 | calculate the pretax income for SilverLine Retail ...
  [164/249] CORRECT | turns=1 depth=2 | truth=77258.0000 pred=77258.0 | Which value corresponds to the the minimum of tota...
  [165/249] CORRECT | turns=2 depth=2 | truth=41694.5000 pred=41694.5 | What is the value of the average cost of goods sol...
  [166/249] CORRECT | turns=1 depth=1 | truth=378544.0000 pred=378544.0 | what would be the longterm liabilities for ClearPa...
  [167/249] CORRECT | turns=1 depth=5 | truth=31236.0000 pred=31236.0 | evaluate the the minimum of short term investments...
  [168/249] CORRECT | turns=2 depth=2 | truth=-68949.0000 pred=-68949.0 | Calculate the difference between longterm liabilit...
  [169/249] CORRECT | turns=3 depth=3 | truth=14344.3333 pred=14344.33 | what does the following give: average inventories ...
  [170/249] CORRECT | turns=1 depth=2 | truth=10116.0000 pred=10116.0 | state the the maximum of total liabilities for Pin...
  [171/249] CORRECT | turns=1 depth=1 | truth=79960.0000 pred=79960.0 | may you calculate the longterm liabilities for Nov...
  [172/249] CORRECT | turns=1 depth=1 | truth=24706.0000 pred=24706.0 | what would be the gross profit for Cobalt Semicond...
  [173/249] CORRECT | turns=2 depth=2 | truth=29115.0000 pred=29115.0 | which result follows from the average accounts rec...
  [174/249] CORRECT | turns=3 depth=3 | truth=23558.3333 pred=23558.33 | What do we obtain as the average inventories for C...
  [175/249] CORRECT | turns=1 depth=2 | truth=86108.0000 pred=86108.0 | compute the the minimum of revenue for Quantum Bri...
  [176/249] CORRECT | turns=3 depth=3 | truth=10345.6667 pred=10345.67 | what would be the average operating expenses for C...
  [177/249] CORRECT | turns=1 depth=1 | truth=75539.0000 pred=75539.0 | What is the longterm liabilities for Apex Dynamics...
  [178/249] CORRECT | turns=4 depth=4 | truth=86044.0000 pred=86044.0 | give the longterm assets for Pacific Crest Energy ...
  [179/249] CORRECT | turns=4 depth=5 | truth=276386.5000 pred=276386.5 | You should calculate the difference between ratio ...
  [180/249] CORRECT | turns=5 depth=4 | truth=37305.0000 pred=37305.0 | determine the sum of sum of revenue and current li...
  [181/249] CORRECT | turns=1 depth=5 | truth=3373.0000 pred=3373.0 | provide the the minimum of inventories for Pacific...
  [182/249] CORRECT | turns=3 depth=3 | truth=-1021.4151 pred=-1022.63 | May you calculate the result of accounts receivabl...
  [183/249] CORRECT | turns=3 depth=3 | truth=79070.0000 pred=79070.0 | which result follows from the current assets for I...
  [184/249] CORRECT | turns=4 depth=4 | truth=44635.7500 pred=44635.75 | Calculate the average short term investments for S...
  [185/249] CORRECT | turns=3 depth=3 | truth=6935.0000 pred=6935.0 | determine the average accounts receivable for Quan...
  [186/249] CORRECT | turns=1 depth=1 | truth=351964.0000 pred=351964.0 | calculate the gross profit for SilverLine Retail I...
  [187/249] CORRECT | turns=1 depth=5 | truth=80451.0000 pred=80451.0 | Compute the the maximum of inventories for SilverL...
  [188/249] CORRECT | turns=5 depth=5 | truth=834.0000 pred=834.0 | give the average dividends paid for Orion Financia...
  [189/249] CORRECT | turns=1 depth=1 | truth=8988.0000 pred=8988.0 | which value corresponds to the the minimum of cape...
  [190/249] CORRECT | turns=4 depth=4 | truth=15194.0000 pred=15194.0 | Which result follows from the average inventories ...
  [191/249] CORRECT | turns=1 depth=1 | truth=945685.0000 pred=945685.0 | which quantity is given by the sum of accounts rec...
  [192/249] WRONG  | turns=5 depth=5 first_fail@turn=1 | truth=-291211.0000 pred=291211.0 | May you give the difference between cost of goods ...
  [193/249] CORRECT | turns=1 depth=2 | truth=142717.0000 pred=142717.0 | Which value corresponds to the the maximum of tota...
  [194/249] CORRECT | turns=2 depth=2 | truth=25466.5000 pred=25466.5 | Give the average operating expenses for Orion Fina...
  [195/249] CORRECT | turns=1 depth=1 | truth=41750.0000 pred=41750.0 | determine the gross profit for Quantum Bridge Hold...
  [196/249] CORRECT | turns=3 depth=3 | truth=75450.6667 pred=75450.67 | You should calculate the average operating expense...
  [197/249] CORRECT | turns=1 depth=1 | truth=8390.0374 pred=8390.04 | What is the result of cost of goods sold scaled by...
  [198/249] CORRECT | turns=6 depth=5 | truth=671850.0000 pred=671850.0 | What does the following give: sum of longterm asse...
  [199/249] CORRECT | turns=1 depth=2 | truth=18608.0000 pred=18608.0 | you should calculate the the maximum of inventorie...
  [200/249] CORRECT | turns=4 depth=4 | truth=106819.0000 pred=106819.0 | compute the average total assets for Quantum Bridg...
  [201/249] CORRECT | turns=3 depth=2 | truth=209.0000 pred=209.0 | what do we obtain as the difference between longte...
  [202/249] CORRECT | turns=1 depth=1 | truth=7697.0000 pred=7697.0 | Whats the value of the the maximum of inventories ...
  [203/249] CORRECT | turns=1 depth=1 | truth=54455.0000 pred=54455.0 | Which value corresponds to the longterm liabilitie...
  [204/249] CORRECT | turns=1 depth=1 | truth=-6660.0000 pred=-6660.0 | State the difference between inventories and total...
  [205/249] CORRECT | turns=1 depth=1 | truth=237525.0000 pred=237525.0 | What's the value of the sum of capex and total lia...
  [206/249] CORRECT | turns=3 depth=3 | truth=150752.0000 pred=150752.0 | what does the following give: current assets for C...
  [207/249] CORRECT | turns=5 depth=5 | truth=84635.6000 pred=84635.6 | Give the average total liabilities for Orion Finan...
  [208/249] CORRECT | turns=1 depth=4 | truth=29590.0000 pred=29590.0 | Which result follows from the the minimum of opera...
  [209/249] CORRECT | turns=4 depth=4 | truth=357329.0000 pred=357329.0 | Calculate the longterm assets for SilverLine Retai...
  [210/249] CORRECT | turns=1 depth=4 | truth=112026.0000 pred=112026.0 | Evaluate the the minimum of current liabilities fo...
  [211/249] CORRECT | turns=1 depth=1 | truth=51333.0000 pred=51333.0 | provide the gross profit for Pacific Crest Energy ...
  [212/249] CORRECT | turns=1 depth=1 | truth=-81118.0000 pred=-81118.0 | Evaluate the difference between dividends paid and...
  [213/249] CORRECT | turns=5 depth=5 | truth=81614.3333 pred=81614.3333 | what is the sum of sum of ratio of sum of sum of s...
  [214/249] CORRECT | turns=1 depth=1 | truth=147054.0000 pred=147054.0 | may you calculate the sum of inventories and total...
  [215/249] CORRECT | turns=4 depth=4 | truth=67594.0000 pred=67594.0 | Could you give the sum of non operating expenses a...
  [216/249] CORRECT | turns=3 depth=3 | truth=166227.0000 pred=166227.0 | calculate the difference between operating income ...
  [217/249] CORRECT | turns=4 depth=3 | truth=363259.0000 pred=363259.0 | Calculate the sum of the minimum of operating expe...
  [218/249] CORRECT | turns=1 depth=3 | truth=6324.0000 pred=6324.0 | determine the the minimum of accounts receivable f...
  [219/249] CORRECT | turns=3 depth=3 | truth=17468.0000 pred=17468.0 | What do we obtain as the current assets for Cobalt...
  [220/249] CORRECT | turns=1 depth=4 | truth=8757.0000 pred=8757.0 | what would be the the maximum of non operating exp...
  [221/249] CORRECT | turns=2 depth=2 | truth=80546.6755 pred=80546.73 | What do we obtain as the difference between result...
  [222/249] CORRECT | turns=1 depth=1 | truth=24441.0000 pred=24441.0 | What would be the longterm liabilities for Cobalt ...
  [223/249] CORRECT | turns=1 depth=3 | truth=149482.0000 pred=149482.0 | What do we obtain as the the minimum of total equi...
  [224/249] CORRECT | turns=3 depth=3 | truth=5420.6667 pred=5420.67 | Give the average inventories for Orion Financial G...
  [225/249] CORRECT | turns=1 depth=3 | truth=372880.0000 pred=372880.0 | what do we obtain as the the maximum of total liab...
  [226/249] CORRECT | turns=3 depth=3 | truth=150752.0000 pred=150752.0 | What does the following give: current assets for C...
  [227/249] CORRECT | turns=4 depth=4 | truth=5632.7500 pred=5632.75 | State the average total equity for Pinnacle Health...
  [228/249] CORRECT | turns=3 depth=3 | truth=29567.0000 pred=29567.0 | What would be the current assets for Cobalt Semico...
