cik,name,sic,sic_description,fiscal_year_end,state,entity_type,fy_month,fy_month_name,industry
1142417,"NEXSTAR MEDIA GROUP, INC.",4833,Television Broadcasting Stations,1231,DE,operating,12,Dec,Transportation
1946399,"LakeShore Biopharma Co., Ltd.",2834,Pharmaceutical Preparations,0331,E9,other,3,Mar,Chemicals & Pharma
105634,"EMCOR Group, Inc.",1731,Electrical Work,1231,DE,operating,12,Dec,Construction
1468642,Aura Minerals Inc.,1000,Metal Mining,1231,D8,other,12,Dec,Mining & Energy
1842295,"Maze Therapeutics, Inc.",2836,"Biological Products, (No Diagnostic Substances)",1231,DE,operating,12,Dec,Chemicals & Pharma
1267395,ASPEN INSURANCE HOLDINGS LTD,6331,"Fire, Marine & Casualty Insurance",1231,D0,operating,12,Dec,Insurance
1805526,DeFi Development Corp.,6199,Finance Services,1231,DE,operating,12,Dec,Credit & Finance
1481028,"SUNHYDROGEN, INC.",3674,Semiconductors & Related Devices,0630,NV,operating,6,Jun,Electronics & Tech Hardware
1767837,"Richmond Mutual Bancorporation, Inc.",6022,State Commercial Banks,1231,,operating,12,Dec,Banking
2032517,Sectra AB/ADR,0,,1231,V7,other,12,Dec,Unknown
799195,LIBERTY ALL STAR EQUITY FUND,0,,1231,MA,other,12,Dec,Unknown
1281895,"ROCKET PHARMACEUTICALS, INC.",2834,Pharmaceutical Preparations,1231,DE,operating,12,Dec,Chemicals & Pharma
908255,BORGWARNER INC,3714,Motor Vehicle Parts & Accessories,1231,DE,operating,12,Dec,Transportation Equipment
912147,"ROYCE MICRO-CAP TRUST, INC.",0,,1231,MD,other,12,Dec,Unknown
1880661,TPG Inc.,6282,Investment Advice,1231,DE,operating,12,Dec,Securities & Brokers
2021390,Galderma Group AG/ADR,0,,1231,V8,other,12,Dec,Unknown
1657045,NEXT-ChemX Corporation.,2890,Miscellaneous Chemical Products,1231,NV,operating,12,Dec,Chemicals & Pharma
732717,AT&T INC.,4813,Telephone Communications (No Radiotelephone),1231,DE,operating,12,Dec,Transportation
2073638,Finning International Inc./ADR,0,,1225,Z4,other,12,Dec,Unknown
1742195,Rubicon Organics Inc.,0,,1231,A1,other,12,Dec,Unknown
1497253,"VivoSim Labs, INC.",2836,"Biological Products, (No Diagnostic Substances)",0331,DE,operating,3,Mar,Chemicals & Pharma
1481045,Daiwa Securities Group Inc.,8880,American Depositary Receipts,0331,M0,other,3,Mar,Professional Services
107815,WISCONSIN ELECTRIC POWER CO,4911,Electric Services,1231,WI,operating,12,Dec,Utilities
1311307,LANXESS AG,0,,1231,2M,other,12,Dec,Unknown
1879016,Ivanhoe Electric Inc.,1000,Metal Mining,1231,DE,operating,12,Dec,Mining & Energy
1849253,"RYAN SPECIALTY HOLDINGS, INC.",6411,"Insurance Agents, Brokers & Service",1231,DE,operating,12,Dec,Insurance
1410738,Voip-pal.com Inc,3661,Telephone & Telegraph Apparatus,0930,NV,operating,9,Sep,Electronics & Tech Hardware
1681087,"Tectonic Therapeutic, Inc.",2836,"Biological Products, (No Diagnostic Substances)",1231,NY,operating,12,Dec,Chemicals & Pharma
936340,DTE ENERGY CO,4911,Electric Services,1231,MI,operating,12,Dec,Utilities
1080340,"MANHATTAN BRIDGE CAPITAL, INC",6798,Real Estate Investment Trusts,1231,NY,operating,12,Dec,Holding Companies
773717,"American Clean Resources Group, Inc.",1400,Mining & Quarrying of  Nonmetallic Minerals (No Fuels),1231,NV,operating,12,Dec,Mining & Energy
1093672,PEOPLES BANCORP OF NORTH CAROLINA INC,6022,State Commercial Banks,1231,NC,operating,12,Dec,Banking
1619227,"Cloudweb, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",1231,FL,operating,12,Dec,Software & IT Services
2057043,WEN Acquisition Corp,6770,Blank Checks,1231,E9,operating,12,Dec,Holding Companies
1704711,"Funko, Inc.",3944,"Games, Toys & Children's Vehicles (No Dolls & Bicycles)",1231,DE,operating,12,Dec,Manufacturing (Other)
1581760,"Life360, Inc.",7374,Services-Computer Processing & Data Preparation,1231,DE,operating,12,Dec,Software & IT Services
2014982,SIM Acquisition Corp. I,6770,Blank Checks,1231,E9,operating,12,Dec,Holding Companies
1840502,Taboola.com Ltd.,7370,"Services-Computer Programming, Data Processing, Etc.",1231,L3,operating,12,Dec,Software & IT Services
2067627,Terra Innovatum Global N.V.,3443,Fabricated Plate Work (Boiler Shops),1231,L6,operating,12,Dec,Manufacturing (Other)
1759614,Yunji Inc.,5990,"Retail-Retail Stores, NEC",1231,E9,other,12,Dec,Retail (Misc)
1737287,"Allogene Therapeutics, Inc.",2836,"Biological Products, (No Diagnostic Substances)",1231,,operating,12,Dec,Chemicals & Pharma
2065779,D. Boral ARC Acquisition I Corp.,7372,Services-Prepackaged Software,1231,,operating,12,Dec,Software & IT Services
277135,"W.W. GRAINGER, INC.",5000,Wholesale-Durable Goods,1231,IL,operating,12,Dec,Wholesale
2034520,GIBO HOLDINGS Ltd,7372,Services-Prepackaged Software,1231,E9,other,12,Dec,Software & IT Services
1883814,"Southland Holdings, Inc.",1600,Heavy Construction Other Than Bldg Const - Contractors,1231,DE,operating,12,Dec,Construction
1847075,SAIHEAT Ltd,6199,Finance Services,1231,,operating,12,Dec,Credit & Finance
1137774,PRUDENTIAL FINANCIAL INC,6311,Life Insurance,1231,NJ,operating,12,Dec,Insurance
1279014,ALLSPRING UTILITIES & HIGH INCOME FUND,0,,0831,DE,investment,8,Aug,Unknown
1754180,FORTE GROUP HOLDINGS INC.,0,,1231,A1,other,12,Dec,Unknown
1994702,"Kyverna Therapeutics, Inc.",2836,"Biological Products, (No Diagnostic Substances)",1231,DE,operating,12,Dec,Chemicals & Pharma
1999261,StageWise Strategies Corp.,7374,Services-Computer Processing & Data Preparation,0930,NV,operating,9,Sep,Software & IT Services
1953988,Helio Corp /FL/,3760,Guided Missiles & Space Vehicles & Parts,1031,FL,operating,10,Oct,Transportation Equipment
1292490,"Synbio International, Inc.",7374,Services-Computer Processing & Data Preparation,1231,FL,other,12,Dec,Software & IT Services
1856365,Finwise Bancorp,6022,State Commercial Banks,1231,UT,operating,12,Dec,Banking
36270,M&T BANK CORP,6022,State Commercial Banks,1231,NY,operating,12,Dec,Banking
1362190,AUDIOEYE INC,7372,Services-Prepackaged Software,1231,DE,operating,12,Dec,Software & IT Services
797542,Viewbix Inc.,7372,Services-Prepackaged Software,1231,DE,operating,12,Dec,Software & IT Services
2035832,"Aktis Oncology, Inc.",2834,Pharmaceutical Preparations,1231,DE,other,12,Dec,Chemicals & Pharma
1660734,Triton International Ltd,7359,"Services-Equipment Rental & Leasing, NEC",1231,D0,operating,12,Dec,Personal Services
1973266,"TKO Group Holdings, Inc.",7900,Services-Amusement & Recreation Services,1231,DE,operating,12,Dec,Personal Services
1264136,WOORI FINANCIAL GROUP INC.,6029,"Commercial Banks, NEC",1231,M5,other,12,Dec,Banking
1809750,Edible Garden AG Inc,100,Agricultural Production-Crops,1231,DE,operating,12,Dec,Agriculture
1917817,Sylla Gold Corp.,0,,0228,Z4,other,2,Feb,Unknown
1495730,GMV Minerals Inc.,0,,0630,A1,other,6,Jun,Unknown
1833141,CYBIN INC.,2834,Pharmaceutical Preparations,0331,A6,other,3,Mar,Chemicals & Pharma
1103833,"Crown Equity Holdings, Inc.",5734,Retail-Computer & Computer Software Stores,1231,NV,operating,12,Dec,Retail (Other)
1816431,Quantum-Si Inc,3829,"Measuring & Controlling Devices, NEC",1231,DE,operating,12,Dec,Instruments & Medical Devices
2049977,"Starton Holdings, Inc.",2834,Pharmaceutical Preparations,0331,DE,other,3,Mar,Chemicals & Pharma
1496690,"BlueOne Card, Inc.",7389,"Services-Business Services, NEC",0331,NV,operating,3,Mar,Personal Services
1703056,ADT Inc.,7381,"Services-Detective, Guard & Armored Car Services",1231,DE,operating,12,Dec,Personal Services
1163739,NABORS INDUSTRIES LTD,1381,Drilling Oil & Gas Wells,1231,D0,operating,12,Dec,Mining & Energy
1794669,"Shift4 Payments, Inc.",7389,"Services-Business Services, NEC",1231,,operating,12,Dec,Personal Services
1889823,DEFSEC Technologies Inc.,7372,Services-Prepackaged Software,0930,A1,other,9,Sep,Software & IT Services
1830214,"Ginkgo Bioworks Holdings, Inc.",2836,"Biological Products, (No Diagnostic Substances)",1231,DE,operating,12,Dec,Chemicals & Pharma
1846416,Hennessy Capital Investment Corp. VII,4911,Electric Services,1231,DE,operating,12,Dec,Utilities
1716770,Wah Fu Education Group Ltd,8200,Services-Educational Services,0331,D8,other,3,Mar,Education
2075474,GPT Group/ADR,0,,1231,C3,other,12,Dec,Unknown
1084937,Green Rain Energy Holdings Inc.,9995,Non-Operating Establishments,1231,WY,operating,12,Dec,Government & Other
1972234,"VenHub Global, Inc.",3590,Misc Industrial & Commercial Machinery & Equipment,1231,DE,operating,12,Dec,Manufacturing (Other)
2013320,Eastern International Ltd.,4731,Arrangement of  Transportation of  Freight & Cargo,0331,E9,other,3,Mar,Transportation
1080014,"Innoviva, Inc.",2834,Pharmaceutical Preparations,1231,DE,operating,12,Dec,Chemicals & Pharma
2041385,Ralliant Corp,3823,"Industrial Instruments For Measurement, Display, and Control",1231,DE,operating,12,Dec,Instruments & Medical Devices
1400271,Curative Biotechnology Inc,2836,"Biological Products, (No Diagnostic Substances)",1231,FL,other,12,Dec,Chemicals & Pharma
2048740,EUROEV Holdings Ltd,3711,Motor Vehicles & Passenger Car Bodies,1231,D8,other,12,Dec,Transportation Equipment
1729997,Grayscale CoinDesk Crypto 5 ETF,6221,Commodity Contracts Brokers & Dealers,0630,E9,operating,6,Jun,Securities & Brokers
2109556,Minimax Group Inc./ADR,0,,1225,E9,other,12,Dec,Unknown
1858007,Goldenstone Acquisition Ltd.,3620,Electrical Industrial Apparatus,0331,,operating,3,Mar,Electronics & Tech Hardware
832327,"BLACKROCK INCOME TRUST, INC.",0,,1031,MD,other,10,Oct,Unknown
1756404,Principal Real Asset Fund,0,,0331,DE,other,3,Mar,Unknown
794685,GABELLI EQUITY TRUST INC,0,,1231,MD,other,12,Dec,Unknown
1619856,"Caribou Biosciences, Inc.",2836,"Biological Products, (No Diagnostic Substances)",1231,DE,operating,12,Dec,Chemicals & Pharma
1290658,"IIOT-OXYS, Inc.",7372,Services-Prepackaged Software,1231,NV,operating,12,Dec,Software & IT Services
1729653,Stallion Uranium Corp.,0,,1231,A1,other,12,Dec,Unknown
720858,INVESTORS TITLE CO,6361,Title Insurance,1231,NC,operating,12,Dec,Insurance
1981462,LeddarTech Holdings Inc.,7372,Services-Prepackaged Software,0930,,other,9,Sep,Software & IT Services
1922641,Enlight Renewable Energy Ltd.,4911,Electric Services,1231,L3,other,12,Dec,Utilities
1460447,Mitsubishi Materials Corp / ADR,0,,1231,M0,other,12,Dec,Unknown
1889109,"BELITE BIO, INC",2834,Pharmaceutical Preparations,1231,E9,other,12,Dec,Chemicals & Pharma
1334978,"Clear Channel Outdoor Holdings, Inc.",7310,Services-Advertising,1231,,operating,12,Dec,Personal Services
1823126,Critical Reagent Processing Corp.,0,,0630,A1,other,6,Jun,Unknown
1744489,Walt Disney Co,7990,Services-Miscellaneous Amusement & Recreation,1003,DE,operating,10,Oct,Personal Services
2081468,Meshflow Acquisition Corp,6770,Blank Checks,1231,E9,operating,12,Dec,Holding Companies
1438231,Digimarc CORP,7373,Services-Computer Integrated Systems Design,1231,OR,operating,12,Dec,Software & IT Services
1892747,Valuence Merger Corp. I,6770,Blank Checks,1231,E9,operating,12,Dec,Holding Companies
2079106,LaFayette Acquisition Corp.,6770,Blank Checks,1231,E9,operating,12,Dec,Holding Companies
1167419,"Riot Platforms, Inc.",6199,Finance Services,1231,NV,operating,12,Dec,Credit & Finance
1596967,Moelis & Co,6282,Investment Advice,1231,DE,operating,12,Dec,Securities & Brokers
2056450,Boxer Retail Limited/ADR,0,,1231,T3,other,12,Dec,Unknown
1006028,"PURE BIOSCIENCE, INC.",2890,Miscellaneous Chemical Products,0731,DE,operating,7,Jul,Chemicals & Pharma
771992,PAN AMERICAN SILVER CORP,1040,Gold and Silver Ores,1231,,other,12,Dec,Mining & Energy
855887,"BNY MELLON STRATEGIC MUNICIPAL BOND FUND, INC.",0,,1130,MD,other,11,Nov,Unknown
1038683,RYANAIR HOLDINGS PLC,4512,"Air Transportation, Scheduled",0331,,other,3,Mar,Airlines
1509302,Victory Bancorp Inc,6022,State Commercial Banks,1231,PA,other,12,Dec,Banking
310354,STANDEX INTERNATIONAL CORP/DE/,3580,Refrigeration & Service Industry Machinery,0630,DE,operating,6,Jun,Manufacturing (Other)
72331,NORDSON CORP,3569,"General Industrial Machinery & Equipment, NEC",1031,OH,operating,10,Oct,Manufacturing (Other)
2080019,GigCapital8 Corp.,6770,Blank Checks,1231,E9,operating,12,Dec,Holding Companies
1879270,Cannaisseur Group Inc.,2833,Medicinal Chemicals & Botanical Products,1231,DE,operating,12,Dec,Chemicals & Pharma
78128,"Essential Utilities, Inc.",4941,Water Supply,1231,PA,operating,12,Dec,Utilities
937966,ASML HOLDING NV,3559,"Special Industry Machinery, NEC",1231,,other,12,Dec,Manufacturing (Other)
1075736,"Crexendo, Inc.",4813,Telephone Communications (No Radiotelephone),1231,DE,operating,12,Dec,Transportation
823277,CHS INC,5150,Wholesale-Farm Product Raw Materials,0831,MN,operating,8,Aug,Wholesale
2000756,K Wave Media Ltd.,7819,Services-Allied To Motion Picture Production,1231,E9,other,12,Dec,Personal Services
1847064,"PSQ Holdings, Inc.",7310,Services-Advertising,1231,DE,operating,12,Dec,Personal Services
1104485,"NORTHERN OIL & GAS, INC.",1311,Crude Petroleum & Natural Gas,1231,,operating,12,Dec,Mining & Energy
2018852,SCHOTT Pharma AG & Co. KGaA/ADR,0,,0930,2M,other,9,Sep,Unknown
1533040,Phio Pharmaceuticals Corp.,2834,Pharmaceutical Preparations,1231,DE,operating,12,Dec,Chemicals & Pharma
1621434,"Black Stone Minerals, L.P.",1311,Crude Petroleum & Natural Gas,1231,DE,operating,12,Dec,Mining & Energy
1384365,"Telvantis, Inc.",7371,Services-Computer Programming Services,1231,NV,operating,12,Dec,Software & IT Services
1492691,Knight-Swift Transportation Holdings Inc.,4213,Trucking (No Local),1231,,operating,12,Dec,Transportation
2067719,Keystone Global Financial Group,6199,Finance Services,1231,E9,other,12,Dec,Credit & Finance
2011641,Ferguson Enterprises Inc. /DE/,5070,Wholesale-Hardware & Plumbing & Heating Equipment & Supplies,1231,DE,operating,12,Dec,Wholesale
2020932,Agomab Therapeutics NV,2836,"Biological Products, (No Diagnostic Substances)",1231,C9,other,12,Dec,Chemicals & Pharma
1333172,Navios Maritime Holdings Inc.,4412,Deep Sea Foreign Transportation of  Freight,1231,1T,other,12,Dec,Transportation
1059386,Invesco Senior Income Trust,0,,0731,MA,other,7,Jul,Unknown
2084388,XYJ TECHNOLOGY Corp,7374,Services-Computer Processing & Data Preparation,1231,FL,other,12,Dec,Software & IT Services
1462120,"Live Oak Bancshares, Inc.",6022,State Commercial Banks,1231,NC,operating,12,Dec,Banking
1348911,"KalVista Pharmaceuticals, Inc.",2834,Pharmaceutical Preparations,0430,DE,operating,4,Apr,Chemicals & Pharma
1842556,EON Resources Inc.,1311,Crude Petroleum & Natural Gas,1231,DE,operating,12,Dec,Mining & Energy
1037646,METTLER TOLEDO INTERNATIONAL INC/,3826,Laboratory Analytical Instruments,1231,DE,operating,12,Dec,Instruments & Medical Devices
1004434,"AFFILIATED MANAGERS GROUP, INC.",6282,Investment Advice,1231,DE,operating,12,Dec,Securities & Brokers
886206,FRANKLIN COVEY CO,8741,Services-Management Services,0831,UT,operating,8,Aug,Professional Services
719245,WESTPAC BANKING CORP,6029,"Commercial Banks, NEC",0930,C3,other,9,Sep,Banking
1368622,AeroVironment Inc,3721,Aircraft,0430,DE,operating,4,Apr,Transportation Equipment
1801170,"CLOVER HEALTH INVESTMENTS, CORP. /DE",6324,Hospital & Medical Service Plans,1231,DE,operating,12,Dec,Insurance
39899,TEGNA INC,4833,Television Broadcasting Stations,1231,DE,operating,12,Dec,Transportation
1232384,TC ENERGY CORP,4922,Natural Gas Transmission,1231,A0,other,12,Dec,Utilities
1801417,byNordic Acquisition Corp,6770,Blank Checks,1231,DE,operating,12,Dec,Holding Companies
1009829,JAKKS PACIFIC INC,3944,"Games, Toys & Children's Vehicles (No Dolls & Bicycles)",1231,DE,operating,12,Dec,Manufacturing (Other)
1365388,"High Sierra Technologies, Inc.",6770,Blank Checks,1231,CO,operating,12,Dec,Holding Companies
1518715,Mechanics Bancorp,6022,State Commercial Banks,1231,WA,operating,12,Dec,Banking
2064314,21Shares Dogecoin ETF,6221,Commodity Contracts Brokers & Dealers,0930,MD,operating,9,Sep,Securities & Brokers
2067592,McKinley Acquisition Corp,6770,Blank Checks,1231,E9,operating,12,Dec,Holding Companies
1865248,Piermont Valley Acquisition Corp,6770,Blank Checks,0331,E9,operating,3,Mar,Holding Companies
32604,EMERSON ELECTRIC CO,3600,Electronic & Other Electrical Equipment (No Computer Equip),0930,MO,operating,9,Sep,Electronics & Tech Hardware
1416697,"Blue Line Protection Group, Inc.",5900,Retail-Miscellaneous Retail,1231,NV,operating,12,Dec,Retail (Misc)
1297996,"DIGITAL REALTY TRUST, INC.",6798,Real Estate Investment Trusts,1231,MD,operating,12,Dec,Holding Companies
2033593,Stellar V Capital Corp. (Cayman Islands),6770,Blank Checks,1231,E9,operating,12,Dec,Holding Companies
1677940,BeyondSpring Inc.,2834,Pharmaceutical Preparations,1231,,operating,12,Dec,Chemicals & Pharma
1825248,Franklin BSP Capital Corp,0,,1231,DE,operating,12,Dec,Unknown
1863990,"MultiSensor AI Holdings, Inc.",3827,Optical Instruments & Lenses,1231,DE,operating,12,Dec,Instruments & Medical Devices
1563568,"Envirotech Vehicles, Inc.",3714,Motor Vehicle Parts & Accessories,1231,DE,operating,12,Dec,Transportation Equipment
728387,"Perspective Therapeutics, Inc.",2834,Pharmaceutical Preparations,1231,DE,operating,12,Dec,Chemicals & Pharma
1862150,Cingulate Inc.,2834,Pharmaceutical Preparations,1231,DE,operating,12,Dec,Chemicals & Pharma
2082149,Daedalus Special Acquisition Corp.,6770,Blank Checks,0331,E9,operating,3,Mar,Holding Companies
1130781,"BMP AI Technologies, Inc.",7812,Services-Motion Picture & Video Tape Production,1231,NV,operating,12,Dec,Personal Services
1127007,CABO VERDE CAPITAL INC.,4941,Water Supply,0331,NV,operating,3,Mar,Utilities
312070,BARCLAYS BANK PLC,6029,"Commercial Banks, NEC",1231,X0,other,12,Dec,Banking
1429393,"Trutankless, Inc.",3630,Household Appliances,1231,NV,operating,12,Dec,Electronics & Tech Hardware
1819175,Prime Impact Acquisition I,6770,Blank Checks,1231,E9,operating,12,Dec,Holding Companies
1703118,F3 Uranium Corp.,0,,0630,Z4,other,6,Jun,Unknown
1172069,"P2 Solar, Inc.",1700,Construction - Special Trade Contractors,0331,DE,operating,3,Mar,Construction
1348952,"ENTERGY LOUISIANA, LLC",4911,Electric Services,1231,TX,operating,12,Dec,Utilities
1836981,"BigBear.ai Holdings, Inc.",7372,Services-Prepackaged Software,1231,DE,operating,12,Dec,Software & IT Services
1069530,"FILANA THERAPEUTICS, INC.",2834,Pharmaceutical Preparations,1231,DE,operating,12,Dec,Chemicals & Pharma
1509745,CYPHERPUNK TECHNOLOGIES INC.,2834,Pharmaceutical Preparations,1231,DE,operating,12,Dec,Chemicals & Pharma
1334036,"Crocs, Inc.",3021,Rubber & Plastics Footwear,1231,,operating,12,Dec,Manufacturing (Other)
700841,"RCM TECHNOLOGIES, INC.",7363,Services-Help Supply Services,0103,NV,operating,1,Jan,Personal Services
2035304,Titan America SA,1400,Mining & Quarrying of  Nonmetallic Minerals (No Fuels),1231,C9,other,12,Dec,Mining & Energy
794619,AMERICAN WOODMARK CORP,2430,"Millwood, Veneer, Plywood, & Structural Wood Members",0430,VA,operating,4,Apr,Manufacturing (Other)
2035173,Renatus Tactical Acquisition Corp I,6770,Blank Checks,1231,E9,operating,12,Dec,Holding Companies
2043630,StoneBridge Acquisition II Corp,6770,Blank Checks,1231,,operating,12,Dec,Holding Companies
2024306,JFB Construction Holdings,1540,General Bldg Contractors - Nonresidential Bldgs,1231,NV,operating,12,Dec,Construction
1706431,"Vir Biotechnology, Inc.",2836,"Biological Products, (No Diagnostic Substances)",1231,DE,operating,12,Dec,Chemicals & Pharma
1286043,KITE REALTY GROUP TRUST,6798,Real Estate Investment Trusts,1231,MD,operating,12,Dec,Holding Companies
1737924,Nuveen Churchill Direct Lending Corp.,0,,1231,MD,operating,12,Dec,Unknown
91388,SMITHFIELD FOODS INC,2011,Meat Packing Plants,1228,VA,operating,12,Dec,Food & Beverage Manufacturing
1814114,"Orchestra BioMed Holdings, Inc.",3841,Surgical & Medical Instruments & Apparatus,1231,DE,operating,12,Dec,Instruments & Medical Devices
10048,BARNWELL INDUSTRIES INC,1311,Crude Petroleum & Natural Gas,0930,DE,operating,9,Sep,Mining & Energy
1095435,AlphaTON Capital Corp,6199,Finance Services,0331,D8,other,3,Mar,Credit & Finance
1158967,NIDEC CORP,3621,Motors & Generators,0331,,other,3,Mar,Electronics & Tech Hardware
2106613,Quantum eMotion Corp,7372,Services-Prepackaged Software,1231,A8,other,12,Dec,Software & IT Services
110471,WOLVERINE WORLD WIDE INC /DE/,3140,"Footwear, (No Rubber)",1230,MI,operating,12,Dec,Manufacturing (Other)
867038,SPINDLETOP OIL & GAS CO,1311,Crude Petroleum & Natural Gas,1231,TX,operating,12,Dec,Mining & Energy
2094076,Starlink AI Acquisition Corp,6770,Blank Checks,0930,E9,other,9,Sep,Holding Companies
1966287,Greenfire Resources Ltd.,1311,Crude Petroleum & Natural Gas,1231,A0,other,12,Dec,Mining & Energy
1956648,CO2 Energy Transition Corp.,6770,Blank Checks,1231,,operating,12,Dec,Holding Companies
1546652,VanEck Merk Gold ETF,6221,Commodity Contracts Brokers & Dealers,0131,NY,operating,1,Jan,Securities & Brokers
1534154,authID Inc.,7372,Services-Prepackaged Software,1231,DE,operating,12,Dec,Software & IT Services
2090231,Metlen Energy & Metals PLC/ADR,0,,1231,X0,other,12,Dec,Unknown
1094517,TOYOTA MOTOR CORP/,3711,Motor Vehicles & Passenger Car Bodies,0331,M0,other,3,Mar,Transportation Equipment
2054272,1RT Acquisition Corp.,6770,Blank Checks,1231,E9,operating,12,Dec,Holding Companies
1698514,National Energy Services Reunited Corp.,1389,"Oil & Gas Field Services, NEC",1231,D8,operating,12,Dec,Mining & Energy
763901,"POPULAR, INC.",6022,State Commercial Banks,1231,,operating,12,Dec,Banking
52827,RAYONIER INC,6798,Real Estate Investment Trusts,1231,NC,operating,12,Dec,Holding Companies
896878,INTUIT INC.,7372,Services-Prepackaged Software,0731,DE,operating,7,Jul,Software & IT Services
2029303,Tech Tonic Group Corp.,7371,Services-Computer Programming Services,0630,WY,operating,6,Jun,Software & IT Services
1045609,"Prologis, Inc.",6798,Real Estate Investment Trusts,1231,MD,operating,12,Dec,Holding Companies
914156,UFP TECHNOLOGIES INC,3841,Surgical & Medical Instruments & Apparatus,1231,DE,operating,12,Dec,Instruments & Medical Devices
1569187,"AH Realty Trust, Inc.",6500,Real Estate,1231,MD,operating,12,Dec,Real Estate
47710,HITACHI LTD,1600,Heavy Construction Other Than Bldg Const - Contractors,0331,,other,3,Mar,Construction
1953366,Star Holdings,6519,"Lessors of  Real Property, NEC",1231,MD,operating,12,Dec,Real Estate
768408,CYANOTECH CORP,2833,Medicinal Chemicals & Botanical Products,0331,NV,operating,3,Mar,Chemicals & Pharma
1849466,"Texas Community Bancshares, Inc.",6036,"Savings Institutions, Not Federally Chartered",1231,,operating,12,Dec,Banking
1600626,Peakstone Realty Trust,6798,Real Estate Investment Trusts,1231,,operating,12,Dec,Holding Companies
1865494,"IO Biotech, Inc.",2834,Pharmaceutical Preparations,1231,DE,operating,12,Dec,Chemicals & Pharma
1701756,Sadot Group Inc.,5810,Retail-Eating & Drinking Places,1231,NV,operating,12,Dec,Retail (Other)
1617867,"Autonomix Medical, Inc.",3841,Surgical & Medical Instruments & Apparatus,0331,DE,operating,3,Mar,Instruments & Medical Devices
1018840,ABERCROMBIE & FITCH CO /DE/,5651,Retail-Family Clothing Stores,0131,OH,operating,1,Jan,Retail (Apparel)
771497,ABM INDUSTRIES INC /DE/,7340,Services-To Dwellings & Other Buildings,1031,DE,operating,10,Oct,Personal Services
2016864,MPJS Group Ltd,5944,Retail-Jewelry Stores,1031,K3,other,10,Oct,Retail (Misc)
1119083,MIND CTI LTD,7371,Services-Computer Programming Services,1231,,other,12,Dec,Software & IT Services
1637873,ACV Auctions Inc.,7389,"Services-Business Services, NEC",1231,DE,operating,12,Dec,Personal Services
1415311,ProShares Trust II,6221,Commodity Contracts Brokers & Dealers,1231,DE,operating,12,Dec,Securities & Brokers
1980845,enGene Holdings Inc.,2836,"Biological Products, (No Diagnostic Substances)",1031,Z4,operating,10,Oct,Chemicals & Pharma
2082526,Aeon Acquisition I Corp.,6770,Blank Checks,1231,E9,other,12,Dec,Holding Companies
2080711,ZHONGSHANG TECHNOLOGY INC,7372,Services-Prepackaged Software,1231,F4,other,12,Dec,Software & IT Services
1767258,"XPEL, Inc.",3470,"Coating, Engraving & Allied Services",1231,NV,operating,12,Dec,Manufacturing (Other)
1364125,Western Copper & Gold Corp,1000,Metal Mining,1231,A1,other,12,Dec,Mining & Energy
278166,"CAVCO INDUSTRIES, INC.",2451,Mobile Homes,0328,DE,operating,3,Mar,Manufacturing (Other)
2059165,STARRY SEA ACQUISITION CORP,6770,Blank Checks,1231,E9,operating,12,Dec,Holding Companies
2077954,Evolution Global Acquisition Corp,6770,Blank Checks,1231,E9,operating,12,Dec,Holding Companies
